,Region,642,647,654,661,668
0,Belgium,,64442,95217,111115,100423
1,Bulgaria,,32371,39358,46409,51134
2,Czechia,,24131,34543,48122,64427
3,Denmark,,9942,12666,14444,14448
4,Germany,,99325,115634,128219,134526
5,Estonia,,10321,12009,13674,15297
6,Ireland,,16582,18754,20260,20505
7,Greece,,24029,26697,28146,27775
8,Spain,,14472,14887,14032,11971
9,France,,34859,35832,35615,34846
10,Croatia,,15621,18260,20568,21927
11,Italy,,22094,22543,21527,19117
12,Cyprus,,1131,1233,1335,1422
13,Latvia,,22791,29277,35946,41968
14,Lithuania,,22428,25523,28213,30107
15,Luxembourg,,990,1119,1237,1309
16,Hungary,,15548,21249,27341,32068
17,Malta,,115,117,121,126
18,Netherlands,,46459,58250,64465,61874
19,Austria,,28336,34122,35430,32547
20,Poland,,40950,58770,78994,96541
21,Portugal,,5302,5638,5820,5734
22,Romania,,127876,147418,170254,198607
23,Slovenia,,9635,10816,11739,11977
24,Slovakia,,20477,25759,31381,35716
25,Finland,,3792,4012,4357,4866
26,Sweden,,4288,4403,4380,4210
27,United Kingdom,,393515,422774,420344,384398
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,38,47,57,67
30,Norway,,3309,3348,3315,3110
31,Switzerland,,9659,10457,9830,8088
