,Region,782,787,794,801,808
0,Belgium,,63464,77112,93636,113917
1,Bulgaria,,8119,6151,4665,3538
2,Czechia,,52222,50033,47798,46226
3,Denmark,,NaN,NaN,NaN,NaN
4,Germany,,1484346,1610691,1754497,1912801
5,Estonia,,11082,7417,4957,3314
6,Ireland,,NaN,NaN,NaN,NaN
7,Greece,,148293,187491,235243,292540
8,Spain,,NaN,NaN,NaN,NaN
9,France,,NaN,NaN,NaN,NaN
10,Croatia,,6494,5080,3982,3117
11,Italy,,429562,564575,743609,973233
12,Cyprus,,19491,22594,26230,30447
13,Latvia,,33221,26060,20453,16057
14,Lithuania,,27389,24811,22496,20395
15,Luxembourg,,4518,4522,4520,4519
16,Hungary,,9621,6567,4492,3056
17,Malta,,503,456,413,374
18,Netherlands,,NaN,NaN,NaN,NaN
19,Austria,,374553,519882,712960,986167
20,Poland,,69587,63246,57564,52242
21,Portugal,,52669,43063,34488,27874
22,Romania,,15612,9508,5771,3512
23,Slovenia,,12102,12092,12164,12155
24,Slovakia,,69761,62479,56349,50334
25,Finland,,85318,124386,182004,266688
26,Sweden,,7578,5551,4063,2975
27,United Kingdom,,NaN,NaN,NaN,NaN
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,1168,1287,1418,1562
30,Norway,,NaN,NaN,NaN,NaN
31,Switzerland,,NaN,NaN,NaN,NaN
