,Region,712,717,724
0,Belgium,,86610,86985
1,Bulgaria,,17897,20263
2,Czechia,,28732,31102
3,Denmark,,192446,254290
4,Germany,,199104,207555
5,Estonia,,7380,8576
6,Ireland,,175925,262924
7,Greece,,335284,554298
8,Spain,,875830,1081089
9,France,,1525310,1826215
10,Croatia,,33447,40640
11,Italy,,1306726,2361991
12,Cyprus,,24409,28357
13,Latvia,,6499,6296
14,Lithuania,,11966,12592
15,Luxembourg,,5413,5350
16,Hungary,,14716,12675
17,Malta,,10171,10771
18,Netherlands,,93344,85645
19,Austria,,21868,22880
20,Poland,,59754,43779
21,Portugal,,230851,295014
22,Romania,,10148,11389
23,Slovenia,,12214,13009
24,Slovakia,,20990,15603
25,Finland,,40722,56705
26,Sweden,,38822,41148
27,United Kingdom,,1589950,1941330
28,Iceland,,7700,9765
29,Liechtenstein,,251,225
30,Norway,,26880,29414
31,Switzerland,,130324,138345
