,Region,663,668,675,682,689
0,Belgium,,85461,100376,115272,130359
1,Bulgaria,,16583,11791,9988,9785
2,Czechia,,92390,116501,142465,169506
3,Denmark,,23467,23985,22065,19149
4,Germany,,315655,356068,374443,373377
5,Estonia,,11994,11392,10163,8949
6,Ireland,,32515,36463,40964,46458
7,Greece,,52203,48283,40833,31679
8,Spain,,31360,43759,58500,72918
9,France,,84186,95599,100582,98576
10,Croatia,,43866,49317,53606,56502
11,Italy,,61635,66304,64451,57626
12,Cyprus,,1621,1715,1768,1828
13,Latvia,,12308,10727,8756,6628
14,Lithuania,,13183,8565,4583,1702
15,Luxembourg,,1210,913,685,540
16,Hungary,,75718,120320,190561,301175
17,Malta,,325,372,392,359
18,Netherlands,,87941,71567,56665,44292
19,Austria,,101347,136731,180776,235443
20,Poland,,128707,166212,211848,267879
21,Portugal,,11764,13364,14270,14535
22,Romania,,17590,4592,13,0
23,Slovenia,,24537,26353,27836,28933
24,Slovakia,,56684,72218,94789,122988
25,Finland,,4121,3709,3319,2995
26,Sweden,,5061,4908,4793,4720
27,United Kingdom,,264426,270830,276094,279677
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,12973,13235,12547,11273
31,Switzerland,,23586,22478,19789,16718
