,Region,579,584,591,598,605
0,Belgium,,12624,11969,11191,10376
1,Bulgaria,,8348,7941,7281,6626
2,Czechia,,1506,1469,1429,1385
3,Denmark,,6457,5861,5319,4828
4,Germany,,50639,52677,50250,46607
5,Estonia,,2152,2090,1954,1798
6,Ireland,,12838,12713,12583,12454
7,Greece,,18963,17710,16481,15315
8,Spain,,52461,38062,27320,19461
9,France,,122048,110015,98716,88345
10,Croatia,,2677,2844,2884,2840
11,Italy,,43508,40349,37168,34121
12,Cyprus,,1893,1446,1101,837
13,Latvia,,1006,1003,948,871
14,Lithuania,,3880,3616,3322,3035
15,Luxembourg,,250,207,171,142
16,Hungary,,338,312,287,264
17,Malta,,269,195,140,102
18,Netherlands,,8210,5423,3558,2322
19,Austria,,7972,8392,8265,7801
20,Poland,,1231,1140,1045,952
21,Portugal,,13928,12741,11655,10664
22,Romania,,4044,4614,4889,4846
23,Slovenia,,2344,2663,2798,2751
24,Slovakia,,466,436,404,373
25,Finland,,5368,5226,5008,4766
26,Sweden,,7838,8455,8608,8346
27,United Kingdom,,226063,225206,208188,180438
28,Iceland,,544,482,427,377
29,Liechtenstein,,95,108,106,96
30,Norway,,4429,4370,4174,3956
31,Switzerland,,18632,20884,22154,22266
