,Region,628,633,640,647,654
0,Belgium,,13959,14109,13785,13792
1,Bulgaria,,15228,15206,15085,14996
2,Czechia,,5907,2493,0,7204
3,Denmark,,3735,3739,3847,3726
4,Germany,,59151,58039,57638,59393
5,Estonia,,6254,6225,0,433
6,Ireland,,9480,9413,9395,9379
7,Greece,,15582,15559,15696,15693
8,Spain,,12891,12814,12688,12740
9,France,,16396,7067,2772,0
10,Croatia,,9274,9189,8566,8512
11,Italy,,19268,19229,19203,4394
12,Cyprus,,770,748,725,737
13,Latvia,,9452,9621,0,75
14,Lithuania,,14551,14692,0,229
15,Luxembourg,,698,714,727,778
16,Hungary,,4420,5262,2818,5226
17,Malta,,142,38,7,0
18,Netherlands,,15179,15335,15247,15144
19,Austria,,13436,13842,13942,13335
20,Poland,,6186,13050,0,14601
21,Portugal,,4214,4227,1253,0
22,Romania,,91285,17221,0,0
23,Slovenia,,5906,5792,5770,6170
24,Slovakia,,10664,11016,0,314
25,Finland,,2762,3173,3697,3647
26,Sweden,,3777,3061,3261,2840
27,United Kingdom,,237052,243909,234478,234332
28,Iceland,,313,314,113,317
29,Liechtenstein,,93,79,64,52
30,Norway,,3223,2901,2831,2827
31,Switzerland,,7668,7462,7774,6924
