,Region,411,416,423,430,437
0,Belgium,,16773,16950,16976,16395
1,Bulgaria,,14859,17478,19159,20751
2,Czechia,,87057,88538,88859,88721
3,Denmark,,3731,3841,3927,4198
4,Germany,,59194,61335,63470,67055
5,Estonia,,9885,10630,11046,11193
6,Ireland,,3720,3450,3250,3050
7,Greece,,16133,18759,20000,20618
8,Spain,,52758,47357,45107,42857
9,France,,143796,143796,143796,143796
10,Croatia,,4065,4599,5389,6198
11,Italy,,167561,195752,223870,249005
12,Cyprus,,2781,4185,5222,5940
13,Latvia,,3928,3471,3160,3056
14,Lithuania,,4755,5185,5654,6209
15,Luxembourg,,1187,1187,1187,1187
16,Hungary,,43560,51896,57796,63869
17,Malta,,2634,3165,3585,3770
18,Netherlands,,32920,33890,34124,33923
19,Austria,,16808,18133,19634,21140
20,Poland,,92230,107507,115888,122344
21,Portugal,,4826,4019,3539,3385
22,Romania,,28058,30944,32596,34337
23,Slovenia,,5607,5790,5969,6077
24,Slovakia,,15836,15836,15836,15836
25,Finland,,4729,4856,5000,5050
26,Sweden,,29213,30533,31320,29838
27,United Kingdom,,35146,32073,33319,39978
28,Iceland,,11,14,17,20
29,Liechtenstein,,23,23,23,23
30,Norway,,4585,6289,6990,7089
31,Switzerland,,7523,7705,7893,8132
