,Region,467,472,479,486,493
0,Belgium,,20920,19270,17511,15495
1,Bulgaria,,5191,3622,2391,1604
2,Czechia,,11886,9806,7986,6303
3,Denmark,,5369,5559,5648,5614
4,Germany,,151179,158377,166464,169963
5,Estonia,,2405,2408,2379,2337
6,Ireland,,3813,4410,5100,5857
7,Greece,,11347,8531,6440,4764
8,Spain,,41185,39485,35817,33534
9,France,,197828,194892,180535,168828
10,Croatia,,11142,8953,7037,5425
11,Italy,,77982,70042,62441,55214
12,Cyprus,,3142,1919,1134,665
13,Latvia,,4804,5217,5561,5762
14,Lithuania,,8977,9320,9481,9432
15,Luxembourg,,1197,1124,1061,972
16,Hungary,,9351,6056,3895,2489
17,Malta,,80,40,20,10
18,Netherlands,,35464,22996,14682,9188
19,Austria,,11534,9740,8204,6792
20,Poland,,27779,16101,9317,5383
21,Portugal,,2529,2114,1767,1478
22,Romania,,7377,4441,2654,1575
23,Slovenia,,4395,4083,3738,3411
24,Slovakia,,2663,2173,1764,1438
25,Finland,,1279,1105,969,828
26,Sweden,,38665,38298,37088,33806
27,United Kingdom,,12863,11216,9783,8435
28,Iceland,,68,66,66,68
29,Liechtenstein,,88,101,112,124
30,Norway,,2442,2147,1882,1663
31,Switzerland,,14177,14181,14347,14400
