,Region,781,787,794,801,808
0,Belgium,,55300,59200,63300,66000
1,Bulgaria,,9520,8730,8180,7820
2,Czechia,,52000,52100,52100,52200
3,Denmark,,88300,79000,75100,69400
4,Germany,,1440000,1600000,1730000,1840000
5,Estonia,,12300,9310,7520,6310
6,Ireland,,22800,22000,21400,21200
7,Greece,,126000,130000,132000,131000
8,Spain,,110000,105000,102000,102000
9,France,,335000,329000,322000,328000
10,Croatia,,8300,8040,7520,7210
11,Italy,,396000,485000,564000,633000
12,Cyprus,,19300,20300,20800,20400
13,Latvia,,37400,32800,30000,27300
14,Lithuania,,28900,28500,27800,28100
15,Luxembourg,,5220,5240,5410,5240
16,Hungary,,10600,8160,6720,5580
17,Malta,,946,1050,1110,1200
18,Netherlands,,525000,545000,553000,561000
19,Austria,,327000,391000,433000,484000
20,Poland,,71700,70000,68700,67700
21,Portugal,,51500,45400,42100,38800
22,Romania,,16800,11900,8970,7000
23,Slovenia,,13600,14100,14400,15000
24,Slovakia,,72200,68900,66800,65100
25,Finland,,63800,77300,88000,102000
26,Sweden,,11100,9670,8580,7730
27,United Kingdom,,337000,343000,349000,347000
28,Iceland,,16600,16500,16000,16600
29,Liechtenstein,,1180,1150,1200,1140
30,Norway,,34000,26600,22000,19100
31,Switzerland,,213000,247000,271000,291000
