,Region,627,633,640,647,654
0,Belgium,13905,13905,13905,13905,13905
1,Bulgaria,14868,14868,14868,14868,14868
2,Czechia,5953,5953,5953,5953,5953
3,Denmark,3964,3964,3964,3964,3964
4,Germany,57943,57943,57943,57943,57943
5,Estonia,6261,6261,6261,6261,6261
6,Ireland,9531,9531,9531,9531,9531
7,Greece,15491,15491,15491,15491,15491
8,Spain,12491,12491,12491,12491,12491
9,France,35852,35852,35852,35852,35852
10,Croatia,9159,9159,9159,9159,9159
11,Italy,18282,18282,18282,18282,18282
12,Cyprus,720,720,720,720,720
13,Latvia,9635,9635,9635,9635,9635
14,Lithuania,14523,14523,14523,14523,14523
15,Luxembourg,692,692,692,692,692
16,Hungary,4026,4026,4026,4026,4026
17,Malta,150,150,150,150,150
18,Netherlands,16111,16111,16111,16111,16111
19,Austria,12393,12393,12393,12393,12393
20,Poland,11535,11535,11535,11535,11535
21,Portugal,4198,4198,4198,4198,4198
22,Romania,90813,90813,90813,90813,90813
23,Slovenia,5600,5600,5600,5600,5600
24,Slovakia,9576,9576,9576,9576,9576
25,Finland,3565,3565,3565,3565,3565
26,Sweden,4167,4167,4167,4167,4167
27,United Kingdom,254779,254779,254779,254779,254779
28,Iceland,308,308,308,308,308
29,Liechtenstein,8,8,8,8,8
30,Norway,3029,3029,3029,3029,3029
31,Switzerland,6845,6845,6845,6845,6845
