,Region,691,696,703
0,Belgium,,NaN,NaN
1,Bulgaria,,570,495
2,Czechia,,NaN,NaN
3,Denmark,,50,28
4,Germany,,3365,4139
5,Estonia,,37,43
6,Ireland,,NaN,NaN
7,Greece,,648,624
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,358,303
11,Italy,,740,809
12,Cyprus,,NaN,NaN
13,Latvia,,86,66
14,Lithuania,,109,91
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,540,609
19,Austria,,260,152
20,Poland,,2957,3073
21,Portugal,,109,78
22,Romania,,NaN,NaN
23,Slovenia,,100,86
24,Slovakia,,482,432
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,723,557
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
