,Region,495,500,507,514,521
0,Belgium,,83,69,60,50
1,Bulgaria,,121,85,61,43
2,Czechia,,66,44,27,18
3,Denmark,,8,9,10,11
4,Germany,,757,599,471,367
5,Estonia,,11,9,7,6
6,Ireland,,1,0,0,0
7,Greece,,260,229,203,178
8,Spain,,291,239,187,168
9,France,,527,407,288,255
10,Croatia,,86,54,35,23
11,Italy,,624,473,367,281
12,Cyprus,,4,3,2,1
13,Latvia,,46,40,35,30
14,Lithuania,,65,56,51,45
15,Luxembourg,,3,2,2,2
16,Hungary,,154,97,62,40
17,Malta,,0,0,0,0
18,Netherlands,,69,57,48,39
19,Austria,,38,27,23,18
20,Poland,,573,381,259,193
21,Portugal,,8,9,10,10
22,Romania,,253,191,150,122
23,Slovenia,,18,15,12,10
24,Slovakia,,46,34,27,22
25,Finland,,9,9,9,8
26,Sweden,,97,94,90,93
27,United Kingdom,,67,77,86,101
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,4,4,3,3
31,Switzerland,,30,28,25,23
