,Region,663,668,675,682,689
0,Belgium,,291,403,551,737
1,Bulgaria,,1496,1757,2077,2346
2,Czechia,,766,1238,1994,3105
3,Denmark,,36,45,57,72
4,Germany,,2219,3620,5729,8813
5,Estonia,,76,76,75,74
6,Ireland,,98,123,154,194
7,Greece,,518,617,728,855
8,Spain,,230,289,364,451
9,France,,276,301,334,364
10,Croatia,,559,796,1117,1545
11,Italy,,520,679,886,1123
12,Cyprus,,20,37,67,116
13,Latvia,,284,309,325,332
14,Lithuania,,211,200,189,175
15,Luxembourg,,7,8,10,11
16,Hungary,,1159,1738,2557,3673
17,Malta,,0,0,0,0
18,Netherlands,,254,330,432,550
19,Austria,,313,463,682,963
20,Poland,,1732,2640,4017,5914
21,Portugal,,53,63,76,89
22,Romania,,2173,1910,1712,1477
23,Slovenia,,119,144,175,208
24,Slovakia,,445,665,983,1439
25,Finland,,41,48,57,68
26,Sweden,,30,32,33,35
27,United Kingdom,,1311,1437,1577,1648
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,0,1,1,1
30,Norway,,72,115,193,307
31,Switzerland,,88,127,183,262
