,Region,803,808,815,822,829
0,Belgium,,NaN,NaN,NaN,NaN
1,Bulgaria,,109,93,78,65
2,Czechia,,165,147,127,107
3,Denmark,,NaN,NaN,NaN,NaN
4,Germany,,1680,1693,1623,1495
5,Estonia,,24,17,13,10
6,Ireland,,NaN,NaN,NaN,NaN
7,Greece,,437,461,470,476
8,Spain,,NaN,NaN,NaN,NaN
9,France,,NaN,NaN,NaN,NaN
10,Croatia,,77,75,72,69
11,Italy,,1058,1116,1126,1083
12,Cyprus,,17,21,25,28
13,Latvia,,47,33,22,14
14,Lithuania,,73,59,46,34
15,Luxembourg,,17,20,24,28
16,Hungary,,229,238,262,294
17,Malta,,16,23,36,55
18,Netherlands,,NaN,NaN,NaN,NaN
19,Austria,,299,263,208,151
20,Poland,,396,285,188,111
21,Portugal,,10293717,10293717,10293717,10293717
22,Romania,,146,125,111,101
23,Slovenia,,29,30,30,29
24,Slovakia,,116,100,86,70
25,Finland,,NaN,NaN,NaN,NaN
26,Sweden,,156,129,107,90
27,United Kingdom,,NaN,NaN,NaN,NaN
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,1,1,1,1
30,Norway,,NaN,NaN,NaN,NaN
31,Switzerland,,NaN,NaN,NaN,NaN
