,Region,670,675
0,Belgium,,220
1,Bulgaria,,614
2,Czechia,,754
3,Denmark,,69
4,Germany,,1761
5,Estonia,,39
6,Ireland,,NaN
7,Greece,,549
8,Spain,,106
9,France,,426
10,Croatia,,414
11,Italy,,523
12,Cyprus,,NaN
13,Latvia,,155
14,Lithuania,,152
15,Luxembourg,,NaN
16,Hungary,,1043
17,Malta,,NaN
18,Netherlands,,340
19,Austria,,NaN
20,Poland,,2214
21,Portugal,,99
22,Romania,,1116
23,Slovenia,,NaN
24,Slovakia,,381
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,41
31,Switzerland,,47
