,Region,789,794,801,808,815
0,Belgium,,117,108,104,98
1,Bulgaria,,128,88,102,118
2,Czechia,,222,214,211,209
3,Denmark,,241,211,190,173
4,Germany,,1303,1249,1180,1119
5,Estonia,,43,32,27,27
6,Ireland,,37,27,28,29
7,Greece,,383,398,417,441
8,Spain,,254,93,47,45
9,France,,825,861,908,907
10,Croatia,,81,68,61,58
11,Italy,,807,752,729,738
12,Cyprus,,19,18,18,18
13,Latvia,,63,59,57,56
14,Lithuania,,80,71,63,57
15,Luxembourg,,4,4,4,4
16,Hungary,,194,139,106,93
17,Malta,,6,7,7,7
18,Netherlands,,103,92,92,91
19,Austria,,202,182,173,171
20,Poland,,578,530,464,447
21,Portugal,,131,142,148,151
22,Romania,,302,312,370,470
23,Slovenia,,21,16,13,11
24,Slovakia,,206,191,180,164
25,Finland,,119,112,114,120
26,Sweden,,228,217,209,202
27,United Kingdom,,768,787,785,815
28,Iceland,,15,18,22,26
29,Liechtenstein,,1,1,0,0
30,Norway,,64,65,65,65
31,Switzerland,,50,42,38,35
