,Region,684,689,696,703,710
0,Belgium,,404,460,506,538
1,Bulgaria,,676,578,483,400
2,Czechia,,839,628,307,39
3,Denmark,,98,126,156,192
4,Germany,,2545,2791,2917,2900
5,Estonia,,31,24,16,13
6,Ireland,,61,69,76,81
7,Greece,,718,734,711,662
8,Spain,,171,206,284,335
9,France,,799,972,1107,1102
10,Croatia,,442,419,390,358
11,Italy,,674,803,932,1014
12,Cyprus,,8,16,17,19
13,Latvia,,124,96,80,63
14,Lithuania,,143,131,123,113
15,Luxembourg,,14,17,18,18
16,Hungary,,1142,768,319,3
17,Malta,,2,6,4,4
18,Netherlands,,416,425,401,355
19,Austria,,470,500,520,522
20,Poland,,3307,3335,2967,2483
21,Portugal,,120,125,125,119
22,Romania,,666,529,418,334
23,Slovenia,,96,74,51,35
24,Slovakia,,629,674,682,658
25,Finland,,68,69,80,86
26,Sweden,,30,40,40,37
27,United Kingdom,,898,967,1023,1057
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,69,79,99,114
31,Switzerland,,158,190,218,239
