,Region,600,605,612,619,626
0,Belgium,,43,48,52,52
1,Bulgaria,,383,401,392,370
2,Czechia,,15,17,17,17
3,Denmark,,19,18,16,14
4,Germany,,279,307,318,311
5,Estonia,,14,14,13,12
6,Ireland,,40,41,39,37
7,Greece,,310,320,315,301
8,Spain,,580,516,455,398
9,France,,497,462,427,394
10,Croatia,,75,85,86,82
11,Italy,,464,504,534,535
12,Cyprus,,12,11,9,8
13,Latvia,,27,33,36,36
14,Lithuania,,81,79,75,70
15,Luxembourg,,1,1,1,1
16,Hungary,,18,24,27,26
17,Malta,,3,3,3,2
18,Netherlands,,37,32,27,22
19,Austria,,46,51,53,52
20,Poland,,64,87,109,123
21,Portugal,,64,59,54,50
22,Romania,,333,387,416,415
23,Slovenia,,16,18,19,19
24,Slovakia,,11,15,18,19
25,Finland,,3,2,1,1
26,Sweden,,6,5,4,4
27,United Kingdom,,1040,1042,969,878
28,Iceland,,0,0,0,0
29,Liechtenstein,,1,1,1,1
30,Norway,,4,4,4,4
31,Switzerland,,39,35,32,28
