,Region,467,472
0,Belgium,,303
1,Bulgaria,,519
2,Czechia,,280
3,Denmark,,16
4,Germany,,1505
5,Estonia,,6
6,Ireland,,22
7,Greece,,417
8,Spain,,529
9,France,,1711
10,Croatia,,329
11,Italy,,1533
12,Cyprus,,22
13,Latvia,,46
14,Lithuania,,121
15,Luxembourg,,9
16,Hungary,,972
17,Malta,,4
18,Netherlands,,127
19,Austria,,123
20,Poland,,1976
21,Portugal,,6
22,Romania,,803
23,Slovenia,,49
24,Slovakia,,201
25,Finland,,7
26,Sweden,,143
27,United Kingdom,,73
28,Iceland,,0
29,Liechtenstein,,0
30,Norway,,6
31,Switzerland,,49
