,Region,516,521,528,535,542
0,Belgium,,32,19,11,6
1,Bulgaria,,51,39,29,20
2,Czechia,,27,17,11,7
3,Denmark,,3,2,1,1
4,Germany,,254,154,92,50
5,Estonia,,2,2,2,1
6,Ireland,,11,10,9,8
7,Greece,,84,56,36,22
8,Spain,,222,154,136,110
9,France,,209,145,94,69
10,Croatia,,21,14,9,6
11,Italy,,203,139,94,60
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,23,15,9,6
14,Lithuania,,14,7,3,1
15,Luxembourg,,0,0,0,0
16,Hungary,,28,18,10,6
17,Malta,,0,0,0,0
18,Netherlands,,16,10,6,3
19,Austria,,13,8,5,2
20,Poland,,123,73,43,26
21,Portugal,,19,27,38,50
22,Romania,,227,141,92,58
23,Slovenia,,6,4,2,1
24,Slovakia,,22,15,9,6
25,Finland,,3,3,2,2
26,Sweden,,NaN,NaN,NaN,NaN
27,United Kingdom,,129,196,279,373
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,1,1,1,1
31,Switzerland,,9,5,3,1
