,Region,599,605,612,619,626,633
0,Belgium,,51,49,48,47,45
1,Bulgaria,,511,533,503,489,478
2,Czechia,,10,14,19,25,34
3,Denmark,,16,13,10,8,6
4,Germany,,375,416,371,337,301
5,Estonia,,13,14,16,19,24
6,Ireland,,32,24,21,22,22
7,Greece,,290,268,225,194,170
8,Spain,,395,276,201,146,105
9,France,,655,515,395,309,235
10,Croatia,,77,99,127,154,197
11,Italy,,417,406,365,324,281
12,Cyprus,,11,9,7,5,4
13,Latvia,,23,32,47,56,67
14,Lithuania,,77,89,105,137,186
15,Luxembourg,,3,2,2,2,2
16,Hungary,,28,35,41,50,61
17,Malta,,3,2,2,2,2
18,Netherlands,,48,48,47,45,44
19,Austria,,45,49,58,67,75
20,Poland,,47,58,81,101,126
21,Portugal,,70,63,49,38,29
22,Romania,,353,524,811,1072,1429
23,Slovenia,,25,39,51,66,86
24,Slovakia,,8,12,18,27,39
25,Finland,,9,8,8,7,7
26,Sweden,,13,14,14,14,14
27,United Kingdom,,971,995,1026,1043,1049
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,1,0,0,0,1
30,Norway,,10,16,17,17,16
31,Switzerland,,52,68,84,97,111
