,County,740,745,752,759,766
0,01001,14742,607,525,476,388
1,01003,52649,2206,2120,1986,1597
2,01005,5263,202,132,87,85
3,01007,6107,282,209,150,113
4,01009,14056,659,616,513,436
5,01011,2234,78,51,30,26
6,01013,4784,231,176,140,112
7,01015,30046,1613,1459,1166,911
8,01017,8181,260,236,217,173
9,01019,4822,395,329,286,224
10,01021,9977,550,408,332,261
11,01023,1778,190,134,87,66
12,01025,6756,292,200,173,137
13,01027,3902,260,153,107,83
14,01029,3382,263,159,101,165
15,01031,12807,660,668,609,475
16,01033,15233,1160,826,570,442
17,01035,2757,151,102,81,70
18,01037,2761,155,130,103,94
19,01039,8910,336,277,260,245
20,01041,3620,191,158,129,100
21,01043,23013,1400,1286,1237,910
22,01045,11828,478,506,467,310
23,01047,7813,465,297,217,187
24,01049,17619,1072,928,888,650
25,01051,22052,1046,868,698,527
26,01053,9596,358,302,274,219
27,01055,27123,1634,1528,1268,989
28,01057,4380,254,180,145,129
29,01059,9144,686,452,341,262
30,01061,5842,340,282,223,180
31,01063,1731,67,46,36,31
32,01065,4383,170,137,101,84
33,01067,4220,218,173,140,115
34,01069,23684,1098,1001,887,654
35,01071,13988,962,674,650,576
36,01073,175014,8538,6337,4606,3365
37,01075,3412,255,190,152,134
38,01077,22518,1512,1278,1000,782
39,01079,7088,502,364,332,231
40,01081,36183,1578,1370,1302,1238
41,01083,23342,1332,1225,1006,552
42,01085,2516,77,51,41,34
43,01087,3667,179,139,122,114
44,01089,82478,5599,4713,3816,2851
45,01091,4532,197,164,127,104
46,01093,7552,469,304,236,224
47,01095,25848,1846,1547,1285,862
48,01097,107243,3569,2963,2476,1891
49,01099,5010,326,266,248,215
50,01101,52396,1914,1447,1046,756
51,01103,33760,2076,1549,1089,869
52,01105,1953,104,78,65,55
53,01107,4857,261,175,125,106
54,01109,7057,434,385,286,232
55,01111,4837,226,137,97,80
56,01113,9483,464,453,402,318
57,01115,23910,1068,835,590,447
58,01117,56338,3257,2644,2046,1579
59,01119,2271,227,177,131,94
60,01121,20841,1071,1119,1036,713
61,01123,10835,477,406,349,354
62,01125,51690,2496,2376,1864,1308
63,01127,17395,1535,1216,828,568
64,01129,3447,185,134,85,90
65,01131,2682,138,124,113,103
66,01133,6919,614,614,614,516
67,02013,860,112,95,68,44
68,02016,1579,96,83,66,50
69,02020,93006,6486,5647,4806,4026
70,02050,8091,388,350,340,323
71,02060,0,0,0,0,0
72,02068,353,22,20,19,18
73,02070,1267,72,69,64,54
74,02090,24559,2615,2440,2124,1950
75,02100,407,28,26,24,22
76,02105,0,0,0,0,0
77,02110,7113,547,476,430,380
78,02122,15200,1085,1066,986,868
79,02130,3347,388,396,378,324
80,02150,4350,344,267,210,176
81,02158,3217,232,201,157,119
82,02164,746,38,26,17,11
83,02170,31168,2251,2231,2035,1990
84,02180,3899,537,461,329,255
85,02185,3663,192,179,158,136
86,02188,3377,332,267,187,146
87,02195,626,23,23,23,23
88,02198,1075,137,137,137,137
89,02220,1970,128,118,111,106
90,02230,111,5,5,5,5
91,02240,1749,142,152,151,128
92,02261,0,0,0,0,0
93,02275,427,45,45,45,45
94,02282,434,14,9,5,3
95,02290,1117,67,62,59,56
96,04001,20499,1365,1357,1128,863
97,04003,28140,2634,2294,1929,1680
98,04005,40683,2481,1506,815,432
99,04007,15606,801,623,486,391
100,04009,11112,681,592,582,572
101,04011,2068,108,106,95,88
102,04012,4794,296,266,225,183
103,04013,1183959,61523,41181,32280,28737
104,04015,53318,3627,2779,2244,1836
105,04017,35330,1712,1268,862,671
106,04019,234028,15254,13006,11187,9205
107,04021,121256,7408,5865,4837,4433
108,04023,15699,1319,799,571,337
109,04025,44894,2385,2075,1838,1594
110,04027,59258,3916,3130,2468,1892
111,05001,5382,234,145,87,67
112,05003,4732,234,186,140,107
113,05005,8154,387,321,315,310
114,05007,62679,3159,2162,1574,1252
115,05009,8892,463,380,313,276
116,05011,2845,139,106,84,65
117,05013,836,44,38,32,27
118,05015,5744,273,239,223,214
119,05017,2657,75,64,56,44
120,05019,4896,152,127,81,65
121,05021,3810,162,121,96,76
122,05023,5987,305,213,162,127
123,05025,2158,114,99,77,58
124,05027,4908,190,149,124,105
125,05029,5118,230,176,129,100
126,05031,34632,1061,601,380,330
127,05033,15042,687,527,420,342
128,05035,13265,359,238,134,116
129,05037,4463,204,143,100,78
130,05039,1630,65,45,29,26
131,05041,2886,126,94,82,70
132,05043,4361,184,146,124,99
133,05045,32965,1556,1243,1099,987
