,County,810,815,822,829,836,843,850,857,864
0,01001,NaN,85,85,85,85,85,85,85,85
1,01003,NaN,69,69,69,69,69,69,69,69
2,01005,NaN,2,2,2,2,2,2,2,2
3,01007,NaN,5,5,5,5,5,5,5,5
4,01009,NaN,28,28,28,28,28,28,28,28
5,01011,NaN,1,1,1,1,1,1,1,1
6,01013,NaN,1,1,1,1,1,1,1,1
7,01015,NaN,0,0,0,0,0,0,0,0
8,01017,NaN,3,3,3,3,3,3,3,3
9,01019,NaN,5,5,5,5,5,5,5,5
10,01021,NaN,16,16,16,16,16,16,16,16
11,01023,NaN,4,4,4,4,4,4,4,4
12,01025,NaN,26,26,26,26,26,26,26,26
13,01027,NaN,0,0,0,0,0,0,0,0
14,01029,NaN,0,0,0,0,0,0,0,0
15,01031,NaN,10,10,10,10,10,10,10,10
16,01033,NaN,21,21,21,21,21,21,21,21
17,01035,NaN,5,5,5,5,5,5,5,5
18,01037,NaN,4,4,4,4,4,4,4,4
19,01039,NaN,4,4,4,4,4,4,4,4
20,01041,NaN,2,2,2,2,2,2,2,2
21,01043,NaN,9,9,9,9,9,9,9,9
22,01045,NaN,3,3,3,3,3,3,3,3
23,01047,NaN,7,7,7,7,7,7,7,7
24,01049,NaN,6,6,6,6,6,6,6,6
25,01051,NaN,154,154,154,154,154,154,154,154
26,01053,NaN,20,20,20,20,20,20,20,20
27,01055,NaN,0,0,0,0,0,0,0,0
28,01057,NaN,2,2,2,2,2,2,2,2
29,01059,NaN,2,2,2,2,2,2,2,2
30,01061,NaN,2,2,2,2,2,2,2,2
31,01063,NaN,1,1,1,1,1,1,1,1
32,01065,NaN,3,3,3,3,3,3,3,3
33,01067,NaN,0,0,0,0,0,0,0,0
34,01069,NaN,16,16,16,16,16,16,16,16
35,01071,NaN,0,0,0,0,0,0,0,0
36,01073,NaN,158,158,158,158,158,158,158,158
37,01075,NaN,1,1,1,1,1,1,1,1
38,01077,NaN,23,23,23,23,23,23,23,23
39,01079,NaN,3,3,3,3,3,3,3,3
40,01081,NaN,15,15,15,15,15,15,15,15
41,01083,NaN,15,15,15,15,15,15,15,15
42,01085,NaN,0,0,0,0,0,0,0,0
43,01087,NaN,6,6,6,6,6,6,6,6
44,01089,NaN,139,139,139,139,139,139,139,139
45,01091,NaN,8,8,8,8,8,8,8,8
46,01093,NaN,4,4,4,4,4,4,4,4
47,01095,NaN,2,2,2,2,2,2,2,2
48,01097,NaN,32,32,32,32,32,32,32,32
49,01099,NaN,1,1,1,1,1,1,1,1
50,01101,NaN,51,51,51,51,51,51,51,51
51,01103,NaN,9,9,9,9,9,9,9,9
52,01105,NaN,1,1,1,1,1,1,1,1
53,01107,NaN,2,2,2,2,2,2,2,2
54,01109,NaN,3,3,3,3,3,3,3,3
55,01111,NaN,2,2,2,2,2,2,2,2
56,01113,NaN,11,11,11,11,11,11,11,11
57,01115,NaN,20,20,20,20,20,20,20,20
58,01117,NaN,88,88,88,88,88,88,88,88
59,01119,NaN,1,1,1,1,1,1,1,1
60,01121,NaN,18,18,18,18,18,18,18,18
61,01123,NaN,6,6,6,6,6,6,6,6
62,01125,NaN,89,89,89,89,89,89,89,89
63,01127,NaN,54,54,54,54,54,54,54,54
64,01129,NaN,1,1,1,1,1,1,1,1
65,01131,NaN,6,6,6,6,6,6,6,6
66,01133,NaN,0,0,0,0,0,0,0,0
