,County,453,458,465,472,479
0,01001,6763,50,56,45,45
1,01003,20730,94,88,93,84
2,01005,2271,16,20,18,17
3,01007,2567,9,9,7,6
4,01009,6532,40,39,39,38
5,01011,1220,6,6,6,6
6,01013,2132,11,11,10,11
7,01015,14358,70,72,76,76
8,01017,3519,16,16,19,17
9,01019,1827,7,7,7,8
10,01021,4130,34,34,33,31
11,01023,588,2,2,2,2
12,01025,3473,8,8,9,9
13,01027,1502,7,8,8,8
14,01029,1470,6,6,7,7
15,01031,5436,29,26,23,29
16,01033,6236,34,30,30,30
17,01035,1097,5,4,4,5
18,01037,994,8,10,9,7
19,01039,4069,12,14,16,16
20,01041,1495,3,3,3,3
21,01043,9509,47,40,40,35
22,01045,4781,14,15,15,19
23,01047,3528,9,7,5,4
24,01049,8762,28,22,20,19
25,01051,10024,30,30,30,30
26,01053,3903,16,19,22,24
27,01055,13705,40,37,37,36
28,01057,2096,12,10,8,7
29,01059,4213,12,9,11,11
30,01061,2464,6,5,5,4
31,01063,914,5,4,4,4
32,01065,2186,8,7,6,5
33,01067,1884,5,6,5,4
34,01069,10416,30,29,29,29
35,01071,6762,17,25,14,12
36,01073,75537,244,200,163,145
37,01075,1400,5,5,4,4
38,01077,9280,60,54,47,43
39,01079,2963,15,14,11,11
40,01081,15638,105,114,120,106
41,01083,9862,48,47,48,49
42,01085,1373,6,6,5,5
43,01087,1565,13,15,15,15
44,01089,34124,255,255,246,268
45,01091,2485,0,0,0,0
46,01093,3076,7,7,7,7
47,01095,12012,59,54,55,55
48,01097,39129,379,510,493,614
49,01099,1731,11,10,12,11
50,01101,24059,109,100,96,95
51,01103,14171,36,36,32,38
52,01105,1077,0,0,0,0
53,01107,2332,4,4,3,3
54,01109,3066,10,12,12,12
55,01111,1778,9,8,7,7
56,01113,4312,29,32,32,30
57,01115,9486,56,51,52,52
58,01117,23225,95,98,110,92
59,01119,1033,3,3,3,3
60,01121,8127,62,62,53,45
61,01123,3922,24,25,23,23
62,01125,25408,121,139,120,113
63,01127,7151,41,41,41,40
64,01129,1655,7,7,7,9
65,01131,1247,3,4,4,4
66,01133,2732,10,10,10,12
67,02013,365,1,1,1,1
68,02016,683,13,7,13,13
