,County,635,640
0,01001,NaN,45
1,01003,NaN,179
2,01005,NaN,13
3,01007,NaN,28
4,01009,NaN,96
5,01011,NaN,6
6,01013,NaN,16
7,01015,NaN,177
8,01017,NaN,34
9,01019,NaN,24
10,01021,NaN,45
11,01023,NaN,14
12,01025,NaN,11
13,01027,NaN,22
14,01029,NaN,24
15,01031,NaN,45
16,01033,NaN,69
17,01035,NaN,12
18,01037,NaN,19
19,01039,NaN,47
20,01041,NaN,13
21,01043,NaN,136
22,01045,NaN,47
23,01047,NaN,50
24,01049,NaN,84
25,01051,NaN,152
26,01053,NaN,39
27,01055,NaN,86
28,01057,NaN,32
29,01059,NaN,24
30,01061,NaN,25
31,01063,NaN,11
32,01065,NaN,61
33,01067,NaN,23
34,01069,NaN,110
35,01071,NaN,100
36,01073,NaN,380
37,01075,NaN,44
38,01077,NaN,148
39,01079,NaN,36
40,01081,NaN,124
41,01083,NaN,120
42,01085,NaN,10
43,01087,NaN,27
44,01089,NaN,385
45,01091,NaN,22
46,01093,NaN,39
47,01095,NaN,77
48,01097,NaN,404
49,01099,NaN,25
50,01101,NaN,202
51,01103,NaN,155
52,01105,NaN,7
53,01107,NaN,19
54,01109,NaN,28
55,01111,NaN,27
56,01113,NaN,45
57,01115,NaN,92
58,01117,NaN,231
59,01119,NaN,13
60,01121,NaN,148
61,01123,NaN,78
62,01125,NaN,254
63,01127,NaN,99
64,01129,NaN,8
65,01131,NaN,12
66,01133,NaN,47
67,02013,NaN,3
68,02016,NaN,4
69,02020,NaN,2419
70,02050,NaN,179
71,02060,NaN,0
72,02068,NaN,5
73,02070,NaN,49
74,02090,NaN,628
75,02100,NaN,7
76,02105,NaN,0
77,02110,NaN,166
78,02122,NaN,594
79,02130,NaN,42
80,02150,NaN,87
81,02158,NaN,81
82,02164,NaN,28
83,02170,NaN,949
84,02180,NaN,87
85,02185,NaN,54
86,02188,NaN,120
87,02195,NaN,6
88,02198,NaN,10
89,02220,NaN,13
90,02230,NaN,0
91,02240,NaN,32
92,02261,NaN,0
93,02275,NaN,1
94,02282,NaN,10
95,02290,NaN,26
96,04001,NaN,174
97,04003,NaN,337
98,04005,NaN,355
99,04007,NaN,142
100,04009,NaN,136
101,04011,NaN,21
102,04012,NaN,28
103,04013,NaN,8721
104,04015,NaN,467
105,04017,NaN,310
106,04019,NaN,1730
107,04021,NaN,1018
108,04023,NaN,48
109,04025,NaN,457
110,04027,NaN,183
111,05001,NaN,18
112,05003,NaN,16
113,05005,NaN,29
114,05007,NaN,300
115,05009,NaN,44
116,05011,NaN,5
117,05013,NaN,1
118,05015,NaN,26
119,05017,NaN,5
120,05019,NaN,22
121,05021,NaN,20
122,05023,NaN,34
123,05025,NaN,16
124,05027,NaN,23
125,05029,NaN,13
126,05031,NaN,167
127,05033,NaN,82
128,05035,NaN,73
129,05037,NaN,34
130,05039,NaN,5
131,05041,NaN,17
132,05043,NaN,26
133,05045,NaN,140
134,05047,NaN,15
135,05049,NaN,8
136,05051,NaN,96
137,05053,NaN,15
138,05055,NaN,95
139,05057,NaN,23
140,05059,NaN,62
141,05061,NaN,23
142,05063,NaN,83
143,05065,NaN,46
144,05067,NaN,49
145,05069,NaN,33
146,05071,NaN,39
147,05073,NaN,8
148,05075,NaN,27
149,05077,NaN,10
150,05079,NaN,13
151,05081,NaN,20
152,05083,NaN,45
153,05085,NaN,89
154,05087,NaN,19
155,05089,NaN,8
156,05091,NaN,64
157,05093,NaN,86
158,05095,NaN,8
159,05097,NaN,1
160,05099,NaN,17
161,05101,NaN,8
162,05103,NaN,11
163,05105,NaN,13
164,05107,NaN,21
165,05109,NaN,17
166,05111,NaN,41
167,05113,NaN,34
168,05115,NaN,76
169,05117,NaN,2
170,05119,NaN,303
171,05121,NaN,45
172,05123,NaN,35
173,05125,NaN,108
174,05127,NaN,19
175,05129,NaN,4
176,05131,NaN,182
177,05133,NaN,48
178,05135,NaN,38
179,05137,NaN,32
180,05139,NaN,78
181,05141,NaN,19
182,05143,NaN,285
183,05145,NaN,114
184,05147,NaN,5
185,05149,NaN,31
186,06001,NaN,728
187,06003,NaN,0
188,06005,NaN,76
189,06007,NaN,378
190,06009,NaN,59
191,06011,NaN,22
192,06013,NaN,675
193,06015,NaN,33
194,06017,NaN,170
195,06019,NaN,1932
196,06021,NaN,55
197,06023,NaN,192
198,06025,NaN,389
199,06027,NaN,89
200,06029,NaN,1970
201,06031,NaN,542
202,06033,NaN,91
203,06035,NaN,111
204,06037,NaN,5665
205,06039,NaN,425
206,06041,NaN,101
207,06043,NaN,65
208,06045,NaN,106
209,06047,NaN,455
210,06049,NaN,21
211,06051,NaN,39
212,06053,NaN,190
213,06055,NaN,123
214,06057,NaN,130
215,06059,NaN,1507
216,06061,NaN,494
217,06063,NaN,105
218,06065,NaN,2065
219,06067,NaN,1735
220,06069,NaN,84
221,06071,NaN,1725
222,06073,NaN,2900
223,06075,NaN,430
224,06077,NaN,854
225,06079,NaN,237
226,06081,NaN,306
227,06083,NaN,389
228,06085,NaN,931
229,06087,NaN,156
230,06089,NaN,492
231,06091,NaN,15
232,06093,NaN,77
233,06095,NaN,331
234,06097,NaN,338
235,06099,NaN,1061
236,06101,NaN,173
237,06103,NaN,249
238,06105,NaN,21
239,06107,NaN,1413
240,06109,NaN,130
241,06111,NaN,638
242,06113,NaN,242
243,06115,NaN,172
244,08001,NaN,1382
245,08003,NaN,72
246,08005,NaN,1558
247,08007,NaN,37
248,08009,NaN,9
249,08011,NaN,32
250,08013,NaN,617
251,08014,NaN,137
252,08015,NaN,35
253,08017,NaN,6
254,08019,NaN,20
255,08021,NaN,38
256,08023,NaN,10
257,08025,NaN,26
258,08027,NaN,14
259,08029,NaN,168
260,08031,NaN,1427
261,08033,NaN,10
262,08035,NaN,790
263,08037,NaN,113
264,08039,NaN,73
265,08041,NaN,2126
266,08043,NaN,268
267,08045,NaN,170
268,08047,NaN,8
269,08049,NaN,36
270,08051,NaN,24
271,08053,NaN,0
272,08055,NaN,13
273,08057,NaN,1
274,08059,NaN,1341
275,08061,NaN,15
276,08063,NaN,28
277,08065,NaN,22
278,08067,NaN,117
279,08069,NaN,1015
280,08071,NaN,31
281,08073,NaN,23
282,08075,NaN,85
283,08077,NaN,588
284,08079,NaN,1
285,08081,NaN,75
286,08083,NaN,121
287,08085,NaN,204
288,08087,NaN,73
289,08089,NaN,101
290,08091,NaN,16
291,08093,NaN,54
292,08095,NaN,15
293,08097,NaN,28
294,08099,NaN,42
295,08101,NaN,661
296,08103,NaN,28
297,08105,NaN,83
298,08107,NaN,73
299,08109,NaN,34
300,08111,NaN,2
301,08113,NaN,12
302,08115,NaN,12
303,08117,NaN,78
304,08119,NaN,100
305,08121,NaN,31
306,08123,NaN,1051
307,08125,NaN,48
308,09001,NaN,614
309,09003,NaN,667
310,09005,NaN,160
311,09007,NaN,129
312,09009,NaN,779
313,09011,NaN,243
314,09013,NaN,89
315,09015,NaN,208
316,10001,NaN,567
317,10003,NaN,1194
318,10005,NaN,632
319,11001,NaN,633
320,12001,NaN,240
321,12003,NaN,14
322,12005,NaN,128
323,12007,NaN,17
324,12009,NaN,352
325,12011,NaN,1851
326,12013,NaN,10
327,12015,NaN,163
328,12017,NaN,95
329,12019,NaN,162
330,12021,NaN,252
331,12023,NaN,39
332,12027,NaN,25
333,12029,NaN,16
334,12031,NaN,710
335,12033,NaN,218
336,12035,NaN,69
337,12037,NaN,6
338,12039,NaN,37
339,12041,NaN,16
340,12043,NaN,16
341,12045,NaN,6
342,12047,NaN,17
