,County,579,584,591,598,605
0,01001,NaN,338,344,287,278
1,01003,NaN,1895,1807,1633,1655
2,01005,NaN,119,116,115,117
3,01007,NaN,154,175,157,143
4,01009,NaN,317,324,289,286
5,01011,NaN,40,38,36,35
6,01013,NaN,83,82,77,82
7,01015,NaN,635,635,616,633
8,01017,NaN,204,185,158,152
9,01019,NaN,125,131,115,106
10,01021,NaN,302,301,276,261
11,01023,NaN,15,15,14,13
12,01025,NaN,115,115,106,108
13,01027,NaN,90,95,94,89
14,01029,NaN,80,72,70,71
15,01031,NaN,381,367,335,296
16,01033,NaN,246,241,234,221
17,01035,NaN,99,102,99,99
18,01037,NaN,78,84,68,79
19,01039,NaN,282,288,191,187
20,01041,NaN,110,113,100,98
21,01043,NaN,569,608,591,580
22,01045,NaN,476,410,399,397
23,01047,NaN,159,159,147,160
24,01049,NaN,379,396,392,404
25,01051,NaN,729,722,703,732
26,01053,NaN,391,383,392,305
27,01055,NaN,581,581,583,589
28,01057,NaN,73,73,73,71
29,01059,NaN,152,150,140,137
30,01061,NaN,281,261,241,226
31,01063,NaN,38,40,36,40
32,01065,NaN,77,76,72,69
33,01067,NaN,123,121,100,98
34,01069,NaN,663,673,634,668
35,01071,NaN,234,233,237,228
36,01073,NaN,4317,4503,4360,4454
37,01075,NaN,62,63,64,65
38,01077,NaN,531,525,525,513
39,01079,NaN,155,157,146,139
40,01081,NaN,884,922,911,887
41,01083,NaN,491,495,467,421
42,01085,NaN,36,36,36,35
43,01087,NaN,72,75,76,77
44,01089,NaN,1640,1630,1644,1624
45,01091,NaN,126,123,121,121
46,01093,NaN,173,170,148,146
47,01095,NaN,662,643,589,509
48,01097,NaN,3486,3381,3184,3033
49,01099,NaN,202,198,185,170
50,01101,NaN,1221,1256,1204,1217
51,01103,NaN,638,645,633,628
52,01105,NaN,36,35,31,30
53,01107,NaN,76,76,75,73
54,01109,NaN,181,177,157,157
55,01111,NaN,112,117,114,94
56,01113,NaN,173,174,173,166
57,01115,NaN,771,770,779,784
58,01117,NaN,1299,1323,1249,1202
59,01119,NaN,21,21,20,21
60,01121,NaN,525,508,470,452
61,01123,NaN,308,322,334,299
62,01125,NaN,736,748,727,694
63,01127,NaN,403,403,402,392
64,01129,NaN,118,119,103,103
65,01131,NaN,29,29,29,29
66,01133,NaN,200,203,200,192
67,02013,NaN,3,3,3,3
68,02016,NaN,9,10,10,9
69,02020,NaN,1182,1179,1171,1160
70,02050,NaN,85,78,77,72
71,02060,NaN,0,0,0,0
72,02068,NaN,8,7,8,7
73,02070,NaN,35,36,35,34
74,02090,NaN,192,190,191,191
75,02100,NaN,48,51,44,33
76,02105,NaN,0,0,0,0
77,02110,NaN,170,167,161,167
78,02122,NaN,428,426,417,420
79,02130,NaN,100,93,97,98
80,02150,NaN,83,83,82,81
81,02158,NaN,33,31,32,27
82,02164,NaN,14,14,14,14
83,02170,NaN,385,398,399,377
84,02180,NaN,162,152,157,150
85,02185,NaN,50,50,44,43
86,02188,NaN,65,66,60,53
87,02195,NaN,3,3,3,3
88,02198,NaN,25,24,22,25
89,02220,NaN,63,65,65,57
90,02230,NaN,7,7,7,7
91,02240,NaN,6,7,6,6
92,02261,NaN,1,1,1,1
93,02275,NaN,11,11,11,11
94,02282,NaN,7,7,7,7
95,02290,NaN,11,11,10,10
96,04001,NaN,150,148,150,150
97,04003,NaN,151,149,141,139
98,04005,NaN,268,265,262,261
99,04007,NaN,175,174,164,172
100,04009,NaN,94,95,93,90
101,04011,NaN,29,24,20,20
102,04012,NaN,27,27,27,26
103,04013,NaN,11602,11700,11712,11702
104,04015,NaN,577,576,559,540
105,04017,NaN,259,264,247,262
106,04019,NaN,1525,1527,1519,1518
107,04021,NaN,1317,1308,1320,1294
108,04023,NaN,52,45,45,45
109,04025,NaN,525,527,527,528
110,04027,NaN,332,329,308,307
111,05001,NaN,136,127,132,130
112,05003,NaN,164,164,159,160
113,05005,NaN,193,198,151,145
114,05007,NaN,1249,1250,1245,1238
115,05009,NaN,181,187,183,166
116,05011,NaN,31,31,30,29
117,05013,NaN,14,14,11,11
118,05015,NaN,133,132,130,122
119,05017,NaN,58,58,51,56
120,05019,NaN,88,89,88,89
121,05021,NaN,56,56,56,56
122,05023,NaN,129,127,122,116
123,05025,NaN,29,29,28,25
124,05027,NaN,102,100,94,91
125,05029,NaN,82,82,81,80
126,05031,NaN,797,789,802,805
127,05033,NaN,258,266,229,274
128,05035,NaN,257,261,248,237
129,05037,NaN,64,64,63,60
130,05039,NaN,27,28,27,25
131,05041,NaN,51,51,49,50
132,05043,NaN,52,52,52,52
133,05045,NaN,553,555,425,546
134,05047,NaN,110,112,113,109
135,05049,NaN,26,23,23,22
136,05051,NaN,525,480,520,544
137,05053,NaN,84,84,82,67
138,05055,NaN,401,401,402,391
139,05057,NaN,88,88,88,86
140,05059,NaN,221,212,225,202
141,05061,NaN,80,80,77,78
142,05063,NaN,173,169,154,153
143,05065,NaN,67,67,65,60
144,05067,NaN,75,75,74,71
145,05069,NaN,322,328,320,218
146,05071,NaN,168,159,159,161
147,05073,NaN,25,25,25,25
148,05075,NaN,94,93,85,93
149,05077,NaN,28,31,29,28
150,05079,NaN,31,36,33,31
151,05081,NaN,64,64,62,57
152,05083,NaN,159,159,158,156
153,05085,NaN,358,343,342,344
154,05087,NaN,107,106,109,110
155,05089,NaN,101,102,90,100
156,05091,NaN,171,170,170,165
157,05093,NaN,219,220,205,197
158,05095,NaN,35,34,31,32
159,05097,NaN,40,38,36,34
160,05099,NaN,39,38,37,34
161,05101,NaN,39,40,41,39
162,05103,NaN,72,73,70,64
163,05105,NaN,45,44,53,53
164,05107,NaN,114,116,116,117
165,05109,NaN,50,48,50,52
166,05111,NaN,148,141,156,151
167,05113,NaN,81,81,80,77
168,05115,NaN,451,452,452,453
169,05117,NaN,58,60,50,50
170,05119,NaN,1572,1600,1519,1581
171,05121,NaN,90,91,89,89
172,05123,NaN,82,83,82,82
173,05125,NaN,461,464,473,466
174,05127,NaN,34,36,36,36
175,05129,NaN,34,32,30,29
176,05131,NaN,707,706,706,704
177,05133,NaN,74,73,70,67
178,05135,NaN,71,71,67,69
179,05137,NaN,30,29,29,29
180,05139,NaN,104,103,98,93
181,05141,NaN,59,58,58,54
182,05143,NaN,1441,1455,1423,1454
183,05145,NaN,395,376,391,393
184,05147,NaN,41,40,36,37
185,05149,NaN,107,108,108,107
186,06001,NaN,2888,2993,3117,3144
187,06003,NaN,0,0,1,0
188,06005,NaN,152,150,148,145
189,06007,NaN,518,518,512,508
190,06009,NaN,145,151,147,147
191,06011,NaN,106,106,99,91
192,06013,NaN,2627,2652,2602,2635
193,06015,NaN,375,369,346,306
194,06017,NaN,536,540,474,496
195,06019,NaN,2606,2632,2617,2658
196,06021,NaN,68,68,64,62
197,06023,NaN,449,454,437,382
198,06025,NaN,319,404,328,280
199,06027,NaN,15,16,10,9
200,06029,NaN,2581,2605,2364,2524
201,06031,NaN,670,659,646,669
202,06033,NaN,212,203,179,179
203,06035,NaN,106,107,103,95
204,06037,NaN,33016,33026,30956,31042
205,06039,NaN,394,398,377,377
206,06041,NaN,336,335,327,320
207,06043,NaN,64,64,64,63
208,06045,NaN,341,343,338,333
209,06047,NaN,849,881,864,855
210,06049,NaN,12,12,12,11
211,06051,NaN,40,41,35,37
212,06053,NaN,501,487,462,464
213,06055,NaN,328,327,325,323
214,06057,NaN,395,380,386,360
215,06059,NaN,5828,5826,5778,5753
216,06061,NaN,1161,1166,1083,1073
217,06063,NaN,51,58,55,48
218,06065,NaN,6035,6213,6114,6210
219,06067,NaN,4363,4365,4358,4305
220,06069,NaN,116,118,108,104
221,06071,NaN,5851,5747,5789,4966
222,06073,NaN,9008,8954,8131,7583
223,06075,NaN,1234,1232,1235,1063
224,06077,NaN,2164,2209,2027,1979
225,06079,NaN,800,785,777,731
