,County,550,556,563,570,577,584,591
0,01001,NaN,62,73,84,95,95,96
1,01003,NaN,1277,2005,2422,2339,1935,1352
2,01005,NaN,16,18,14,13,9,7
3,01007,NaN,29,29,28,20,15,10
4,01009,NaN,99,138,170,185,191,175
5,01011,NaN,0,0,0,0,0,0
6,01013,NaN,38,58,60,61,54,46
7,01015,NaN,262,579,1079,1873,2507,2760
8,01017,NaN,53,75,94,105,105,86
9,01019,NaN,19,18,15,14,9,7
10,01021,NaN,88,122,144,166,159,146
11,01023,NaN,0,0,0,0,0,0
12,01025,NaN,31,27,23,17,13,8
13,01027,NaN,7,7,7,7,8,11
14,01029,NaN,0,0,0,0,0,0
15,01031,NaN,212,298,375,406,393,331
16,01033,NaN,58,78,93,101,108,106
17,01035,NaN,6,3,1,0,0,0
18,01037,NaN,15,24,27,31,31,33
19,01039,NaN,120,164,186,174,157,130
20,01041,NaN,4,1,0,0,0,0
21,01043,NaN,145,212,283,336,363,366
22,01045,NaN,228,328,396,401,358,288
23,01047,NaN,27,32,36,38,37,36
24,01049,NaN,218,435,701,962,1027,924
25,01051,NaN,169,241,344,432,460,459
26,01053,NaN,93,146,189,207,207,175
27,01055,NaN,319,563,871,1106,1193,1042
28,01057,NaN,11,13,11,7,7,7
29,01059,NaN,36,56,65,73,81,74
30,01061,NaN,73,115,152,170,163,150
31,01063,NaN,14,10,6,1,0,0
32,01065,NaN,2,1,0,0,0,0
33,01067,NaN,13,18,20,19,15,13
34,01069,NaN,407,633,839,944,938,791
35,01071,NaN,92,120,139,162,175,176
36,01073,NaN,1581,3049,5280,7972,10465,10771
37,01075,NaN,0,1,0,0,0,0
38,01077,NaN,108,130,160,195,210,232
39,01079,NaN,14,20,19,16,14,14
40,01081,NaN,253,393,551,710,850,906
41,01083,NaN,165,241,324,387,416,405
42,01085,NaN,0,0,0,0,0,0
43,01087,NaN,13,8,7,7,6,6
44,01089,NaN,605,1012,1630,2316,2855,3213
45,01091,NaN,9,7,4,1,0,0
46,01093,NaN,29,31,36,33,33,30
47,01095,NaN,187,312,439,555,653,650
48,01097,NaN,2421,4051,5364,5769,5006,3576
49,01099,NaN,43,51,56,61,61,55
50,01101,NaN,386,665,1062,1540,1904,2044
51,01103,NaN,133,206,302,406,487,521
52,01105,NaN,0,0,0,0,0,0
53,01107,NaN,0,0,0,0,0,0
54,01109,NaN,28,29,27,22,22,16
55,01111,NaN,15,21,21,21,17,15
56,01113,NaN,41,54,65,77,85,89
57,01115,NaN,256,485,762,1014,1130,1070
58,01117,NaN,460,675,897,1075,1174,1185
59,01119,NaN,0,0,0,0,0,0
60,01121,NaN,94,123,129,118,103,91
61,01123,NaN,81,68,51,35,24,20
62,01125,NaN,351,622,892,1136,1287,1247
63,01127,NaN,110,148,190,226,243,239
64,01129,NaN,2,2,0,0,0,0
65,01131,NaN,0,0,0,0,0,0
66,01133,NaN,45,72,85,85,79,69
67,02013,NaN,0,0,0,0,0,0
68,02016,NaN,0,0,0,0,0,0
69,02020,NaN,758,1069,1447,1798,2035,2133
70,02050,NaN,0,0,0,0,0,0
71,02060,NaN,0,0,0,0,0,0
72,02068,NaN,0,0,0,0,0,0
73,02070,NaN,0,0,0,0,0,0
74,02090,NaN,53,85,113,147,179,213
75,02100,NaN,0,0,0,0,0,0
76,02105,NaN,0,0,0,0,0,0
77,02110,NaN,84,148,201,237,245,221
78,02122,NaN,213,310,394,442,471,433
79,02130,NaN,0,0,0,0,0,0
80,02150,NaN,7,3,0,0,0,0
81,02158,NaN,0,0,0,0,0,0
82,02164,NaN,0,0,0,0,0,0
83,02170,NaN,86,120,142,153,163,169
84,02180,NaN,0,0,0,0,0,0
85,02185,NaN,0,0,0,0,0,0
86,02188,NaN,0,0,0,0,0,0
87,02195,NaN,0,0,0,0,0,0
88,02198,NaN,0,0,0,0,0,0
89,02220,NaN,21,19,11,6,1,0
90,02230,NaN,0,0,0,0,0,0
91,02240,NaN,0,0,0,0,0,0
92,02261,NaN,0,0,0,0,0,0
93,02275,NaN,0,0,0,0,0,0
94,02282,NaN,0,0,0,0,0,0
95,02290,NaN,0,0,0,0,0,0
96,04001,NaN,99,136,175,218,254,296
97,04003,NaN,43,43,47,45,41,39
98,04005,NaN,120,147,193,256,303,367
99,04007,NaN,79,91,98,104,102,96
100,04009,NaN,16,11,7,2,0,0
101,04011,NaN,0,1,0,0,0,0
102,04012,NaN,0,0,0,0,0,0
103,04013,NaN,7852,10742,13524,16117,17723,18811
104,04015,NaN,557,698,800,872,884,841
105,04017,NaN,182,222,250,263,248,229
106,04019,NaN,949,1418,2014,2818,3726,4671
107,04021,NaN,743,954,1072,1022,857,627
108,04023,NaN,20,14,14,11,12,11
109,04025,NaN,522,707,865,969,1035,994
110,04027,NaN,29,35,41,44,46,45
111,05001,NaN,53,46,39,37,35,29
112,05003,NaN,31,43,50,46,43,34
