,County,662,668,675,682,689,696,703
0,01001,NaN,52,27,23,33,46,83
1,01003,NaN,329,466,659,962,1407,1955
2,01005,NaN,8,12,10,11,12,14
3,01007,NaN,12,11,10,8,8,8
4,01009,NaN,66,43,35,39,48,66
5,01011,NaN,0,0,0,0,0,0
6,01013,NaN,14,7,5,1,2,6
7,01015,NaN,72,95,116,145,178,234
8,01017,NaN,13,7,7,7,8,15
9,01019,NaN,21,19,18,19,22,30
10,01021,NaN,73,74,77,88,101,124
11,01023,NaN,0,0,0,0,0,0
12,01025,NaN,13,7,7,4,3,4
13,01027,NaN,10,7,6,5,6,7
14,01029,NaN,0,0,0,0,0,0
15,01031,NaN,48,53,63,78,107,149
16,01033,NaN,40,29,29,31,37,46
17,01035,NaN,4,4,7,6,7,6
18,01037,NaN,7,8,10,14,20,26
19,01039,NaN,59,97,136,182,256,334
20,01041,NaN,14,16,15,14,14,13
21,01043,NaN,89,78,73,77,89,106
22,01045,NaN,20,21,22,23,25,36
23,01047,NaN,20,8,4,0,0,0
24,01049,NaN,40,53,63,83,116,182
25,01051,NaN,163,166,186,217,278,358
26,01053,NaN,26,22,27,36,52,83
27,01055,NaN,36,33,38,47,79,121
28,01057,NaN,111,134,148,152,148,146
29,01059,NaN,85,100,110,126,136,148
30,01061,NaN,7,4,6,7,7,8
31,01063,NaN,0,0,0,0,0,0
32,01065,NaN,1,0,0,0,0,0
33,01067,NaN,0,0,0,0,1,0
34,01069,NaN,60,62,68,80,106,141
35,01071,NaN,27,11,7,1,1,0
36,01073,NaN,164,196,253,349,531,824
37,01075,NaN,45,37,31,25,21,20
38,01077,NaN,67,53,50,49,55,63
39,01079,NaN,69,61,60,64,70,79
40,01081,NaN,47,26,20,20,27,33
41,01083,NaN,132,126,132,146,168,210
42,01085,NaN,0,0,0,0,0,0
43,01087,NaN,10,4,0,0,0,0
44,01089,NaN,119,91,81,80,88,102
45,01091,NaN,6,2,0,0,0,1
46,01093,NaN,51,46,44,46,55,65
47,01095,NaN,43,33,33,45,63,110
48,01097,NaN,203,86,42,32,35,48
49,01099,NaN,0,0,0,0,0,0
50,01101,NaN,34,25,23,21,22,22
51,01103,NaN,187,194,211,240,281,360
52,01105,NaN,0,0,0,0,0,0
