,County,452,458,465,472,479,486,493
0,01001,6763,39,42,41,41,37,33
1,01003,20723,64,65,62,61,56,50
2,01005,2271,2,2,2,3,5,3
3,01007,2563,0,0,0,0,0,0
4,01009,6532,25,28,29,27,26,24
5,01011,1220,0,0,0,0,0,0
6,01013,2132,0,0,0,0,0,0
7,01015,14355,84,144,179,182,177,169
8,01017,3518,0,0,0,0,0,0
9,01019,1827,0,0,0,0,0,0
10,01021,4129,14,9,9,7,7,7
11,01023,588,0,0,0,0,0,0
12,01025,3473,0,0,0,0,0,0
13,01027,1502,0,0,0,0,0,0
14,01029,1470,0,0,0,0,0,0
15,01031,5434,13,20,21,21,19,20
16,01033,6235,22,27,31,30,28,27
17,01035,1097,0,0,0,0,0,0
18,01037,994,0,0,0,0,0,1
19,01039,4069,0,0,0,0,0,0
20,01041,1495,0,0,0,0,0,0
21,01043,9508,49,47,42,40,39,35
22,01045,4781,0,0,0,0,0,1
23,01047,3528,0,0,0,0,0,0
24,01049,8761,12,10,8,8,8,7
25,01051,10022,15,7,7,6,6,7
26,01053,3903,0,0,0,0,0,0
27,01055,13703,6,5,3,3,7,6
28,01057,2096,7,3,0,0,0,0
29,01059,4213,0,0,0,0,0,0
30,01061,2464,0,0,0,0,0,0
31,01063,914,0,0,0,0,0,0
32,01065,2186,0,0,0,0,0,0
33,01067,1883,0,0,0,0,0,0
34,01069,10414,24,18,14,14,14,13
35,01071,6762,14,12,14,11,12,11
36,01073,75517,192,95,53,36,32,32
37,01075,1399,0,0,0,0,0,0
38,01077,9276,39,38,36,34,31,29
39,01079,2964,0,0,0,0,0,0
40,01081,15631,85,114,132,131,125,116
41,01083,9859,48,49,48,46,45,40
42,01085,1373,7,6,1,3,2,2
43,01087,1564,5,7,7,7,7,7
44,01089,34109,263,363,411,417,374,343
45,01091,2485,0,0,0,0,0,0
46,01093,3072,7,7,7,7,6,7
47,01095,12009,64,72,75,72,69,61
48,01097,39126,292,612,823,862,815,729
49,01099,1730,0,0,0,0,0,0
