,County,713,724,731,738,745
0,01001,NaN,794,552,520,513
1,01003,NaN,2800,2018,1873,1813
2,01005,NaN,300,197,177,170
3,01007,NaN,257,185,175,171
4,01009,NaN,582,433,415,409
5,01011,NaN,175,115,107,104
6,01013,NaN,268,190,180,179
7,01015,NaN,1246,951,916,904
8,01017,NaN,506,368,363,368
9,01019,NaN,175,129,124,122
10,01021,NaN,457,321,300,290
11,01023,NaN,87,62,61,62
12,01025,NaN,268,199,184,180
13,01027,NaN,173,121,113,110
14,01029,NaN,148,112,108,105
15,01031,NaN,593,433,410,405
16,01033,NaN,601,417,386,375
17,01035,NaN,114,81,74,71
18,01037,NaN,159,116,112,112
19,01039,NaN,321,250,239,236
20,01041,NaN,174,125,118,115
21,01043,NaN,769,575,556,548
22,01045,NaN,482,359,340,333
23,01047,NaN,363,251,231,223
24,01049,NaN,564,441,425,418
25,01051,NaN,949,695,661,654
26,01053,NaN,456,313,283,272
27,01055,NaN,1065,779,736,726
28,01057,NaN,147,120,117,115
29,01059,NaN,343,259,248,244
30,01061,NaN,215,172,167,165
31,01063,NaN,104,77,75,76
32,01065,NaN,258,174,160,157
33,01067,NaN,178,134,126,124
34,01069,NaN,932,694,661,649
35,01071,NaN,430,347,347,349
36,01073,NaN,8839,6153,5906,5919
37,01075,NaN,99,85,86,86
38,01077,NaN,886,654,628,621
39,01079,NaN,314,227,213,208
40,01081,NaN,2023,1458,1383,1367
41,01083,NaN,1029,752,713,698
42,01085,NaN,187,127,119,119
43,01087,NaN,235,161,151,148
44,01089,NaN,4214,2912,2752,2702
45,01091,NaN,194,142,131,128
46,01093,NaN,252,206,203,203
47,01095,NaN,930,715,697,696
48,01097,NaN,5351,3867,3754,3778
49,01099,NaN,245,166,152,147
50,01101,NaN,3213,2099,1976,1968
51,01103,NaN,1179,860,830,823
52,01105,NaN,86,60,54,52
53,01107,NaN,186,138,131,129
54,01109,NaN,424,293,275,270
55,01111,NaN,266,188,180,180
56,01113,NaN,567,382,347,334
57,01115,NaN,1137,825,792,785
58,01117,NaN,2400,1778,1720,1718
59,01119,NaN,124,88,83,82
60,01121,NaN,893,665,641,637
61,01123,NaN,603,446,445,454
62,01125,NaN,2135,1565,1482,1452
63,01127,NaN,582,455,448,447
64,01129,NaN,153,106,97,95
65,01131,NaN,145,100,92,90
66,01133,NaN,223,176,173,172
67,02013,NaN,23,18,17,17
68,02016,NaN,51,42,39,38
