,County,677,682,689,696,703,710,717,724,731
0,01001,NaN,60,66,73,78,81,82,80,75
1,01003,NaN,100,97,97,98,97,96,95,92
2,01005,NaN,21,21,22,22,22,21,20,18
3,01007,NaN,7,8,9,10,12,13,14,15
4,01009,NaN,187,259,322,345,316,259,198,145
5,01011,NaN,0,0,0,0,0,0,0,0
6,01013,NaN,21,21,21,20,19,17,15,13
7,01015,NaN,23,23,24,25,26,27,28,29
8,01017,NaN,0,0,0,0,0,0,0,0
9,01019,NaN,34,37,40,42,42,41,37,32
10,01021,NaN,55,60,66,70,72,72,68,63
11,01023,NaN,2,3,4,5,7,8,10,12
12,01025,NaN,17,16,16,15,15,14,12,11
13,01027,NaN,1,1,1,1,1,1,1,1
14,01029,NaN,10,12,13,15,17,18,19,19
15,01031,NaN,30,33,37,41,44,47,49,50
16,01033,NaN,38,37,39,39,39,38,36,33
17,01035,NaN,4,4,4,5,5,6,6,6
18,01037,NaN,13,13,13,13,12,10,9,7
19,01039,NaN,42,42,43,42,40,37,34,29
20,01041,NaN,22,22,22,21,20,18,15,13
21,01043,NaN,68,71,76,80,82,82,79,75
22,01045,NaN,4,4,4,5,5,6,7,7
23,01047,NaN,0,0,0,0,0,0,0,0
24,01049,NaN,144,187,231,260,260,233,192,150
25,01051,NaN,0,1,1,1,1,1,1,1
26,01053,NaN,18,19,20,21,22,23,23,22
27,01055,NaN,18,19,20,22,23,24,25,26
28,01057,NaN,30,30,29,28,25,21,18,14
29,01059,NaN,71,65,59,51,43,34,26,20
30,01061,NaN,15,17,19,21,23,25,26,26
31,01063,NaN,2,2,2,2,2,3,3,3
32,01065,NaN,12,12,12,12,12,12,11,10
33,01067,NaN,11,12,13,15,16,16,17,17
34,01069,NaN,36,38,42,45,49,52,54,56
35,01071,NaN,3,3,3,3,4,4,5,5
36,01073,NaN,8,9,10,12,13,15,17,20
37,01075,NaN,25,24,24,22,19,17,14,11
38,01077,NaN,53,57,63,69,74,78,79,78
39,01079,NaN,64,71,77,79,78,72,63,53
40,01081,NaN,3,3,4,5,6,6,7,8
41,01083,NaN,28,33,40,48,57,66,76,85
42,01085,NaN,2,2,2,2,3,3,3,3
43,01087,NaN,7,7,8,9,10,10,11,11
44,01089,NaN,244,363,549,795,1070,1322,1470,1441
45,01091,NaN,0,0,0,0,0,0,0,0
46,01093,NaN,13,13,13,14,14,15,15,14
47,01095,NaN,10,10,11,12,12,13,14,15
48,01097,NaN,250,276,313,347,377,398,405,398
49,01099,NaN,8,8,9,10,11,12,12,12
50,01101,NaN,17,18,19,21,24,26,29,32
51,01103,NaN,58,59,63,66,69,70,71,70
52,01105,NaN,0,0,0,0,1,1,1,1
53,01107,NaN,3,3,4,5,5,6,7,8
54,01109,NaN,13,13,14,15,15,16,16,16
55,01111,NaN,0,0,0,0,1,1,1,1
56,01113,NaN,0,0,0,0,0,1,1,1
57,01115,NaN,17,19,22,26,30,35,40,46
58,01117,NaN,165,217,287,367,451,524,571,578
59,01119,NaN,20,20,21,21,19,17,14,12
60,01121,NaN,48,47,48,49,48,47,44,41
61,01123,NaN,31,32,33,35,36,35,34,32
62,01125,NaN,168,182,199,211,214,208,192,170
63,01127,NaN,69,59,52,46,39,33,28,23
64,01129,NaN,14,14,16,17,18,18,17,16
65,01131,NaN,17,16,15,14,12,10,8,6
66,01133,NaN,4,3,4,4,4,4,4,4
67,02013,NaN,1,1,2,2,2,2,1,1
68,02016,NaN,3,3,3,3,3,3,3,3
69,02020,NaN,591,529,481,428,374,320,268,221
70,02050,NaN,118,81,56,38,25,16,10,7
71,02060,NaN,0,0,0,0,0,0,0,0
72,02068,NaN,3,3,3,3,3,3,2,2
73,02070,NaN,7,7,7,7,6,6,5,5
74,02090,NaN,264,256,249,234,212,186,158,131
75,02100,NaN,0,0,0,0,0,0,0,0
76,02105,NaN,0,0,0,0,0,0,0,0
77,02110,NaN,63,63,64,63,61,56,50,44
78,02122,NaN,99,90,83,76,68,60,52,44
79,02130,NaN,69,63,55,45,35,27,20,14
80,02150,NaN,9,9,8,8,8,8,8,7
81,02158,NaN,28,24,20,17,14,12,9,7
82,02164,NaN,1,1,1,0,0,0,0,0
83,02170,NaN,308,273,243,211,179,148,120,96
84,02180,NaN,73,60,48,37,28,20,14,9
85,02185,NaN,49,37,28,21,15,10,7,5
86,02188,NaN,62,45,33,22,15,10,6,4
87,02195,NaN,30,23,17,11,7,5,3,2
88,02198,NaN,12,12,13,13,13,13,12,10
89,02220,NaN,7,7,7,7,8,8,8,7
90,02230,NaN,0,0,0,0,0,0,0,0
91,02240,NaN,10,9,9,9,8,7,7,6
92,02261,NaN,0,0,0,0,0,0,0,0
93,02275,NaN,7,7,7,7,6,5,4,3
94,02282,NaN,2,1,0,0,0,0,0,0
95,02290,NaN,9,9,9,9,9,9,8,7
96,04001,NaN,300,290,262,212,156,109,73,48
97,04003,NaN,614,644,606,497,367,254,170,112
98,04005,NaN,435,418,377,311,235,169,117,79
99,04007,NaN,287,228,164,105,63,36,20,11
100,04009,NaN,245,237,204,154,106,70,44,28
101,04011,NaN,53,63,66,58,44,32,22,14
102,04012,NaN,43,42,38,32,24,17,11,7
103,04013,NaN,17913,18774,18069,15384,11812,8507,5881,3961
104,04015,NaN,492,472,440,375,294,219,156,108
105,04017,NaN,585,500,395,280,185,117,72,44
106,04019,NaN,4492,4821,4673,3957,2998,2122,1446,960
107,04021,NaN,2553,2887,2913,2535,1960,1418,986,670
108,04023,NaN,188,180,164,136,104,75,52,36
109,04025,NaN,1117,1026,819,563,350,209,123,72
110,04027,NaN,316,341,363,365,343,305,259,210
111,05001,NaN,13,13,13,12,12,11,10,8
112,05003,NaN,9,11,13,16,18,20,22,23
113,05005,NaN,71,76,79,77,69,58,46,35
114,05007,NaN,435,522,614,682,711,693,634,546
115,05009,NaN,71,79,86,88,84,75,63,51
116,05011,NaN,13,15,16,17,17,16,14,12
117,05013,NaN,3,3,4,4,4,4,3,3
118,05015,NaN,33,36,40,43,43,41,37,31
119,05017,NaN,3,3,4,4,5,5,6,6
120,05019,NaN,31,33,35,34,32,27,23,18
121,05021,NaN,39,42,43,40,35,28,22,16
122,05023,NaN,55,59,61,58,50,41,32,24
123,05025,NaN,8,9,11,13,14,14,14,13
124,05027,NaN,4,5,6,7,9,10,12,14
125,05029,NaN,46,51,55,56,52,45,36,28
126,05031,NaN,162,169,177,176,166,148,127,104
127,05033,NaN,58,67,79,90,98,102,100,94
128,05035,NaN,59,64,71,75,76,73,67,59
129,05037,NaN,3,4,5,6,8,10,12,14
130,05039,NaN,2,2,3,3,3,4,4,4
131,05041,NaN,11,12,13,13,13,12,11,9
132,05043,NaN,1,1,1,1,2,2,3,4
133,05045,NaN,283,348,406,432,417,366,300,235
134,05047,NaN,25,28,32,35,36,34,30,25
135,05049,NaN,58,58,52,43,32,23,15,10
136,05051,NaN,37,43,53,63,74,84,91,95
137,05053,NaN,11,15,19,24,29,33,36,37
138,05055,NaN,70,74,78,78,74,68,59,49
139,05057,NaN,16,19,22,26,29,32,32,31
140,05059,NaN,34,39,44,48,50,50,47,43
141,05061,NaN,20,20,19,18,15,13,10,8
142,05063,NaN,144,146,137,117,92,68,48,34
143,05065,NaN,46,46,42,35,27,20,14,10
144,05067,NaN,54,48,40,31,23,16,11,7
145,05069,NaN,38,41,46,51,54,56,57,55
146,05071,NaN,18,22,26,30,34,36,38,37
147,05073,NaN,2,2,3,4,5,6,7,8
148,05075,NaN,27,30,33,34,33,30,26,21
149,05077,NaN,18,17,17,15,13,10,8,6
150,05079,NaN,13,13,13,13,12,11,9,8
151,05081,NaN,8,9,11,13,15,16,16,16
152,05083,NaN,21,24,29,33,36,37,35,32
153,05085,NaN,121,150,182,208,222,219,201,173
154,05087,NaN,74,78,75,65,51,38,27,19
155,05089,NaN,35,35,35,31,26,20,15,11
156,05091,NaN,44,54,63,67,65,58,48,37
157,05093,NaN,71,64,58,50,42,33,26,19
158,05095,NaN,5,6,7,7,8,8,7,7
159,05097,NaN,0,1,1,1,2,3,4,5
160,05099,NaN,8,9,10,11,12,12,11,10
161,05101,NaN,8,10,12,13,14,14,12,11
162,05103,NaN,17,20,24,28,31,34,35,33
