,County,705,710,717,724,731,738,745,752
0,01001,NaN,145,249,412,622,830,940,857
1,01003,NaN,432,769,1318,2075,2864,3336,3090
2,01005,NaN,17,30,52,88,141,212,286
3,01007,NaN,31,54,93,151,227,301,341
4,01009,NaN,164,281,460,685,891,977,858
5,01011,NaN,21,37,64,102,144,173,168
6,01013,NaN,19,32,53,85,128,178,224
7,01015,NaN,158,250,388,573,790,993,1115
8,01017,NaN,69,116,190,290,399,479,484
9,01019,NaN,50,91,161,263,377,457,445
10,01021,NaN,84,150,260,417,603,752,763
11,01023,NaN,18,35,68,121,189,249,254
12,01025,NaN,9,14,24,39,61,93,136
13,01027,NaN,34,53,79,111,140,158,153
14,01029,NaN,11,20,37,65,108,165,222
15,01031,NaN,93,161,273,433,624,789,838
16,01033,NaN,105,172,275,415,570,697,736
17,01035,NaN,3,6,12,20,35,58,89
18,01037,NaN,15,25,42,67,97,125,139
19,01039,NaN,32,55,92,150,232,332,431
20,01041,NaN,15,26,44,72,109,151,186
21,01043,NaN,237,354,512,691,856,958,947
22,01045,NaN,91,151,244,372,518,644,688
23,01047,NaN,55,93,156,249,366,480,548
24,01049,NaN,143,239,390,594,825,1011,1054
25,01051,NaN,297,518,846,1217,1476,1437,1130
26,01053,NaN,30,50,85,139,218,317,420
27,01055,NaN,114,166,239,333,442,550,632
28,01057,NaN,37,61,98,145,193,224,220
29,01059,NaN,57,91,142,210,288,357,390
30,01061,NaN,14,26,47,83,140,220,313
31,01063,NaN,17,28,45,67,91,109,110
32,01065,NaN,15,24,40,64,95,131,165
33,01067,NaN,30,52,87,138,197,246,258
34,01069,NaN,171,278,441,669,944,1214,1381
35,01071,NaN,140,225,348,495,630,699,656
36,01073,NaN,3654,7206,12272,16259,15574,11443,7597
37,01075,NaN,27,45,73,111,153,186,192
38,01077,NaN,168,291,493,779,1108,1379,1435
39,01079,NaN,51,95,172,290,439,571,600
40,01081,NaN,316,578,1015,1646,2369,2896,2856
41,01083,NaN,248,439,745,1151,1563,1785,1620
42,01085,NaN,16,26,42,65,92,117,130
43,01087,NaN,30,53,89,141,202,251,267
44,01089,NaN,1211,2138,3556,5309,6787,7159,6004
45,01091,NaN,20,33,54,86,129,177,221
46,01093,NaN,30,51,84,134,201,279,348
47,01095,NaN,199,296,432,601,781,939,1017
48,01097,NaN,674,982,1410,1945,2541,3094,3474
49,01099,NaN,32,56,93,147,214,274,303
50,01101,NaN,945,1741,2773,3512,3365,2515,1719
51,01103,NaN,249,378,563,803,1074,1326,1489
52,01105,NaN,3,5,9,15,26,42,64
53,01107,NaN,30,54,93,150,221,285,312
54,01109,NaN,41,69,116,184,272,363,425
55,01111,NaN,71,122,199,292,371,391,331
56,01113,NaN,76,144,267,469,748,1032,1161
57,01115,NaN,203,329,518,762,1019,1212,1238
58,01117,NaN,974,1865,3225,4628,5158,4255,3033
59,01119,NaN,9,16,30,54,91,138,183
60,01121,NaN,176,272,407,571,730,841,848
61,01123,NaN,101,166,266,391,511,580,550
62,01125,NaN,245,345,480,650,838,1028,1186
63,01127,NaN,153,248,390,570,752,869,853
64,01129,NaN,10,19,35,60,101,155,214
65,01131,NaN,17,28,46,70,98,124,137
66,01133,NaN,33,52,81,122,170,218,252
67,02013,NaN,0,0,0,0,0,0,0
68,02016,NaN,0,0,0,0,0,0,0
69,02020,NaN,428,545,695,877,1084,1314,1562
70,02050,NaN,21,19,17,16,14,13,12
71,02060,NaN,0,0,0,0,0,0,0
72,02068,NaN,1,1,2,2,3,4,5
73,02070,NaN,3,4,4,5,6,7,8
74,02090,NaN,97,115,137,162,189,219,251
75,02100,NaN,3,4,5,7,9,11,13
76,02105,NaN,0,0,0,0,0,0,0
77,02110,NaN,34,43,54,67,82,99,118
78,02122,NaN,70,80,91,104,117,131,145
79,02130,NaN,42,49,58,66,74,81,86
80,02150,NaN,3,3,4,4,5,6,7
81,02158,NaN,24,24,24,24,24,23,22
82,02164,NaN,4,3,3,3,3,2,2
