,County,537,542,549,556,563,570,577
0,01001,NaN,21,22,21,21,21,22
1,01003,NaN,92,91,92,91,92,92
2,01005,NaN,4,4,4,4,4,4
3,01007,NaN,7,7,7,7,7,7
4,01009,NaN,19,20,19,20,20,19
5,01011,NaN,2,2,2,2,2,3
6,01013,NaN,11,11,11,11,11,11
7,01015,NaN,25,25,26,26,25,25
8,01017,NaN,10,10,10,10,10,10
9,01019,NaN,1,2,1,1,1,1
10,01021,NaN,8,8,8,8,8,8
11,01023,NaN,2,3,2,3,2,2
12,01025,NaN,3,4,4,4,3,4
13,01027,NaN,4,4,4,4,4,4
14,01029,NaN,7,7,7,7,7,7
15,01031,NaN,21,21,21,21,21,21
16,01033,NaN,20,19,19,19,19,20
17,01035,NaN,6,6,6,6,6,6
18,01037,NaN,5,5,5,5,5,5
19,01039,NaN,28,28,28,28,28,29
20,01041,NaN,11,11,11,11,11,11
21,01043,NaN,34,33,34,34,34,33
22,01045,NaN,11,11,12,11,11,11
23,01047,NaN,5,5,5,5,5,5
24,01049,NaN,19,20,20,19,19,19
25,01051,NaN,14,14,14,14,14,14
26,01053,NaN,12,12,12,12,12,12
27,01055,NaN,36,36,36,36,36,36
28,01057,NaN,10,10,10,10,10,10
29,01059,NaN,9,9,9,9,9,9
30,01061,NaN,10,10,10,10,10,10
31,01063,NaN,2,2,2,2,2,2
32,01065,NaN,5,5,5,5,5,5
33,01067,NaN,7,7,7,7,7,7
34,01069,NaN,31,31,31,31,31,31
35,01071,NaN,35,36,35,35,35,35
36,01073,NaN,186,186,185,187,185,183
37,01075,NaN,4,4,4,4,4,4
38,01077,NaN,32,32,32,32,32,32
39,01079,NaN,9,8,8,9,8,9
40,01081,NaN,42,42,42,42,42,42
41,01083,NaN,19,20,20,19,20,20
42,01085,NaN,2,2,2,2,2,2
43,01087,NaN,4,3,3,4,3,3
44,01089,NaN,91,90,89,90,90,89
45,01091,NaN,3,3,3,3,3,3
46,01093,NaN,22,22,22,22,22,22
47,01095,NaN,35,35,35,35,35,36
48,01097,NaN,157,155,158,158,157,155
49,01099,NaN,10,11,11,11,11,10
50,01101,NaN,20,20,20,20,20,20
51,01103,NaN,27,28,28,28,28,28
52,01105,NaN,1,1,1,1,1,1
53,01107,NaN,3,3,3,3,3,3
54,01109,NaN,4,4,4,4,4,4
55,01111,NaN,6,6,6,6,6,6
56,01113,NaN,12,12,12,12,12,12
57,01115,NaN,27,28,27,27,27,27
58,01117,NaN,61,61,60,61,61,61
59,01119,NaN,2,2,2,2,2,2
60,01121,NaN,20,20,20,20,20,20
61,01123,NaN,17,17,17,17,17,17
62,01125,NaN,37,38,38,38,38,38
63,01127,NaN,17,17,17,17,17,17
64,01129,NaN,2,2,2,2,2,2
65,01131,NaN,0,0,0,0,0,0
66,01133,NaN,3,4,3,3,3,3
67,02013,NaN,0,0,0,0,0,0
68,02016,NaN,5,5,5,5,5,5
69,02020,NaN,88,89,89,89,89,89
70,02050,NaN,5,5,5,5,5,5
71,02060,NaN,,,,,,NaN
72,02068,NaN,0,0,0,0,0,0
73,02070,NaN,0,0,0,0,0,0
74,02090,NaN,10,10,10,10,10,10
75,02100,NaN,0,0,0,0,0,0
76,02105,NaN,,,,,,NaN
77,02110,NaN,8,7,7,7,8,7
78,02122,NaN,8,8,8,8,8,8
79,02130,NaN,2,2,2,2,2,2
80,02150,NaN,1,1,1,1,1,1
81,02158,NaN,17,17,17,17,17,18
82,02164,NaN,1,1,1,1,1,1
83,02170,NaN,24,24,24,24,24,24
84,02180,NaN,6,6,6,6,6,6
