,County,445,451,458,465,472
0,01001,6723,65,61,61,62
1,01003,20631,81,78,82,82
2,01005,2247,7,8,8,9
3,01007,2562,7,7,7,8
4,01009,6483,21,20,20,19
5,01011,1213,1,1,1,1
6,01013,2122,8,8,9,9
7,01015,14284,40,38,42,41
8,01017,3499,6,6,7,7
9,01019,1820,5,6,6,6
10,01021,4083,20,19,19,19
11,01023,587,1,0,0,0
12,01025,3463,3,4,4,5
13,01027,1493,2,2,2,3
14,01029,1460,1,1,1,2
15,01031,5399,10,8,8,7
16,01033,6203,19,17,16,16
17,01035,1090,0,1,1,0
18,01037,992,12,13,13,14
19,01039,4053,5,5,5,6
20,01041,1492,0,0,0,0
21,01043,9470,47,43,43,45
22,01045,4767,5,4,4,4
23,01047,3527,9,8,8,8
24,01049,8746,30,32,35,36
25,01051,9993,26,20,20,21
26,01053,3876,8,8,9,9
27,01055,13662,16,15,18,18
28,01057,2089,8,9,9,10
29,01059,4199,8,5,6,5
30,01061,2458,5,5,4,5
31,01063,907,0,0,0,0
32,01065,2187,9,9,9,10
33,01067,1878,3,4,3,4
34,01069,10380,24,23,24,24
35,01071,6754,13,13,11,12
36,01073,75364,343,323,341,327
37,01075,1392,0,0,0,0
38,01077,9215,46,41,40,39
39,01079,2953,10,10,11,12
40,01081,15524,69,59,60,61
41,01083,9811,38,35,36,37
42,01085,1364,0,0,0,0
43,01087,1545,6,4,4,4
44,01089,33859,191,181,198,199
45,01091,2486,1,0,0,0
46,01093,3065,2,2,1,1
47,01095,11957,50,48,49,50
48,01097,37763,187,147,150,147
49,01099,1714,5,3,4,3
50,01101,23962,114,101,99,95
51,01103,14139,19,17,17,17
52,01105,1079,0,0,0,0
53,01107,2329,0,0,0,0
54,01109,3058,11,7,7,6
55,01111,1769,9,8,8,8
56,01113,4288,35,32,31,32
57,01115,9426,37,37,37,36
58,01117,23106,45,35,36,34
59,01119,1029,0,0,0,0
60,01121,8058,51,38,35,34
61,01123,3893,15,13,14,15
62,01125,25266,87,73,82,79
63,01127,7087,19,15,14,13
64,01129,1640,2,0,0,0
65,01131,1243,0,0,0,0
66,01133,2723,3,2,2,2
