,County,452,458,465,472
0,01001,NaN,55,39,31
1,01003,NaN,107,129,161
2,01005,NaN,32,44,54
3,01007,NaN,,,NaN
4,01009,NaN,52,69,82
5,01011,NaN,7,8,10
6,01013,NaN,15,20,22
7,01015,NaN,82,113,135
8,01017,NaN,16,20,23
9,01019,NaN,9,12,13
10,01021,NaN,36,50,58
11,01023,NaN,,,NaN
12,01025,NaN,12,14,17
13,01027,NaN,10,12,15
14,01029,NaN,7,10,10
15,01031,NaN,36,53,63
16,01033,NaN,32,31,24
17,01035,NaN,6,8,9
18,01037,NaN,,,NaN
19,01039,NaN,12,16,18
20,01041,NaN,0,0,0
21,01043,NaN,36,23,14
22,01045,NaN,6,8,9
23,01047,NaN,4,6,6
24,01049,NaN,29,25,28
25,01051,NaN,13,16,19
26,01053,NaN,33,45,56
27,01055,NaN,39,57,64
28,01057,NaN,16,20,23
29,01059,NaN,12,16,18
30,01061,NaN,4,6,6
31,01063,NaN,5,6,7
32,01065,NaN,10,12,15
33,01067,NaN,6,8,9
34,01069,NaN,23,22,17
35,01071,NaN,11,14,16
36,01073,NaN,169,89,54
37,01075,NaN,3,4,4
38,01077,NaN,64,66,67
39,01079,NaN,14,17,19
40,01081,NaN,132,184,228
41,01083,NaN,55,66,79
42,01085,NaN,6,8,9
43,01087,NaN,13,16,19
44,01089,NaN,290,388,484
45,01091,NaN,0,0,0
46,01093,NaN,,,NaN
47,01095,NaN,63,55,44
48,01097,NaN,,,NaN
49,01099,NaN,11,14,16
50,01101,NaN,73,50,33
51,01103,NaN,,,NaN
52,01105,NaN,0,0,0
53,01107,NaN,,,NaN
54,01109,NaN,11,14,16
55,01111,NaN,11,14,16
56,01113,NaN,46,50,63
57,01115,NaN,58,64,63
58,01117,NaN,99,163,196
59,01119,NaN,2,2,3
60,01121,NaN,72,97,120
61,01123,NaN,24,26,25
62,01125,NaN,122,136,134
63,01127,NaN,65,87,89
64,01129,NaN,,,NaN
65,01131,NaN,,,NaN
66,01133,NaN,9,10,13
67,02013,NaN,1,0,1
68,02016,NaN,16,20,23
69,02020,NaN,395,328,269
70,02050,NaN,24,17,12
71,02060,NaN,0,0,0
72,02068,NaN,3,3,4
73,02070,NaN,,,NaN
74,02090,NaN,135,138,135
75,02100,NaN,0,0,0
76,02105,NaN,0,0,0
77,02110,NaN,22,14,9
