,County,668,675,682,689,696
0,01001,10468,51,79,121,93
1,01003,37981,170,218,351,317
2,01005,3683,14,11,16,14
3,01007,4337,11,21,29,17
4,01009,10626,81,114,66,113
5,01011,1527,3,8,14,11
6,01013,3419,12,28,26,30
7,01015,22541,81,60,69,85
8,01017,5774,31,34,57,53
9,01019,3140,15,16,6,15
10,01021,6970,67,47,33,30
11,01023,929,9,3,3,6
12,01025,4837,14,31,28,42
13,01027,2508,8,11,7,11
14,01029,2535,11,6,6,7
15,01031,9396,116,37,14,9
16,01033,9288,32,45,34,20
17,01035,1923,5,7,8,6
18,01037,1838,10,13,15,18
19,01039,6891,27,22,43,65
20,01041,2592,9,16,12,24
21,01043,15976,107,158,114,63
22,01045,9004,34,28,45,71
23,01047,5279,20,40,38,63
24,01049,12876,54,95,235,132
25,01051,15886,116,224,339,188
26,01053,6937,23,7,20,64
27,01055,19997,104,29,48,43
28,01057,3275,44,25,14,10
29,01059,6266,23,30,17,0
30,01061,4631,28,26,34,59
31,01063,1300,10,15,24,19
32,01065,3168,18,12,17,32
33,01067,3199,7,22,24,28
34,01069,17687,48,114,66,223
35,01071,10146,17,40,68,17
36,01073,116023,1073,933,1551,2032
37,01075,2493,15,21,14,6
38,01077,14900,56,69,72,45
39,01079,4784,24,24,15,22
40,01081,25482,91,102,151,169
41,01083,16087,55,94,303,176
42,01085,1780,2,7,13,16
43,01087,2439,13,17,17,22
44,01089,53131,210,212,253,179
45,01091,3425,8,24,22,36
46,01093,5381,23,25,36,10
47,01095,18743,114,82,94,46
48,01097,74049,677,419,250,533
49,01099,3359,11,18,14,19
50,01101,34449,180,320,342,452
51,01103,22343,126,101,121,76
52,01105,1418,3,11,12,14
53,01107,3320,13,23,21,40
54,01109,5105,15,29,30,23
55,01111,3340,10,17,20,19
56,01113,7052,39,48,124,109
57,01115,16820,158,107,204,91
58,01117,38242,960,371,497,149
59,01119,1375,7,17,16,15
60,01121,14159,55,46,22,61
61,01123,7196,33,46,34,46
62,01125,35870,144,411,345,661
63,01127,11943,72,127,86,89
64,01129,2561,8,15,19,53
65,01131,1765,5,12,14,18
66,01133,4772,16,19,30,11
67,02013,448,4,8,10,11
68,02016,942,9,10,5,29
69,02020,60379,829,658,500,465
70,02050,6600,179,212,107,144
71,02060,0,0,0,0,0
72,02068,292,,,,NaN
73,02070,935,4,6,6,9
74,02090,16820,262,183,169,143
75,02100,239,1,2,1,3
76,02105,0,,,,NaN
77,02110,4101,39,34,30,32
78,02122,11745,95,62,79,87
79,02130,1948,,,,NaN
80,02150,2677,25,13,15,16
81,02158,2188,,,,NaN
82,02164,540,9,12,10,3
83,02170,23784,311,255,194,274
84,02180,2094,20,16,18,27
85,02185,2811,61,50,32,21
86,02188,2152,21,37,24,26
87,02195,462,,,,NaN
88,02198,580,,,,NaN
89,02220,1224,24,14,5,10
90,02230,89,,,,NaN
91,02240,1360,19,15,7,24
92,02261,0,2,0,1,0
93,02275,209,,,,NaN
94,02282,279,6,4,3,21
95,02290,790,,,,NaN
96,04001,14987,285,389,387,445
97,04003,17402,477,414,462,363
98,04005,24840,725,699,643,558
99,04007,10743,289,310,325,334
100,04009,8277,172,159,127,153
101,04011,1322,59,47,19,12
102,04012,3336,54,50,45,54
103,04013,781147,19618,19072,18707,21804
104,04015,35329,877,857,731,892
105,04017,23770,484,560,452,621
106,04019,154810,4066,3798,4876,3858
107,04021,78951,2167,2416,2573,2640
108,04023,9660,375,360,427,461
109,04025,31248,1055,1118,1252,1572
110,04027,42427,1104,1064,906,781
111,05001,3523,23,12,10,17
112,05003,3215,12,8,13,20
113,05005,6071,59,49,58,69
114,05007,43425,476,416,726,709
115,05009,6373,50,66,97,102
116,05011,1998,15,24,16,24
117,05013,600,,,,NaN
118,05015,4365,39,50,82,64
119,05017,2032,4,6,5,6
120,05019,3335,26,21,23,21
121,05021,2777,19,17,18,28
122,05023,3894,26,30,35,29
123,05025,1435,11,11,10,12
124,05027,3411,14,15,14,13
125,05029,3214,17,20,28,31
126,05031,21973,199,237,334,330
127,05033,10977,79,55,88,84
128,05035,8947,52,51,42,80
129,05037,3028,12,18,13,13
130,05039,1142,5,5,10,14
131,05041,1933,9,5,4,8
132,05043,2941,19,9,7,9
133,05045,20063,159,453,305,303
134,05047,2784,17,14,12,12
135,05049,1836,18,11,11,25
136,05051,16139,67,70,103,97
137,05053,2899,14,8,15,13
138,05055,10304,52,57,55,63
139,05057,2997,12,12,9,14
140,05059,7739,37,35,24,26
141,05061,2512,19,14,10,16
142,05063,6721,52,37,30,26
143,05065,2666,39,48,61,85
144,05067,4495,50,40,43,21
145,05069,12423,47,41,41,39
146,05071,4659,22,10,8,11
147,05073,861,,,,NaN
148,05075,3452,27,14,21,23
149,05077,2159,21,5,0,0
150,05079,3667,31,17,25,20
151,05081,2117,11,7,9,9
152,05083,3714,22,19,19,30
153,05085,12252,148,240,310,387
154,05087,2563,20,9,16,17
155,05089,2251,53,57,77,63
156,05091,6612,44,32,37,41
157,05093,8568,45,53,38,70
158,05095,1202,3,6,7,8
159,05097,1156,8,19,14,30
160,05099,1402,5,6,6,5
161,05101,1202,9,6,4,8
162,05103,3444,18,14,14,16
163,05105,1573,16,21,48,36
164,05107,3230,25,18,23,19
165,05109,1747,15,11,11,7
166,05111,5038,36,26,30,23
167,05113,3000,7,12,10,12
168,05115,12176,82,61,100,90
169,05117,1287,5,8,13,14
170,05119,59743,510,703,1013,1064
171,05121,3413,26,24,22,24
172,05123,4869,14,13,12,13
173,05125,18821,204,149,402,308
174,05127,1748,6,5,9,7
175,05129,1300,12,10,10,12
176,05131,22981,193,237,285,312
177,05133,4045,21,27,23,22
178,05135,3056,24,32,43,38
179,05137,1871,18,24,20,18
180,05139,5910,30,36,33,53
181,05141,2268,15,18,18,14
182,05143,45379,520,546,569,838
183,05145,13711,138,203,308,189
184,05147,1132,8,8,4,4
185,05149,4744,21,29,36,24
186,06001,124099,936,1915,1608,1317
187,06003,105,0,0,0,2
188,06005,5719,70,126,113,101
189,06007,25176,344,337,246,359
190,06009,4330,90,56,127,116
191,06011,3216,39,40,33,36
192,06013,102822,714,746,839,918
193,06015,3688,51,83,37,38
194,06017,18075,197,212,242,241
195,06019,155092,1796,2428,2502,1737
196,06021,4545,48,67,73,64
197,06023,9946,144,221,169,199
198,06025,37829,464,427,381,379
199,06027,2504,44,45,39,35
200,06029,155451,2343,2222,2001,2160
201,06031,34867,440,517,472,451
202,06033,6962,269,67,51,58
203,06035,7894,110,107,63,67
204,06037,1518732,15978,18587,15069,18264
205,06039,25845,399,289,382,302
206,06041,18259,306,355,276,376
207,06043,1551,56,38,48,50
208,06045,8390,181,101,142,170
209,06047,44578,631,706,549,565
210,06049,746,,,,NaN
211,06051,1786,16,23,16,30
212,06053,52200,683,892,811,1095
213,06055,13300,87,274,150,188
214,06057,9810,194,291,187,146
215,06059,331850,2281,3899,4536,4157
216,06061,41680,451,531,533,502
217,06063,1893,55,46,52,19
218,06065,383153,3989,3877,3344,3647
219,06067,166605,1504,1646,1860,1812
220,06069,7717,65,78,89,53
221,06071,370171,4010,3435,3654,4472
222,06073,402221,3672,5013,3589,4976
223,06075,56309,565,1847,2165,1257
224,06077,106554,1049,1308,1063,1453
225,06079,31126,300,470,446,375
226,06081,55830,392,1507,1352,1817
227,06083,46791,377,529,741,630
228,06085,150298,1145,3194,3061,3800
229,06087,21855,248,517,509,674
230,06089,25734,479,374,416,364
231,06091,214,4,7,4,2
232,06093,4686,77,63,94,84
233,06095,47265,469,447,501,398
234,06097,42695,436,586,839,481
235,06099,90634,903,1085,1030,1275
236,06101,14441,154,129,84,44
237,06103,10203,95,111,76,110
238,06105,970,20,19,17,28
239,06107,85311,1375,1597,1445,1264
240,06109,7614,124,179,138,147
241,06111,103376,787,1083,1156,1336
242,06113,21353,192,311,258,287
243,06115,10655,107,128,153,115
244,08001,82028,1640,1765,1978,1976
245,08003,2795,98,96,86,73
246,08005,86363,2112,2149,1864,2062
247,08007,1760,91,49,64,33
248,08009,541,12,15,23,18
249,08011,1843,27,17,26,34
250,08013,33628,946,1028,1498,932
251,08014,7369,252,262,255,257
252,08015,2614,69,102,99,87
253,08017,223,11,4,7,5
254,08019,862,29,22,24,20
255,08021,1099,18,31,22,18
256,08023,417,12,16,15,12
257,08025,2453,19,39,29,28
258,08027,453,13,10,14,13
259,08029,4467,125,141,117,119
260,08031,98995,2609,3139,3445,3682
261,08033,253,7,10,9,14
262,08035,44164,962,1142,917,776
263,08037,9045,235,257,242,231
264,08039,2925,68,72,63,74
265,08041,111222,2746,2956,3033,2129
266,08043,9672,195,277,234,137
267,08045,8511,197,186,229,211
268,08047,520,21,11,15,15
269,08049,2262,44,60,36,43
270,08051,1939,44,36,54,84
271,08053,64,1,3,3,2
272,08055,780,34,25,22,35
273,08057,118,3,2,4,4
274,08059,70228,2110,2042,1685,1689
275,08061,257,5,3,2,2
276,08063,1088,30,30,27,37
277,08065,1100,20,29,30,30
278,08067,6697,271,236,206,141
279,08069,43801,1174,1215,1028,1250
280,08071,2093,51,54,36,36
281,08073,1350,15,19,17,17
282,08075,4974,67,122,178,99
283,08077,27006,966,909,764,662
284,08079,148,6,7,5,5
285,08081,2119,35,34,33,27
286,08083,3750,105,122,122,132
287,08085,6416,205,218,164,188
288,08087,3825,129,127,131,94
289,08089,3069,127,111,70,75
290,08091,501,11,8,13,15
291,08093,1625,55,52,43,60
292,08095,568,14,14,15,10
293,08097,3272,91,85,119,122
294,08099,1861,53,47,56,47
295,08101,28613,999,752,660,562
296,08103,1180,40,28,24,22
297,08105,1749,66,64,49,53
298,08107,3762,121,104,102,109
299,08109,775,28,24,22,22
300,08111,104,0,2,5,5
301,08113,1253,90,73,74,48
302,08115,343,6,7,9,5
303,08117,5196,132,133,134,131
304,08119,3188,91,104,95,80
305,08121,735,7,7,4,2
306,08123,51251,1187,1186,1162,1136
307,08125,1350,36,34,45,28
308,09001,114474,875,969,1157,1488
309,09003,101174,757,782,800,839
310,09005,17901,187,231,313,287
311,09007,15352,163,211,222,229
312,09009,107964,1042,966,1155,1505
313,09011,28789,446,560,603,442
314,09013,11724,97,94,118,119
315,09015,14149,151,177,163,193
316,10001,27437,387,440,609,789
