,County,606,612,619
0,01001,NaN,268,312
1,01003,NaN,771,722
2,01005,NaN,104,107
3,01007,NaN,192,204
4,01009,NaN,264,253
5,01011,NaN,35,38
6,01013,NaN,91,92
7,01015,NaN,784,751
8,01017,NaN,177,177
9,01019,NaN,132,129
10,01021,NaN,193,184
11,01023,NaN,20,27
12,01025,NaN,111,112
13,01027,NaN,87,85
14,01029,NaN,71,72
15,01031,NaN,236,250
16,01033,NaN,233,252
17,01035,NaN,81,78
18,01037,NaN,74,78
19,01039,NaN,182,164
20,01041,NaN,111,117
21,01043,NaN,669,639
22,01045,NaN,249,243
23,01047,NaN,97,106
24,01049,NaN,359,317
25,01051,NaN,409,427
26,01053,NaN,276,264
27,01055,NaN,544,513
28,01057,NaN,78,84
29,01059,NaN,103,110
30,01061,NaN,181,167
31,01063,NaN,20,20
32,01065,NaN,60,66
33,01067,NaN,97,96
34,01069,NaN,520,505
35,01071,NaN,313,311
36,01073,NaN,2352,2334
37,01075,NaN,68,72
38,01077,NaN,423,417
39,01079,NaN,98,98
40,01081,NaN,624,609
41,01083,NaN,542,557
42,01085,NaN,33,32
43,01087,NaN,79,80
44,01089,NaN,1463,1388
45,01091,NaN,80,85
46,01093,NaN,203,183
47,01095,NaN,564,563
48,01097,NaN,1213,1225
49,01099,NaN,125,125
50,01101,NaN,887,1025
51,01103,NaN,620,607
52,01105,NaN,27,28
53,01107,NaN,80,84
54,01109,NaN,189,189
55,01111,NaN,131,137
56,01113,NaN,167,173
57,01115,NaN,538,554
58,01117,NaN,912,860
59,01119,NaN,15,16
60,01121,NaN,566,521
61,01123,NaN,240,208
62,01125,NaN,999,986
63,01127,NaN,414,380
64,01129,NaN,53,55
65,01131,NaN,34,36
66,01133,NaN,156,137
67,02013,NaN,,NaN
68,02016,NaN,3,3
69,02020,NaN,1934,1928
70,02050,NaN,158,140
71,02060,NaN,,NaN
72,02068,NaN,11,13
73,02070,NaN,24,22
74,02090,NaN,653,612
75,02100,NaN,,NaN
76,02105,NaN,,NaN
77,02110,NaN,,NaN
78,02122,NaN,271,251
79,02130,NaN,,NaN
80,02150,NaN,75,77
81,02158,NaN,,NaN
82,02164,NaN,9,12
83,02170,NaN,707,653
84,02180,NaN,24,26
85,02185,NaN,178,160
86,02188,NaN,51,64
87,02195,NaN,,NaN
88,02198,NaN,,NaN
89,02220,NaN,,NaN
90,02230,NaN,,NaN
91,02240,NaN,35,36
92,02261,NaN,3,5
93,02275,NaN,,NaN
94,02282,NaN,,NaN
95,02290,NaN,17,17
96,04001,NaN,127,115
97,04003,NaN,344,325
98,04005,NaN,331,319
99,04007,NaN,168,167
100,04009,NaN,142,144
101,04011,NaN,57,60
102,04012,NaN,100,82
103,04013,NaN,11287,10750
104,04015,NaN,694,681
105,04017,NaN,262,256
106,04019,NaN,1867,1940
107,04021,NaN,1183,1139
108,04023,NaN,71,66
109,04025,NaN,525,486
110,04027,NaN,317,325
111,05001,NaN,79,75
112,05003,NaN,91,92
113,05005,NaN,66,69
