,County,460,465,472,479,486
0,01001,NaN,54,99,83,138
1,01003,NaN,118,126,162,109
2,01005,NaN,25,29,31,33
3,01007,NaN,5,13,13,14
4,01009,NaN,49,50,41,39
5,01011,NaN,4,3,6,3
6,01013,NaN,12,13,13,12
7,01015,NaN,57,40,66,35
8,01017,NaN,13,19,28,8
9,01019,NaN,6,6,7,7
10,01021,NaN,57,41,57,44
11,01023,NaN,6,1,1,7
12,01025,NaN,18,23,1,1
13,01027,NaN,17,14,18,7
14,01029,NaN,7,5,9,5
15,01031,NaN,27,21,20,57
16,01033,NaN,23,19,20,10
17,01035,NaN,3,2,6,1
18,01037,NaN,21,45,9,9
19,01039,NaN,35,39,42,45
20,01041,NaN,7,9,18,1
21,01043,NaN,28,23,25,8
22,01045,NaN,11,9,20,14
23,01047,NaN,0,1,1,0
24,01049,NaN,14,18,14,17
25,01051,NaN,4,3,1,1
26,01053,NaN,14,12,13,7
27,01055,NaN,48,26,24,22
28,01057,NaN,10,15,15,28
29,01059,NaN,11,15,4,3
30,01061,NaN,2,1,0,0
31,01063,NaN,4,3,4,0
32,01065,NaN,5,7,3,0
33,01067,NaN,7,7,5,7
34,01069,NaN,40,41,36,38
35,01071,NaN,16,14,21,17
36,01073,NaN,242,325,301,278
37,01075,NaN,7,2,2,4
38,01077,NaN,55,47,35,31
39,01079,NaN,25,22,17,13
40,01081,NaN,103,152,224,264
41,01083,NaN,31,27,31,20
42,01085,NaN,7,6,5,4
43,01087,NaN,13,12,28,21
44,01089,NaN,244,219,224,205
45,01091,NaN,0,0,1,1
46,01093,NaN,9,9,4,0
47,01095,NaN,68,67,33,57
48,01097,NaN,1401,2116,1221,1153
49,01099,NaN,17,14,28,31
50,01101,NaN,79,78,61,37
51,01103,NaN,22,2,11,7
52,01105,NaN,1,0,0,0
53,01107,NaN,1,0,0,0
54,01109,NaN,9,10,6,9
55,01111,NaN,14,14,14,16
56,01113,NaN,31,24,23,21
57,01115,NaN,53,48,49,46
58,01117,NaN,22,63,42,42
59,01119,NaN,4,4,3,2
60,01121,NaN,13,7,0,13
61,01123,NaN,40,42,39,27
62,01125,NaN,111,103,76,65
63,01127,NaN,46,47,44,47
64,01129,NaN,19,8,5,8
65,01131,NaN,11,11,12,24
66,01133,NaN,1,0,5,0
67,02013,NaN,1,1,1,1
68,02016,NaN,7,6,8,3
69,02020,NaN,344,297,179,141
70,02050,NaN,9,0,0,0
71,02060,NaN,0,1,1,0
72,02068,NaN,3,1,3,3
73,02070,NaN,2,3,2,6
74,02090,NaN,339,471,261,257
75,02100,NaN,0,0,0,0
76,02105,NaN,,,,NaN
77,02110,NaN,14,22,14,14
78,02122,NaN,96,108,83,80
79,02130,NaN,17,14,7,5
80,02150,NaN,9,3,1,2
81,02158,NaN,,,,NaN
82,02164,NaN,1,1,2,1
83,02170,NaN,288,280,275,275
84,02180,NaN,1,1,0,0
85,02185,NaN,7,5,5,5
86,02188,NaN,1,4,1,1
87,02195,NaN,,,,NaN
88,02198,NaN,,,,NaN
89,02220,NaN,3,5,7,8
90,02230,NaN,,,,NaN
91,02240,NaN,8,7,5,4
92,02261,NaN,1,0,1,1
93,02275,NaN,,,,NaN
94,02282,NaN,1,0,0,1
95,02290,NaN,2,2,4,2
96,04001,NaN,21,43,33,66
97,04003,NaN,68,73,77,64
98,04005,NaN,134,146,149,172
99,04007,NaN,4,9,3,0
100,04009,NaN,20,21,0,19
101,04011,NaN,1,1,1,1
102,04012,NaN,1,1,9,0
103,04013,NaN,3661,3695,4369,4540
104,04015,NaN,148,162,133,99
105,04017,NaN,42,43,92,108
106,04019,NaN,635,694,689,939
107,04021,NaN,378,373,368,151
108,04023,NaN,11,8,10,10
109,04025,NaN,106,127,142,150
110,04027,NaN,38,66,43,223
111,05001,NaN,3,5,4,2
112,05003,NaN,19,23,33,37
113,05005,NaN,16,16,14,14
114,05007,NaN,172,154,153,361
115,05009,NaN,15,21,21,32
116,05011,NaN,7,7,6,2
117,05013,NaN,0,0,1,1
118,05015,NaN,10,17,21,25
