,County,613,619,626,633,640,647,654,661,668
0,01001,9667,161,132,108,89,72,59,48,39
1,01003,36242,459,344,259,193,146,108,82,61
2,01005,3472,70,59,48,40,32,26,22,18
3,01007,4093,121,102,86,72,60,51,42,35
4,01009,9720,266,256,241,226,212,198,183,170
5,01011,1492,21,19,16,14,11,10,9,8
6,01013,3182,79,69,61,52,46,41,34,30
7,01015,21211,1125,1205,1279,1334,1374,1392,1391,1366
8,01017,5416,160,147,136,124,113,103,93,84
9,01019,2898,83,73,62,52,45,38,33,27
10,01021,6385,124,100,80,64,51,41,33,26
11,01023,734,10,8,7,6,6,4,4,3
12,01025,4632,102,99,94,88,83,78,72,68
13,01027,2285,57,49,41,34,28,24,20,16
14,01029,2358,308,496,746,1026,1252,1313,1174,905
15,01031,8882,183,164,145,129,114,100,88,78
16,01033,8534,183,166,150,135,121,109,97,87
17,01035,1820,48,38,31,25,20,15,13,10
18,01037,1702,65,58,53,47,42,37,33,28
19,01039,6452,129,100,80,63,50,40,31,25
20,01041,2384,61,51,43,36,30,25,22,17
21,01043,14602,541,504,471,436,402,368,336,305
22,01045,8609,280,278,268,260,249,237,226,213
23,01047,4705,68,54,44,35,28,22,18,14
24,01049,12199,299,273,250,227,207,186,168,152
25,01051,14480,426,427,421,413,404,392,378,363
26,01053,6591,148,111,87,67,52,40,30,24
27,01055,19300,558,584,589,597,598,596,590,578
28,01057,2796,70,63,58,52,47,42,37,34
29,01059,5795,126,119,109,102,93,86,79,72
30,01061,4413,146,128,112,96,83,72,61,53
31,01063,1214,21,20,20,20,19,18,18,17
32,01065,2926,59,58,54,52,49,45,42,40
33,01067,3018,81,70,61,54,46,40,34,30
34,01069,16823,657,711,754,796,830,860,881,894
35,01071,9385,266,242,221,200,180,162,146,130
36,01073,111599,1844,1541,1268,1046,860,706,580,476
37,01075,1977,90,101,111,122,131,141,150,155
38,01077,13520,400,380,362,342,324,303,285,266
39,01079,4117,60,47,37,30,23,19,14,12
40,01081,22680,701,715,720,723,722,717,710,699
41,01083,14581,425,370,326,285,249,216,188,163
42,01085,1707,18,13,11,8,6,5,4,3
43,01087,2201,51,45,40,36,31,28,25,21
44,01089,49865,1286,1144,1017,901,796,702,619,543
45,01091,3262,49,42,35,29,24,20,17,14
46,01093,4800,198,190,184,176,168,159,149,140
47,01095,17680,374,306,250,204,167,135,110,89
48,01097,70851,695,432,276,176,112,71,46,29
49,01099,3200,62,48,36,28,21,16,12,9
50,01101,33190,527,444,371,311,260,216,181,150
51,01103,19816,444,371,310,259,214,179,147,123
52,01105,1365,21,18,14,12,10,8,7,5
53,01107,3052,53,47,42,37,32,28,25,22
54,01109,4623,140,119,103,89,76,66,56,47
55,01111,3059,104,87,73,61,51,42,35,28
56,01113,6072,120,109,98,89,79,71,64,57
57,01115,15442,414,349,292,245,204,169,141,116
58,01117,36274,901,826,747,675,607,545,488,435
59,01119,1245,11,10,7,6,6,4,3,3
60,01121,12958,539,500,462,424,387,351,317,285
61,01123,6673,267,251,235,217,200,184,168,152
62,01125,33931,808,723,648,578,515,457,405,358
63,01127,10588,347,314,286,259,234,210,188,167
64,01129,2454,22,15,10,8,5,4,3,2
65,01131,1597,50,57,62,68,74,79,84,89
66,01133,4258,170,164,155,147,137,128,117,109
67,02013,416,0,1,0,0,0,0,0,0
68,02016,881,34,49,68,92,122,155,183,206
69,02020,45404,2865,3515,3918,4423,5034,5460,5912,6294
70,02050,4968,167,155,142,128,114,100,87,75
71,02060,0,,,,,,,,NaN
72,02068,223,11,8,7,5,5,3,3,2
73,02070,552,59,57,59,59,57,54,52,48
74,02090,11883,921,939,939,923,889,840,780,713
75,02100,201,44,60,75,86,88,82,70,55
76,02105,0,,,,,,,,NaN
77,02110,3031,247,280,303,313,332,342,344,347
78,02122,8369,498,514,549,567,579,589,590,584
79,02130,1388,45,36,28,22,17,13,10,8
80,02150,1887,174,238,312,384,442,468,453,402
81,02158,1760,64,75,89,99,112,124,134,142
82,02164,320,53,84,118,140,141,119,90,63
83,02170,16788,1211,1386,1616,1820,2037,2244,2415,2555
84,02180,1001,35,34,32,30,28,25,24,21
85,02185,2153,275,268,245,211,173,136,104,77
86,02188,1089,151,219,298,371,417,415,369,298
87,02195,222,0,1,0,0,0,0,0,0
88,02198,451,49,61,71,82,90,93,92,88
89,02220,1086,53,72,92,115,136,151,157,152
90,02230,62,1,1,1,0,0,0,0,1
91,02240,1010,55,57,58,58,56,55,51,48
92,02261,0,,,,,,,,NaN
93,02275,133,1,0,0,0,0,1,0,0
94,02282,138,18,24,29,30,28,23,16,11
95,02290,532,37,40,43,47,50,51,53,54
96,04001,13027,113,92,83,71,60,53,45,39
97,04003,14129,292,287,280,271,261,249,237,224
98,04005,21169,371,375,380,386,391,396,399,403
99,04007,8944,141,119,102,86,73,62,52,44
100,04009,6937,134,118,106,89,80,69,60,54
101,04011,925,55,54,53,50,49,46,43,41
102,04012,2967,68,56,46,38,31,25,20,16
103,04013,688491,11039,10296,9751,9180,8597,8062,7541,7038
104,04015,30888,638,622,599,576,559,533,515,494
105,04017,19529,293,307,319,330,339,348,353,358
106,04019,134278,1846,1830,1833,1815,1796,1779,1752,1725
107,04021,67986,1443,1472,1514,1542,1572,1597,1618,1636
108,04023,8762,99,127,162,204,256,316,384,457
109,04025,25801,522,499,482,447,428,404,379,359
110,04027,40536,243,215,190,167,148,129,114,100
111,05001,3369,49,39,31,26,20,17,13,11
112,05003,3063,67,57,49,42,35,30,26,21
113,05005,5643,53,49,42,38,34,31,26,24
114,05007,40463,553,470,401,341,290,246,209,177
115,05009,5990,79,71,62,54,48,42,37,32
116,05011,1917,14,10,6,5,3,2,1,1
117,05013,571,9,10,10,9,9,9,9,8
118,05015,4179,43,32,25,18,14,11,8,6
119,05017,1975,34,34,32,31,30,29,28,26
120,05019,3087,41,32,25,20,16,12,10,7
121,05021,2576,58,47,39,33,26,22,18,14
