,State,740,745,752,759,766
0,Washington,1339737,140375,128826,97488,85034
1,Illinois,2920971,108895,83314,70125,57254
2,California,8427782,504169,392271,316394,244299
3,Arizona,1870644,119072,107988,92160,84190
4,Massachusetts,1611594,46482,30563,24043,15154
5,Wisconsin,1516628,48322,30245,22732,16881
6,Texas,6258336,244570,208373,148247,121421
7,Nebraska,439326,20923,17999,16298,14351
8,Utah,885523,42605,34186,27925,24177
9,Oregon,633876,47366,38961,32222,26201
10,Florida,5535803,148723,106169,66208,35898
11,New York,4805416,82410,49175,29398,17885
12,Rhode Island,343779,10763,8756,6414,4515
13,Georgia,2368052,102361,83569,65445,48868
14,New Hampshire,276856,13673,9880,7642,6406
15,North Carolina,2421799,149699,128907,97030,86868
16,New Jersey,2111856,30114,18547,11331,6465
17,Colorado,1253042,48928,37881,29133,20980
18,Maryland,955280,13471,9180,5264,3282
19,Nevada,656898,27880,24203,18036,11592
20,Tennessee,1771783,106847,94407,84046,60851
21,Hawaii,219288,14172,10401,7492,4838
22,Indiana,1623439,71118,59297,44515,30272
23,Kentucky,1160558,84937,84551,69830,60267
24,Minnesota,1321753,89719,81236,75594,61217
25,Oklahoma,976914,69742,76032,52265,47627
26,Pennsylvania,2661481,68614,50924,39046,28780
27,South Carolina,1355116,77447,61553,49044,36366
28,District of Columbia,129817,2145,1736,1106,858
29,Kansas,730853,43079,36933,30855,21914
30,Missouri,1334549,54215,44112,38342,33704
31,Vermont,104472,5652,4359,3301,2517
32,Virginia,1545650,58522,50905,37017,29051
33,Connecticut,699400,17892,11716,6149,3722
34,Iowa,712288,30847,27379,21907,17534
35,Louisiana,1114109,37156,30198,23882,15503
36,Ohio,2580405,73898,52896,52345,39413
37,Michigan,2258465,98950,90046,78488,66429
38,South Dakota,226413,7603,6069,5567,5062
39,Arkansas,776759,37485,33227,26285,16690
40,Delaware,248111,6757,4975,3371,2011
41,Mississippi,727418,31963,27591,21913,17960
42,New Mexico,480087,29390,26440,20838,16041
43,North Dakota,223726,13410,12146,10803,8344
44,Wyoming,146505,9502,9226,8201,6156
45,Alaska,216939,18614,17212,12700,10531
46,Maine,174225,7285,6732,6679,6486
47,Alabama,1218257,71078,68013,55656,43694
48,Idaho,380302,21175,20133,19545,15405
49,Montana,242180,17908,18377,16658,11964
50,Puerto Rico,457935,14003,7309,6385,6037
51,Virgin Islands,14870,348,258,188,137
52,Guam,32331,5513,5410,4947,4489
53,West Virginia,446771,29324,24877,20105,15982
54,Northern Mariana Islands,4908,564,564,564,564
55,American Samoa,18,1,0,0,0
