,State,628,633,640,647,654,661,668,675,682
0,Washington,NaN,17085,17085,17085,17085,17085,17085,17085,17085
1,Illinois,NaN,19244,19244,19244,19244,19244,19244,19244,19244
2,California,NaN,42241,42241,42241,42241,42241,42241,42241,42241
3,Arizona,NaN,16252,16252,16252,16252,16252,16252,16252,16252
4,Massachusetts,NaN,9886,9886,9886,9886,9886,9886,9886,9886
5,Wisconsin,NaN,20870,20870,20870,20870,20870,20870,20870,20870
6,Texas,NaN,45884,45884,45884,45884,45884,45884,45884,45884
7,Nebraska,NaN,4471,4471,4471,4471,4471,4471,4471,4471
8,Utah,NaN,9981,9981,9981,9981,9981,9981,9981,9981
9,Oregon,NaN,9404,9404,9404,9404,9404,9404,9404,9404
10,Florida,NaN,25184,25184,25184,25184,25184,25184,25184,25184
11,New York,NaN,34502,34502,34502,34502,34502,34502,34502,34502
12,Rhode Island,NaN,1851,1851,1851,1851,1851,1851,1851,1851
13,Georgia,NaN,20604,20604,20604,20604,20604,20604,20604,20604
14,New Hampshire,NaN,3445,3445,3445,3445,3445,3445,3445,3445
15,North Carolina,NaN,24845,24845,24845,24845,24845,24845,24845,24845
16,New Jersey,NaN,11962,11962,11962,11962,11962,11962,11962,11962
17,Colorado,NaN,14948,14948,14948,14948,14948,14948,14948,14948
18,Maryland,NaN,7729,7729,7729,7729,7729,7729,7729,7729
19,Nevada,NaN,4078,4078,4078,4078,4078,4078,4078,4078
20,Tennessee,NaN,17513,17513,17513,17513,17513,17513,17513,17513
21,Hawaii,NaN,1432,1432,1432,1432,1432,1432,1432,1432
22,Indiana,NaN,16462,16462,16462,16462,16462,16462,16462,16462
23,Kentucky,NaN,14890,14890,14890,14890,14890,14890,14890,14890
24,Minnesota,NaN,20856,20856,20856,20856,20856,20856,20856,20856
25,Oklahoma,NaN,7563,7563,7563,7563,7563,7563,7563,7563
26,Pennsylvania,NaN,36643,36643,36643,36643,36643,36643,36643,36643
27,South Carolina,NaN,13644,13644,13644,13644,13644,13644,13644,13644
28,District of Columbia,NaN,935,935,935,935,935,935,935,935
29,Kansas,NaN,6241,6241,6241,6241,6241,6241,6241,6241
30,Missouri,NaN,9262,9262,9262,9262,9262,9262,9262,9262
31,Vermont,NaN,1378,1378,1378,1378,1378,1378,1378,1378
32,Virginia,NaN,18831,18831,18831,18831,18831,18831,18831,18831
33,Connecticut,NaN,2942,2942,2942,2942,2942,2942,2942,2942
34,Iowa,NaN,5773,5773,5773,5773,5773,5773,5773,5773
35,Louisiana,NaN,5423,5423,5423,5423,5423,5423,5423,5423
36,Ohio,NaN,35632,35632,35632,35632,35632,35632,35632,35632
37,Michigan,NaN,29611,29611,29611,29611,29611,29611,29611,29611
38,South Dakota,NaN,2346,2346,2346,2346,2346,2346,2346,2346
39,Arkansas,NaN,4829,4829,4829,4829,4829,4829,4829,4829
40,Delaware,NaN,3071,3071,3071,3071,3071,3071,3071,3071
41,Mississippi,NaN,5055,5055,5055,5055,5055,5055,5055,5055
42,New Mexico,NaN,5128,5128,5128,5128,5128,5128,5128,5128
43,North Dakota,NaN,4159,4159,4159,4159,4159,4159,4159,4159
44,Wyoming,NaN,3134,3134,3134,3134,3134,3134,3134,3134
45,Alaska,NaN,5645,5645,5645,5645,5645,5645,5645,5645
46,Maine,NaN,3480,3480,3480,3480,3480,3480,3480,3480
47,Alabama,NaN,7679,7679,7679,7679,7679,7679,7679,7679
48,Idaho,NaN,8442,8442,8442,8442,8442,8442,8442,8442
49,Montana,NaN,6675,6675,6675,6675,6675,6675,6675,6675
50,Puerto Rico,NaN,1233,1233,1233,1233,1233,1233,1233,1233
51,Virgin Islands,NaN,139,139,139,139,139,139,139,139
52,Guam,NaN,806,806,806,806,806,806,806,806
53,West Virginia,NaN,8396,8396,8396,8396,8396,8396,8396,8396
54,Northern Mariana Islands,NaN,3,3,3,3,3,3,3,3
55,American Samoa,NaN,3,3,3,3,3,3,3,3
