,State,508,514,521,528,535,542,549
0,Washington,NaN,3062,2251,1726,1412,1182,1065
1,Illinois,NaN,1605,899,550,391,336,314
2,California,NaN,5922,6713,8145,10637,14437,20281
3,Arizona,NaN,2437,2349,2290,2277,2426,2611
4,Massachusetts,NaN,506,313,201,131,90,65
5,Wisconsin,NaN,571,387,302,258,256,272
6,Texas,NaN,6588,7445,9023,11787,16236,22916
7,Nebraska,NaN,314,438,639,958,1492,2315
8,Utah,NaN,1155,1478,1892,2535,3411,4505
9,Oregon,NaN,1400,1232,1114,1047,1016,1021
10,Florida,NaN,8183,7284,6799,6582,6825,7324
11,New York,NaN,2351,1689,1268,998,827,714
12,Rhode Island,NaN,86,51,34,28,27,24
13,Georgia,NaN,1763,1660,1707,1933,2325,2993
14,New Hampshire,NaN,124,70,47,31,25,20
15,North Carolina,NaN,1461,1329,1437,1796,2580,4037
16,New Jersey,NaN,1255,1233,1271,1365,1536,1806
17,Colorado,NaN,3214,3317,3448,3692,4131,4708
18,Maryland,NaN,444,302,223,179,153,141
19,Nevada,NaN,1582,2351,3404,4937,7161,10000
20,Tennessee,NaN,1034,1020,1059,1232,1594,2216
21,Hawaii,NaN,263,305,348,423,519,666
22,Indiana,NaN,1615,1326,1170,1139,1196,1347
23,Kentucky,NaN,1016,827,766,793,876,1003
24,Minnesota,NaN,682,443,316,259,219,204
25,Oklahoma,NaN,483,420,396,395,432,493
26,Pennsylvania,NaN,1943,1281,918,702,592,512
27,South Carolina,NaN,729,540,451,418,420,459
28,District of Columbia,NaN,95,64,42,28,18,10
29,Kansas,NaN,395,409,460,550,687,886
30,Missouri,NaN,2823,3758,5171,7217,9933,13409
31,Vermont,NaN,17,7,0,0,0,0
32,Virginia,NaN,684,492,416,387,383,417
33,Connecticut,NaN,306,233,179,141,116,99
34,Iowa,NaN,286,258,276,315,379,487
35,Louisiana,NaN,1750,2031,2660,3781,5368,7104
36,Ohio,NaN,1682,1269,1122,1116,1261,1490
37,Michigan,NaN,1318,798,548,415,353,305
38,South Dakota,NaN,31,17,13,12,12,11
39,Arkansas,NaN,751,831,983,1208,1630,2205
40,Delaware,NaN,168,109,72,53,39,30
41,Mississippi,NaN,435,427,462,560,754,1025
42,New Mexico,NaN,204,156,138,126,120,121
43,North Dakota,NaN,95,68,59,54,55,59
44,Wyoming,NaN,290,377,508,688,973,1282
45,Alaska,NaN,69,48,38,32,28,24
46,Maine,NaN,193,108,67,48,36,32
47,Alabama,NaN,1139,1250,1546,2106,3084,4650
48,Idaho,NaN,512,462,444,450,477,525
49,Montana,NaN,291,255,235,232,244,259
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,516,391,360,375,413,496
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
