,State,585,591,598,605,612,619,626
0,Washington,NaN,19770,19540,18786,17322,14953,12153
1,Illinois,NaN,24889,28966,30794,29662,26645,22558
2,California,NaN,96521,103795,106077,99176,85975,69992
3,Arizona,NaN,21867,22526,22361,21101,18828,16124
4,Massachusetts,NaN,9047,9781,9979,9456,8334,6924
5,Wisconsin,NaN,12340,15217,16447,15760,14021,11711
6,Texas,NaN,99963,103448,103068,94695,80341,63699
7,Nebraska,NaN,3037,4090,4514,4362,3889,3233
8,Utah,NaN,5035,5101,4990,4625,4073,3386
9,Oregon,NaN,13346,12966,12341,11159,9430,7492
10,Florida,NaN,122967,96870,77139,61439,45474,30800
11,New York,NaN,29337,28312,27268,25015,21758,17825
12,Rhode Island,NaN,1840,1866,1796,1616,1348,1065
13,Georgia,NaN,51584,51920,49148,42636,34108,25505
14,New Hampshire,NaN,1691,1882,1939,1855,1678,1431
15,North Carolina,NaN,40462,43991,44239,40577,34017,26829
16,New Jersey,NaN,13533,13351,12856,11836,10205,8274
17,Colorado,NaN,8364,8051,7728,7257,6577,5679
18,Maryland,NaN,8200,8985,9224,8693,7727,6485
19,Nevada,NaN,6329,6322,6426,6103,5586,4866
20,Tennessee,NaN,38807,39739,37977,32989,25795,18755
21,Hawaii,NaN,5364,5655,5578,5078,4227,3234
22,Indiana,NaN,25233,27407,27533,25157,20885,16129
23,Kentucky,NaN,23231,22515,20707,18119,14659,11120
24,Minnesota,NaN,9187,9661,9600,9079,8032,6855
25,Oklahoma,NaN,14253,13354,12520,11233,9447,7421
26,Pennsylvania,NaN,21394,23900,24495,22774,19853,16206
27,South Carolina,NaN,24600,26222,26278,23932,19759,15227
28,District of Columbia,NaN,696,626,584,538,453,353
29,Kansas,NaN,7654,7480,7151,6501,5663,4606
30,Missouri,NaN,13255,12559,11968,11247,10206,8940
31,Vermont,NaN,718,718,715,681,623,548
32,Virginia,NaN,17678,19417,19816,18487,16299,13642
33,Connecticut,NaN,5136,6108,6508,6263,5579,4682
34,Iowa,NaN,6348,7118,7516,7134,6423,5464
35,Louisiana,NaN,24971,19727,16665,14078,11424,8669
36,Ohio,NaN,30168,36729,39278,37551,33177,27591
37,Michigan,NaN,14864,17385,18628,18245,16962,15053
38,South Dakota,NaN,1620,1899,1908,1732,1433,1095
39,Arkansas,NaN,11887,9871,8580,7457,6277,5016
40,Delaware,NaN,2282,2193,2060,1861,1528,1184
41,Mississippi,NaN,18134,14282,11824,9919,7966,6079
42,New Mexico,NaN,4541,4506,4384,3986,3401,2703
43,North Dakota,NaN,1566,1764,1802,1687,1471,1199
44,Wyoming,NaN,2323,2453,2476,2321,2051,1719
45,Alaska,NaN,2669,2761,2760,2590,2307,1926
46,Maine,NaN,1466,1697,1780,1706,1570,1335
47,Alabama,NaN,23548,22001,20721,18706,15760,12487
48,Idaho,NaN,4401,4715,4790,4590,4098,3457
49,Montana,NaN,2401,2648,2703,2566,2272,1885
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,7343,8862,9246,8492,7021,5480
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
