,State,509,514,521,528,535,542,549
0,Washington,NaN,2512,1659,1037,615,349,189
1,Illinois,NaN,1405,757,386,189,88,40
2,California,NaN,6454,5650,4894,4198,3551,2963
3,Arizona,NaN,1832,1215,745,423,223,111
4,Massachusetts,NaN,517,291,156,81,40,18
5,Wisconsin,NaN,572,316,165,82,39,18
6,Texas,NaN,7920,6487,5207,4092,3146,2365
7,Nebraska,NaN,118,73,45,26,15,9
8,Utah,NaN,253,115,51,22,10,4
9,Oregon,NaN,980,630,383,222,122,64
10,Florida,NaN,4298,2666,1588,912,508,274
11,New York,NaN,1805,1083,629,351,190,98
12,Rhode Island,NaN,105,57,30,15,7,3
13,Georgia,NaN,1240,755,438,243,130,67
14,New Hampshire,NaN,126,83,55,36,24,16
15,North Carolina,NaN,1552,950,556,314,171,90
16,New Jersey,NaN,208,107,55,28,14,6
17,Colorado,NaN,2143,1470,970,616,375,218
18,Maryland,NaN,461,290,181,113,70,44
19,Nevada,NaN,1113,840,605,417,275,174
20,Tennessee,NaN,249,111,47,19,8,3
21,Hawaii,NaN,303,255,213,175,142,114
22,Indiana,NaN,1890,1338,911,597,376,229
23,Kentucky,NaN,3130,2660,2185,1746,1360,1033
24,Minnesota,NaN,507,254,122,56,26,11
25,Oklahoma,NaN,233,118,58,29,14,6
26,Pennsylvania,NaN,2476,1715,1180,803,544,365
27,South Carolina,NaN,815,539,342,209,123,68
28,District of Columbia,NaN,45,27,16,10,5,4
29,Kansas,NaN,360,200,102,48,20,9
30,Missouri,NaN,2387,1937,1488,1084,754,504
31,Vermont,NaN,35,20,12,6,3,2
32,Virginia,NaN,764,446,248,131,68,33
33,Connecticut,NaN,216,126,72,40,23,12
34,Iowa,NaN,294,177,101,56,29,15
35,Louisiana,NaN,1392,904,538,294,149,72
36,Ohio,NaN,1814,1273,874,588,387,251
37,Michigan,NaN,1281,747,429,243,136,74
38,South Dakota,NaN,23,11,5,2,1,0
39,Arkansas,NaN,625,401,234,126,62,29
40,Delaware,NaN,178,109,63,36,20,10
41,Mississippi,NaN,707,531,374,248,153,90
42,New Mexico,NaN,635,472,343,247,175,124
43,North Dakota,NaN,147,97,62,39,22,13
44,Wyoming,NaN,598,564,514,454,394,335
45,Alaska,NaN,157,111,76,52,34,23
46,Maine,NaN,167,85,41,19,8,4
47,Alabama,NaN,582,265,113,47,19,8
48,Idaho,NaN,663,585,512,445,382,327
49,Montana,NaN,1166,1460,1674,1694,1484,1123
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,690,472,305,187,108,59
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
