,State,607,612,619,626,633,640,647,654,661
0,Washington,NaN,26974,29998,32136,32041,29755,26118,22298,18816
1,Illinois,NaN,29593,30365,30908,30037,27728,24407,20832,17503
2,California,NaN,54310,50232,47539,43979,39342,34344,29590,25489
3,Arizona,NaN,14880,13184,12046,10973,9925,8863,7809,6832
4,Massachusetts,NaN,20272,25258,30942,35326,37312,36842,34511,31023
5,Wisconsin,NaN,15731,15015,14691,14195,13386,12309,11014,9608
6,Texas,NaN,121897,109394,91889,71693,52945,37754,26534,18505
7,Nebraska,NaN,4684,4236,3919,3587,3222,2838,2486,2149
8,Utah,NaN,13209,12947,12469,11623,10484,9157,7777,6425
9,Oregon,NaN,13893,14138,14327,14073,13328,12313,11167,9990
10,Florida,NaN,60342,45872,35421,27016,20401,15159,11211,8253
11,New York,NaN,39355,44895,52379,57911,58532,54227,47798,41095
12,Rhode Island,NaN,4872,6092,7326,8004,7827,6893,5658,4433
13,Georgia,NaN,39822,35239,31656,27581,23258,19162,15520,12373
14,New Hampshire,NaN,4986,6578,8424,9970,10748,10469,9488,8066
15,North Carolina,NaN,59466,64976,68334,66331,59653,50147,40528,31660
16,New Jersey,NaN,18146,20887,24305,27126,28331,27441,25025,21809
17,Colorado,NaN,15535,16806,17880,18104,17529,16139,14372,12468
18,Maryland,NaN,8918,9458,9934,9878,9360,8498,7513,6487
19,Nevada,NaN,8659,8634,8359,7698,6861,5892,4985,4169
20,Tennessee,NaN,56499,53042,48098,40897,32707,25069,18652,13732
21,Hawaii,NaN,2315,1773,1393,1090,841,642,493,380
22,Indiana,NaN,26553,23938,21350,18433,15415,12522,10088,8042
23,Kentucky,NaN,29319,27096,24774,21802,18506,15207,12307,9785
24,Minnesota,NaN,17070,18126,19518,20402,20369,19475,17861,15837
25,Oklahoma,NaN,15678,15256,14772,13784,12426,10707,9013,7454
26,Pennsylvania,NaN,34220,38204,42325,44421,43666,40184,35484,30365
27,South Carolina,NaN,31201,29104,26447,22420,17869,13558,10068,7377
28,District of Columbia,NaN,3408,5204,7217,8203,7552,5800,4030,2703
29,Kansas,NaN,10445,9807,9322,8636,7725,6634,5537,4542
30,Missouri,NaN,12269,11348,10718,10088,9257,8375,7487,6598
31,Vermont,NaN,1409,1649,1955,2231,2411,2448,2375,2190
32,Virginia,NaN,28786,31543,33291,32486,29873,26114,22282,18789
33,Connecticut,NaN,5783,6231,6903,7537,8018,8229,8202,7941
34,Iowa,NaN,11193,10893,10731,10252,9535,8599,7575,6625
35,Louisiana,NaN,11639,9419,7590,6107,4894,3879,3040,2379
36,Ohio,NaN,39352,35061,31296,27512,23926,20542,17363,14687
37,Michigan,NaN,21533,22480,23554,23922,23243,21614,19358,16925
38,South Dakota,NaN,3878,3986,4103,4020,3702,3173,2584,2036
39,Arkansas,NaN,8698,7374,6337,5402,4541,3746,3037,2440
40,Delaware,NaN,3011,2838,2649,2342,1951,1542,1171,868
41,Mississippi,NaN,9206,7037,5417,4105,3036,2217,1601,1147
42,New Mexico,NaN,4289,3892,3682,3487,3289,3098,2914,2722
43,North Dakota,NaN,3657,3706,3656,3400,3031,2594,2160,1781
44,Wyoming,NaN,3215,2822,2438,2066,1699,1359,1073,842
45,Alaska,NaN,7030,7723,7971,7382,6255,4998,3830,2857
46,Maine,NaN,3594,4164,4883,5566,6080,6267,6195,5854
47,Alabama,NaN,18635,15052,12354,10043,8008,6232,4804,3666
48,Idaho,NaN,10645,11609,12079,11792,10768,9276,7681,6167
49,Montana,NaN,6786,7078,7134,6802,6207,5395,4525,3694
50,Puerto Rico,NaN,904,574,373,248,166,109,73,49
51,Virgin Islands,NaN,155,136,121,107,94,80,69,59
52,Guam,NaN,1172,1151,1128,1069,960,815,670,536
53,West Virginia,NaN,14555,14762,13685,11121,8303,5977,4246,2952
54,Northern Mariana Islands,NaN,7,7,7,7,7,8,8,8
55,American Samoa,NaN,0,0,0,0,0,0,0,0
