,State,768,773,780,787,794,801,808,815
0,Washington,NaN,1280,732,455,288,185,120,80
1,Illinois,NaN,12115,7720,5177,3501,2364,1600,1094
2,California,NaN,53001,33380,22207,14900,10113,6868,4704
3,Arizona,NaN,9974,6223,4072,2693,1762,1165,771
4,Massachusetts,NaN,8808,6148,4520,3336,2465,1825,1366
5,Wisconsin,NaN,5686,3557,2331,1534,1008,667,444
6,Texas,NaN,35386,22394,14978,10093,6851,4700,3245
7,Nebraska,NaN,728,393,226,131,75,44,25
8,Utah,NaN,2994,1771,1092,677,417,258,158
9,Oregon,NaN,4434,2821,1877,1254,833,559,378
10,Florida,NaN,11719,6926,4355,2760,1753,1114,716
11,New York,NaN,15877,11135,8197,6136,4603,3444,2567
12,Rhode Island,NaN,1431,1038,796,620,480,374,291
13,Georgia,NaN,7440,4862,3383,2361,1654,1161,832
14,New Hampshire,NaN,3787,2736,2039,1514,1120,829,608
15,North Carolina,NaN,18978,12763,9028,6427,4577,3298,2383
16,New Jersey,NaN,9378,7023,5487,4308,3386,2672,2104
17,Colorado,NaN,8536,6018,4406,3225,2373,1748,1295
18,Maryland,NaN,4079,3028,2343,1810,1394,1081,844
19,Nevada,NaN,2834,1732,1107,715,461,297,192
20,Tennessee,NaN,13664,8383,5427,3518,2284,1489,978
21,Hawaii,NaN,1443,886,567,364,234,151,97
22,Indiana,NaN,4264,2694,1795,1211,818,554,376
23,Kentucky,NaN,15912,10469,7205,4957,3405,2350,1621
24,Minnesota,NaN,3577,2036,1225,743,455,282,176
25,Oklahoma,NaN,4417,2980,2124,1539,1115,812,597
26,Pennsylvania,NaN,12612,9114,6889,5243,3998,3078,2377
27,South Carolina,NaN,7590,4884,3300,2242,1523,1040,716
28,District of Columbia,NaN,516,389,309,250,201,163,131
29,Kansas,NaN,4934,3373,2413,1724,1235,884,636
30,Missouri,NaN,4736,3002,2010,1358,911,612,414
31,Vermont,NaN,1143,811,599,439,324,239,177
32,Virginia,NaN,11573,7817,5512,3871,2743,1956,1403
33,Connecticut,NaN,3024,2166,1619,1217,917,695,533
34,Iowa,NaN,2466,1500,948,597,374,236,150
35,Louisiana,NaN,5116,3162,2044,1329,857,564,371
36,Ohio,NaN,6617,4385,3059,2150,1508,1058,744
37,Michigan,NaN,11922,8223,5958,4324,3138,2291,1676
38,South Dakota,NaN,1063,576,377,254,173,120,84
39,Arkansas,NaN,4499,2925,1990,1369,943,648,449
40,Delaware,NaN,1393,1007,759,573,435,327,246
41,Mississippi,NaN,2966,1295,608,291,140,67,33
42,New Mexico,NaN,2411,1469,955,627,415,277,184
43,North Dakota,NaN,833,447,256,149,85,50,29
44,Wyoming,NaN,464,257,150,87,51,30,18
45,Alaska,NaN,2166,1217,737,454,282,176,111
46,Maine,NaN,17687,14046,11022,8395,6248,4562,3297
47,Alabama,NaN,4288,2689,1786,1192,796,535,362
48,Idaho,NaN,10412,7573,5566,4031,2889,2055,1468
49,Montana,NaN,4126,2900,2100,1516,1083,770,552
50,Puerto Rico,NaN,1260,819,553,375,255,173,118
51,Virgin Islands,NaN,61,40,27,18,12,8,6
52,Guam,NaN,1651,1024,656,415,262,165,104
53,West Virginia,NaN,5951,3972,2800,1987,1395,993,706
54,Northern Mariana Islands,NaN,1133,793,564,389,265,180,119
55,American Samoa,NaN,0,0,0,0,0,0,0
