,State,641,647,654,661,668
0,Washington,NaN,13962,12644,11856,11240
1,Illinois,NaN,14465,12729,12062,11207
2,California,NaN,37486,34776,33688,32420
3,Arizona,NaN,15782,15294,14502,13614
4,Massachusetts,NaN,9763,8490,8345,8040
5,Wisconsin,NaN,14413,12282,11321,10350
6,Texas,NaN,32856,27602,24452,21735
7,Nebraska,NaN,3432,2876,2784,2595
8,Utah,NaN,9092,8342,7982,7820
9,Oregon,NaN,8071,7150,6920,6689
10,Florida,NaN,13652,13594,12766,12252
11,New York,NaN,27314,25330,23402,21134
12,Rhode Island,NaN,1791,1659,1766,1771
13,Georgia,NaN,8706,7382,6986,6671
14,New Hampshire,NaN,3922,3656,3648,3570
15,North Carolina,NaN,14100,11594,10403,9196
16,New Jersey,NaN,7590,7060,6576,6265
17,Colorado,NaN,15654,14694,14205,13682
18,Maryland,NaN,5204,4778,4218,3910
19,Nevada,NaN,3826,3504,3369,3273
20,Tennessee,NaN,8171,6669,6160,5864
21,Hawaii,NaN,829,772,736,721
22,Indiana,NaN,9960,8236,7358,6656
23,Kentucky,NaN,8716,6874,6136,5356
24,Minnesota,NaN,14712,12306,11238,10158
25,Oklahoma,NaN,6717,5678,5547,5340
26,Pennsylvania,NaN,26016,23083,20444,18124
27,South Carolina,NaN,6409,5115,4756,4383
28,District of Columbia,NaN,592,503,461,446
29,Kansas,NaN,5265,4833,4670,4548
30,Missouri,NaN,6157,5904,5517,5266
31,Vermont,NaN,1496,1498,1510,1507
32,Virginia,NaN,11409,9328,8716,8131
33,Connecticut,NaN,3248,2936,2824,2750
34,Iowa,NaN,7064,6194,5960,5636
35,Louisiana,NaN,3104,2668,2437,2324
36,Ohio,NaN,22836,19294,16956,15182
37,Michigan,NaN,26232,23034,20840,18672
38,South Dakota,NaN,2246,2085,2040,1982
39,Arkansas,NaN,3250,2916,2795,2718
40,Delaware,NaN,2202,2111,2058,2020
41,Mississippi,NaN,2976,2416,2340,2290
42,New Mexico,NaN,5069,4889,4887,4946
43,North Dakota,NaN,3062,2868,2740,2632
44,Wyoming,NaN,2945,2693,2592,2520
45,Alaska,NaN,5297,4753,4592,4315
46,Maine,NaN,3279,3287,3267,3200
47,Alabama,NaN,5315,5576,5627,5652
48,Idaho,NaN,8210,7647,7298,6992
49,Montana,NaN,5869,5165,4806,4609
50,Puerto Rico,NaN,678,876,928,1084
51,Virgin Islands,NaN,82,88,93,90
52,Guam,NaN,742,815,853,905
53,West Virginia,NaN,6114,5614,5224,4980
54,Northern Mariana Islands,NaN,8,10,12,13
55,American Samoa,NaN,2,4,4,5
