,State,599,605,612,619,626
0,Washington,NaN,17656,16030,14356,12723
1,Illinois,NaN,20455,18759,16712,14851
2,California,NaN,66934,56249,46981,39204
3,Arizona,NaN,17800,15956,13996,12313
4,Massachusetts,NaN,8856,8397,7821,7142
5,Wisconsin,NaN,10188,9364,8535,7610
6,Texas,NaN,103146,95422,86513,76973
7,Nebraska,NaN,4167,3977,3755,3445
8,Utah,NaN,7685,7956,8085,7967
9,Oregon,NaN,10342,8890,7630,6662
10,Florida,NaN,73354,56789,43826,34220
11,New York,NaN,28941,26223,23444,20685
12,Rhode Island,NaN,1509,1380,1239,1104
13,Georgia,NaN,33095,25498,19235,14392
14,New Hampshire,NaN,1759,1650,1539,1402
15,North Carolina,NaN,33824,30566,27034,23717
16,New Jersey,NaN,13294,12416,11259,10200
17,Colorado,NaN,10926,10563,9955,9217
18,Maryland,NaN,7100,6600,6049,5482
19,Nevada,NaN,5934,5593,5256,4939
20,Tennessee,NaN,33089,29189,24560,20275
21,Hawaii,NaN,4603,4079,3714,3388
22,Indiana,NaN,19630,16825,14093,11769
23,Kentucky,NaN,22644,19642,16575,13929
24,Minnesota,NaN,8329,7671,6933,6161
25,Oklahoma,NaN,12847,11840,10806,9744
26,Pennsylvania,NaN,23980,23099,21579,19759
27,South Carolina,NaN,23160,19766,16083,12982
28,District of Columbia,NaN,906,790,682,601
29,Kansas,NaN,6879,6257,5697,5087
30,Missouri,NaN,14933,13848,12810,11719
31,Vermont,NaN,960,969,953,932
32,Virginia,NaN,18840,17677,15929,14288
33,Connecticut,NaN,3356,3115,2879,2587
34,Iowa,NaN,6233,5753,5096,4376
35,Louisiana,NaN,7362,4760,3107,1975
36,Ohio,NaN,38691,39976,39508,36889
37,Michigan,NaN,13802,13802,13331,12678
38,South Dakota,NaN,2218,2094,1868,1664
39,Arkansas,NaN,11580,10325,9194,8173
40,Delaware,NaN,2402,2212,1949,1722
41,Mississippi,NaN,8971,6448,4683,3356
42,New Mexico,NaN,3659,3214,2752,2411
43,North Dakota,NaN,2491,2418,2237,2007
44,Wyoming,NaN,2555,2334,2071,1817
45,Alaska,NaN,4671,5017,5278,5303
46,Maine,NaN,2065,2172,2322,2382
47,Alabama,NaN,22557,19480,16432,13590
48,Idaho,NaN,5648,5761,5681,5486
49,Montana,NaN,3217,3087,2933,2670
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,9259,8230,6923,5734
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN
