,State,551,556,563,570,577
0,Washington,NaN,8532,15870,21026,25641
1,Illinois,NaN,14008,28960,53531,62291
2,California,NaN,75436,165960,359389,399933
3,Arizona,NaN,13992,20929,28130,46413
4,Massachusetts,NaN,5649,18754,32758,42504
5,Wisconsin,NaN,4044,7878,15778,15962
6,Texas,NaN,60602,127037,208765,311369
7,Nebraska,NaN,1515,2440,4488,8333
8,Utah,NaN,5632,6975,9172,13157
9,Oregon,NaN,4604,9688,17904,23011
10,Florida,NaN,130774,240191,546638,494522
11,New York,NaN,17133,43937,67231,81767
12,Rhode Island,NaN,814,2695,3384,4568
13,Georgia,NaN,22286,40771,87948,94388
14,New Hampshire,NaN,365,613,990,1269
15,North Carolina,NaN,16572,31970,74724,79500
16,New Jersey,NaN,8721,18312,32127,43228
17,Colorado,NaN,5000,6454,9187,13706
18,Maryland,NaN,3239,5987,12289,17622
19,Nevada,NaN,8488,11899,19743,55131
20,Tennessee,NaN,13760,36234,78785,126042
21,Hawaii,NaN,2187,4558,4775,17009
22,Indiana,NaN,6600,10869,18897,20001
23,Kentucky,NaN,8672,17076,42453,46951
24,Minnesota,NaN,3218,5723,11535,11807
25,Oklahoma,NaN,11101,20047,42605,43394
26,Pennsylvania,NaN,6836,16366,26383,35610
27,South Carolina,NaN,9281,17285,40636,46326
28,District of Columbia,NaN,487,1707,2266,3685
29,Kansas,NaN,6821,11020,23205,35678
30,Missouri,NaN,24789,33161,55328,107922
31,Vermont,NaN,199,594,760,1085
32,Virginia,NaN,6789,14931,35766,36748
33,Connecticut,NaN,2246,5901,7313,11401
34,Iowa,NaN,2151,4035,6043,9691
35,Louisiana,NaN,33222,76973,256285,258876
36,Ohio,NaN,8379,17289,46591,48405
37,Michigan,NaN,5026,8918,16527,17511
38,South Dakota,NaN,346,857,1508,1802
39,Arkansas,NaN,17259,25150,45420,109127
40,Delaware,NaN,677,1116,2000,2358
41,Mississippi,NaN,10677,21588,38996,61612
42,New Mexico,NaN,2156,3938,9167,9479
43,North Dakota,NaN,347,663,1018,1209
44,Wyoming,NaN,1089,1640,3204,3567
45,Alaska,NaN,2484,5882,19252,15458
46,Maine,NaN,664,1398,2686,2977
47,Alabama,NaN,18358,37382,102853,105348
48,Idaho,NaN,2233,3346,8607,10416
49,Montana,NaN,896,1251,2428,2677
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,1207,1926,4532,4517
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN
