,State,403,409,416,423,430,437
0,Washington,339773,4616,4154,3951,4000,4298
1,Illinois,1186613,9561,8422,7582,6926,6365
2,California,3566914,28810,22983,19119,16509,14655
3,Arizona,816782,8822,6920,5549,4543,3780
4,Massachusetts,581148,8810,7782,7167,6850,6717
5,Wisconsin,617367,4078,3687,3443,3291,3184
6,Texas,2653013,43107,34548,28152,23486,20165
7,Nebraska,200882,1830,1608,1437,1310,1215
8,Utah,371235,4897,5308,5903,6619,7403
9,Oregon,155597,2419,2267,2231,2329,2583
10,Florida,1909221,33772,30928,29453,29242,30144
11,New York,1643867,42177,38965,36688,35088,33918
12,Rhode Island,125622,1801,1614,1488,1401,1335
13,Georgia,1006521,15536,13024,11176,9851,8921
14,New Hampshire,75424,2424,2719,3135,3640,4192
15,North Carolina,858548,16756,13992,11869,10336,9328
16,New Jersey,789356,16752,14854,13364,12245,11442
17,Colorado,428303,6291,6230,6449,6936,7665
18,Maryland,382099,4093,3543,3221,3077,3066
19,Nevada,293754,2129,1724,1448,1264,1145
20,Tennessee,775004,6987,5948,5227,4747,4441
21,Hawaii,27759,298,277,276,292,325
22,Indiana,661673,5063,4401,4020,3843,3801
23,Kentucky,404622,6866,5753,4913,4308,3901
24,Minnesota,484594,5684,6576,7919,9707,11895
25,Oklahoma,424508,4514,3565,2962,2637,2531
26,Pennsylvania,933261,14265,12225,10747,9772,9225
27,South Carolina,516823,13357,11451,9885,8648,7711
28,District of Columbia,40598,596,517,462,428,410
29,Kansas,295997,2746,2265,1924,1697,1563
30,Missouri,495047,3955,4232,4665,5180,5712
31,Vermont,15198,674,613,555,503,457
32,Virginia,576050,10125,8194,6777,5809,5221
33,Connecticut,279946,4661,4213,3968,3876,3882
34,Iowa,363636,3285,3083,2959,2882,2823
35,Louisiana,430100,5215,4801,4709,4877,5246
36,Ohio,967422,11988,10639,9806,9408,9354
37,Michigan,645550,5921,5261,4849,4667,4692
38,South Dakota,112427,871,934,1041,1178,1328
39,Arkansas,322415,3632,3048,2673,2457,2354
40,Delaware,86799,1500,1380,1328,1330,1374
41,Mississippi,294795,2718,2182,1807,1546,1364
42,New Mexico,185132,2375,2444,2555,2661,2722
43,North Dakota,99809,468,442,419,395,367
44,Wyoming,54394,435,364,310,271,245
45,Alaska,58263,730,706,704,717,736
46,Maine,44635,760,647,585,565,578
47,Alabama,493252,5813,5845,5888,5870,5763
48,Idaho,171140,1184,990,855,768,720
49,Montana,99954,1152,1071,1030,1025,1048
50,Puerto Rico,100297,1014,905,866,892,981
51,Virgin Islands,2646,NaN,NaN,NaN,NaN,NaN
52,Guam,7734,NaN,NaN,NaN,NaN,NaN
53,West Virginia,131855,1353,1062,863,731,648
54,Northern Mariana Islands,143,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
