,State,417,423,430,437,444
0,Washington,349425,4535,4572,4500,4383
1,Illinois,1209245,11051,11129,11272,11297
2,California,3623063,21163,20376,19402,18067
3,Arizona,832743,5807,5828,5434,5060
4,Massachusetts,602308,11569,11791,12046,12434
5,Wisconsin,625359,3691,3762,3797,3862
6,Texas,2727462,29951,29194,28060,27547
7,Nebraska,204638,1643,1711,1734,1718
8,Utah,378379,3282,3152,3072,3077
9,Oregon,159617,2164,2169,2155,2263
10,Florida,1976808,31941,31928,31710,31281
11,New York,1741363,47832,49328,48655,44675
12,Rhode Island,130502,2060,2022,1959,1885
13,Georgia,1033786,8703,7976,7183,6660
14,New Hampshire,78615,1775,1715,1727,1741
15,North Carolina,882715,8623,8213,7467,6763
16,New Jersey,837861,27376,28520,29243,29283
17,Colorado,443968,8193,8228,8217,8142
18,Maryland,393441,6755,7272,7782,8175
19,Nevada,299287,2857,3010,3012,3084
20,Tennessee,789652,6084,6798,6828,6290
21,Hawaii,28554,388,386,378,386
22,Indiana,672554,5199,5328,5498,5444
23,Kentucky,416215,4737,4577,4323,4231
24,Minnesota,497392,7233,7653,7942,8106
25,Oklahoma,432483,3300,3124,3248,2978
26,Pennsylvania,968259,18346,20079,20924,20768
27,South Carolina,533421,6540,6553,6241,6056
28,District of Columbia,42511,921,979,969,993
29,Kansas,299995,1413,1263,1250,1140
30,Missouri,571005,3896,3738,3560,3481
31,Vermont,16890,864,818,815,779
32,Virginia,594735,9034,9289,9050,9575
33,Connecticut,290577,4707,4632,4449,4242
34,Iowa,342886,2861,2906,2880,2851
35,Louisiana,437393,3667,3385,3224,3046
36,Ohio,989191,10650,10969,11089,10441
37,Michigan,670088,15507,17119,17814,17708
38,South Dakota,114623,1020,1025,1049,1067
39,Arkansas,326943,1804,1818,1637,1413
40,Delaware,90381,1687,1673,1652,1734
41,Mississippi,300780,2839,3035,2940,2899
42,New Mexico,188311,1272,1223,1160,1156
43,North Dakota,100976,605,642,640,621
44,Wyoming,55163,301,290,261,232
45,Alaska,60207,788,795,781,723
46,Maine,47032,1265,1308,1375,1432
47,Alabama,503673,3655,3438,3308,3121
48,Idaho,175236,2131,2183,2190,2182
49,Montana,101760,747,744,701,700
50,Puerto Rico,102995,1397,1457,1481,1499
51,Virgin Islands,2767,30,29,28,27
52,Guam,7768,11,12,14,14
53,West Virginia,135468,1815,1651,1693,1531
54,Northern Mariana Islands,154,8,2,3,3
55,American Samoa,0,0,0,0,0
