,State,824,829,836,843,850,857
0,Washington,NaN,937,3767,3917,4032,4118
1,Illinois,NaN,4501,11056,11195,11160,11151
2,California,NaN,0,11029,10990,10994,11025
3,Arizona,NaN,3426,4447,4551,4645,4726
4,Massachusetts,NaN,7034,12771,12874,12978,13081
5,Wisconsin,NaN,1220,3453,3651,3780,3422
6,Texas,NaN,10471,23150,23504,20977,21918
7,Nebraska,NaN,0,17,17,17,17
8,Utah,NaN,0,432,435,447,426
9,Oregon,NaN,341,1736,1746,1775,1772
10,Florida,NaN,0,5111,5129,5148,5167
11,New York,NaN,27341,49112,48677,47972,47282
12,Rhode Island,NaN,753,1457,1463,1472,1481
13,Georgia,NaN,1511,2211,2215,2220,2225
14,New Hampshire,NaN,115,562,564,566,571
15,North Carolina,NaN,563,2458,2343,2362,2319
16,New Jersey,NaN,2561,9167,9221,9283,9345
17,Colorado,NaN,5058,9948,10411,10759,10965
18,Maryland,NaN,47,1378,1388,1415,1438
19,Nevada,NaN,565,1082,1136,1230,1403
20,Tennessee,NaN,0,398,391,389,390
21,Hawaii,NaN,NaN,NaN,NaN,NaN,NaN
22,Indiana,NaN,173,911,914,916,918
23,Kentucky,NaN,7,1064,1065,1068,1070
24,Minnesota,NaN,1109,3094,3068,3266,3277
25,Oklahoma,NaN,152,888,939,1000,993
26,Pennsylvania,NaN,0,2994,3011,3023,3033
27,South Carolina,NaN,86,216,235,236,225
28,District of Columbia,NaN,NaN,NaN,NaN,NaN,NaN
29,Kansas,NaN,357,217,175,210,160
30,Missouri,NaN,955,1240,1243,1246,1248
31,Vermont,NaN,670,1244,1215,1185,1158
32,Virginia,NaN,1136,3083,3089,3097,3111
33,Connecticut,NaN,3757,6595,6802,6833,6866
34,Iowa,NaN,0,282,291,271,271
35,Louisiana,NaN,294,412,415,414,416
36,Ohio,NaN,0,1562,1566,1569,1573
37,Michigan,NaN,348,3848,3865,3882,3899
38,South Dakota,NaN,11,54,54,52,56
39,Arkansas,NaN,46,375,391,370,359
40,Delaware,NaN,0,426,395,373,365
41,Mississippi,NaN,242,200,202,203,203
42,New Mexico,NaN,180,469,533,541,498
43,North Dakota,NaN,0,129,104,112,120
44,Wyoming,NaN,0,14,16,17,17
45,Alaska,NaN,NaN,NaN,NaN,NaN,NaN
46,Maine,NaN,0,123,124,126,127
47,Alabama,NaN,240,434,432,432,433
48,Idaho,NaN,71,214,173,207,201
49,Montana,NaN,11,69,68,68,69
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,50,249,254,259,256
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN
