,State,747,752,759,766,773
0,Washington,NaN,87897,59596,34722,17383
1,Illinois,NaN,42928,18124,7027,2578
2,California,NaN,159163,46189,9513,1390
3,Arizona,NaN,59251,27944,11145,4465
4,Massachusetts,NaN,13891,3523,650,87
5,Wisconsin,NaN,NaN,NaN,NaN,NaN
6,Texas,NaN,190379,105448,49131,19256
7,Nebraska,NaN,9798,4228,1418,369
8,Utah,NaN,16496,5193,1250,311
9,Oregon,NaN,27389,13895,5633,1825
10,Florida,NaN,86508,38801,14154,4199
11,New York,NaN,23838,5587,981,128
12,Rhode Island,NaN,3615,951,182,25
13,Georgia,NaN,64861,39617,21661,10763
14,New Hampshire,NaN,9638,8120,7663,7518
15,North Carolina,NaN,98160,56446,27437,11395
16,New Jersey,NaN,9979,2395,434,59
17,Colorado,NaN,14893,4585,1350,572
18,Maryland,NaN,2984,565,77,7
19,Nevada,NaN,7571,1403,155,10
20,Tennessee,NaN,NaN,NaN,NaN,NaN
21,Hawaii,NaN,8638,4242,1931,818
22,Indiana,NaN,36598,17387,6918,2485
23,Kentucky,NaN,14311,2058,150,5
24,Minnesota,NaN,37811,28134,25465,23509
25,Oklahoma,NaN,40773,22526,10077,3650
26,Pennsylvania,NaN,32452,16030,9463,6743
27,South Carolina,NaN,31829,11300,2978,616
28,District of Columbia,NaN,NaN,NaN,NaN,NaN
29,Kansas,NaN,16608,7746,4757,3907
30,Missouri,NaN,31500,16747,7309,2615
31,Vermont,NaN,1418,403,134,69
32,Virginia,NaN,26912,10625,3345,840
33,Connecticut,NaN,6303,1960,475,89
34,Iowa,NaN,13097,5257,1617,398
35,Louisiana,NaN,15688,5409,1426,287
36,Ohio,NaN,24645,7727,1933,423
37,Michigan,NaN,55137,41758,31983,25124
38,South Dakota,NaN,NaN,NaN,NaN,NaN
39,Arkansas,NaN,25775,14262,6613,2569
40,Delaware,NaN,2110,1122,821,675
41,Mississippi,NaN,26045,15750,8123,3573
42,New Mexico,NaN,20490,12015,5811,2318
43,North Dakota,NaN,11816,12893,14052,15300
44,Wyoming,NaN,6656,4734,2879,1498
45,Alaska,NaN,13455,9408,5543,2751
46,Maine,NaN,7257,7463,7667,7871
47,Alabama,NaN,49749,19220,5254,1016
48,Idaho,NaN,14633,10367,6192,3118
49,Montana,NaN,11011,7441,4108,1852
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,12943,5746,2051,650
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN
