,State,495,500,507,514,521
0,Washington,NaN,6726,6407,6096,5441
1,Illinois,NaN,6716,5386,4038,2880
2,California,NaN,7331,5781,4524,3130
3,Arizona,NaN,3480,2266,1302,746
4,Massachusetts,NaN,1696,1131,728,463
5,Wisconsin,NaN,2146,2081,1994,1591
6,Texas,NaN,11342,9474,7450,5743
7,Nebraska,NaN,447,313,186,115
8,Utah,NaN,1752,1621,1429,1167
9,Oregon,NaN,2766,2488,2156,1559
10,Florida,NaN,15455,14864,13780,10455
11,New York,NaN,6749,5822,4624,3212
12,Rhode Island,NaN,470,349,198,143
13,Georgia,NaN,3165,2145,1327,820
14,New Hampshire,NaN,514,447,416,326
15,North Carolina,NaN,5404,3690,2165,1284
16,New Jersey,NaN,2535,2193,1797,1518
17,Colorado,NaN,4551,3294,2019,1183
18,Maryland,NaN,1786,1644,1473,1045
19,Nevada,NaN,1325,944,603,356
20,Tennessee,NaN,2527,2021,1484,1026
21,Hawaii,NaN,401,332,234,156
22,Indiana,NaN,3652,3215,2206,1436
23,Kentucky,NaN,2779,2166,1561,1093
24,Minnesota,NaN,2974,2072,1476,819
25,Oklahoma,NaN,698,513,363,247
26,Pennsylvania,NaN,5911,4621,3926,2624
27,South Carolina,NaN,1940,1611,1006,574
28,District of Columbia,NaN,NaN,NaN,NaN,NaN
29,Kansas,NaN,1008,766,553,390
30,Missouri,NaN,3118,3081,2465,1772
31,Vermont,NaN,163,163,139,120
32,Virginia,NaN,1979,1593,1230,818
33,Connecticut,NaN,917,786,673,454
34,Iowa,NaN,1011,899,698,496
35,Louisiana,NaN,3036,2570,1978,1530
36,Ohio,NaN,5758,5600,4754,3572
37,Michigan,NaN,5705,4179,2432,1309
38,South Dakota,NaN,221,136,83,59
39,Arkansas,NaN,1427,1131,791,510
40,Delaware,NaN,791,638,442,253
41,Mississippi,NaN,1317,979,676,430
42,New Mexico,NaN,964,732,523,365
43,North Dakota,NaN,492,518,373,256
44,Wyoming,NaN,457,421,324,232
45,Alaska,NaN,340,255,184,133
46,Maine,NaN,1273,1481,1527,953
47,Alabama,NaN,1633,1482,1168,828
48,Idaho,NaN,1077,1095,861,619
49,Montana,NaN,581,583,481,347
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,1399,1077,756,508
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN
