,State,411,416,423,430,437
0,Washington,345731,4427,4097,3463,4597
1,Illinois,1199441,10769,10863,8841,10448
2,California,3602380,26412,20347,15342,24301
3,Arizona,827237,8437,6305,4547,4756
4,Massachusetts,592344,9511,8565,7117,6759
5,Wisconsin,621842,4031,4005,3507,4239
6,Texas,2699083,35314,31024,26020,30118
7,Nebraska,203027,2048,1610,1358,1514
8,Utah,375110,3149,2864,2150,2496
9,Oregon,157515,1771,1737,1460,2116
10,Florida,1948307,32515,30719,22169,24857
11,New York,1700091,48926,42351,34074,31210
12,Rhode Island,128981,2403,2423,1961,1991
13,Georgia,1024931,15100,14597,10737,11282
14,New Hampshire,77060,1518,1576,1056,1033
15,North Carolina,874906,13029,12118,7652,9148
16,New Jersey,814916,21530,19994,16367,16904
17,Colorado,437187,8000,7958,6845,7423
18,Maryland,388035,5206,4715,4298,4544
19,Nevada,296393,2232,1981,1783,2337
20,Tennessee,783904,7996,7354,5593,6682
21,Hawaii,28148,403,427,410,494
22,Indiana,667736,5290,4660,3859,4435
23,Kentucky,411040,5331,4751,3572,4029
24,Minnesota,490483,5709,5888,6095,6447
25,Oklahoma,429162,4136,3307,2351,2752
26,Pennsylvania,952818,16178,14394,11577,11708
27,South Carolina,526716,8803,7922,4649,5508
28,District of Columbia,41579,809,685,449,646
29,Kansas,298788,1986,1876,1652,1616
30,Missouri,498269,2822,2747,2574,2968
31,Vermont,16199,839,830,748,710
32,Virginia,586592,8476,6865,4467,5111
33,Connecticut,287396,5028,4863,3616,4163
34,Iowa,340128,2925,3060,2592,3045
35,Louisiana,434289,3791,3510,2435,3606
36,Ohio,979725,10782,11459,8839,9741
37,Michigan,658355,10327,11388,9751,10530
38,South Dakota,113596,1222,1306,1113,1259
39,Arkansas,324951,3309,3485,2518,2878
40,Delaware,88563,1534,1451,1116,1318
41,Mississippi,297651,2733,2524,2108,2448
42,New Mexico,187040,1676,1548,1150,1406
43,North Dakota,100419,586,749,801,840
44,Wyoming,54903,431,506,429,437
45,Alaska,59624,928,834,799,947
46,Maine,45933,1122,978,877,1019
47,Alabama,500092,5444,5063,4014,4826
48,Idaho,173309,1652,1635,1721,1848
49,Montana,100959,5174,4391,4937,5251
50,Puerto Rico,101327,NaN,NaN,NaN,NaN
51,Virgin Islands,2744,NaN,NaN,NaN,NaN
52,Guam,7751,NaN,NaN,NaN,NaN
53,West Virginia,133627,1610,1551,1138,1507
54,Northern Mariana Islands,146,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
