,State,802,808,815,822,829
0,Washington,NaN,15722,13181,11144,9509
1,Illinois,NaN,13423,11797,10512,9484
2,California,NaN,37593,29585,23615,19117
3,Arizona,NaN,6996,5257,3965,3004
4,Massachusetts,NaN,3553,2667,2019,1544
5,Wisconsin,NaN,1955,1259,794,490
6,Texas,NaN,31052,25114,20606,17151
7,Nebraska,NaN,2954,2387,1932,1568
8,Utah,NaN,1395,1042,793,614
9,Oregon,NaN,4261,3382,2710,2194
10,Florida,NaN,31921,28615,25985,23865
11,New York,NaN,71,32,14,6
12,Rhode Island,NaN,160,92,52,29
13,Georgia,NaN,20690,18707,17047,15649
14,New Hampshire,NaN,790,562,398,280
15,North Carolina,NaN,4244,3614,3150,2799
16,New Jersey,NaN,4655,3594,2809,2224
17,Colorado,NaN,5563,4022,2863,2007
18,Maryland,NaN,2937,2126,1532,1101
19,Nevada,NaN,2726,2270,1919,1647
20,Tennessee,NaN,2379,1780,1360,1060
21,Hawaii,NaN,989,774,612,490
22,Indiana,NaN,6990,5823,4913,4196
23,Kentucky,NaN,8680,7279,6196,5349
24,Minnesota,NaN,6062,4359,3083,2144
25,Oklahoma,NaN,3213,2643,2215,1888
26,Pennsylvania,NaN,5752,4217,3099,2283
27,South Carolina,NaN,11944,10835,9958,9260
28,District of Columbia,NaN,313,290,272,257
29,Kansas,NaN,3627,2586,1819,1263
30,Missouri,NaN,529,295,163,88
31,Vermont,NaN,334,226,152,101
32,Virginia,NaN,3441,2940,2559,2264
33,Connecticut,NaN,1984,1474,1099,823
34,Iowa,NaN,2462,1808,1308,932
35,Louisiana,NaN,4172,3761,3439,3181
36,Ohio,NaN,16314,14576,13150,11969
37,Michigan,NaN,5255,3510,2296,1469
38,South Dakota,NaN,1107,901,735,602
39,Arkansas,NaN,3257,2578,2072,1691
40,Delaware,NaN,658,512,403,322
41,Mississippi,NaN,2842,2328,1939,1642
42,New Mexico,NaN,2508,1973,1566,1254
43,North Dakota,NaN,1170,915,719,569
44,Wyoming,NaN,699,561,454,372
45,Alaska,NaN,982,720,534,402
46,Maine,NaN,1287,950,694,501
47,Alabama,NaN,1639,1228,941,736
48,Idaho,NaN,2659,2105,1681,1355
49,Montana,NaN,1453,1153,923,747
50,Puerto Rico,NaN,7344,6830,6390,6009
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,1493,1385,1320,1286
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN
