,State,788,794,801,808,815,822,829,836,843
0,Washington,NaN,14311,19328,20854,21252,21102,20678,20128,19524
1,Illinois,NaN,6510,5161,4524,4162,3919,3730,3564,3409
2,California,NaN,27701,23703,22336,21739,21412,21070,20642,20160
3,Arizona,NaN,10247,17679,20401,20639,19732,18305,16738,15169
4,Massachusetts,NaN,5662,5943,5814,5579,5320,5055,4796,4535
5,Wisconsin,NaN,8241,11213,10127,8870,7758,6817,6003,5299
6,Texas,NaN,18861,19562,20285,20761,21031,21144,21160,21089
7,Nebraska,NaN,407,499,548,569,575,572,564,552
8,Utah,NaN,1453,1819,1703,1541,1413,1320,1257,1213
9,Oregon,NaN,4747,9383,11606,12630,12985,13028,12882,12634
10,Florida,NaN,10878,28842,38742,43870,46434,47485,47464,46818
11,New York,NaN,15714,14117,11614,9708,8364,7394,6671,6112
12,Rhode Island,NaN,1287,1197,1077,981,906,843,788,739
13,Georgia,NaN,7765,10696,12280,13004,13209,13196,13040,12780
14,New Hampshire,NaN,830,624,505,443,410,390,376,365
15,North Carolina,NaN,12471,13585,13157,12534,11844,11162,10515,9909
16,New Jersey,NaN,7520,6040,4858,4097,3580,3211,2937,2728
17,Colorado,NaN,5571,4477,3435,2715,2247,1937,1727,1578
18,Maryland,NaN,3431,3585,3326,3072,2838,2627,2440,2276
19,Nevada,NaN,14101,9312,6296,4708,3873,3427,3181,3039
20,Tennessee,NaN,1609,866,507,326,234,187,163,150
21,Hawaii,NaN,2356,4439,5556,6176,6518,6717,6833,6904
22,Indiana,NaN,1916,1588,1372,1219,1105,1015,940,874
23,Kentucky,NaN,8980,6967,5275,4254,3650,3282,3050,2894
24,Minnesota,NaN,3166,3899,4319,4551,4682,4756,4797,4818
25,Oklahoma,NaN,3462,3491,3070,2697,2414,2197,2029,1891
26,Pennsylvania,NaN,10885,14371,12768,10794,9129,7806,6749,5895
27,South Carolina,NaN,2457,5417,6878,7493,7689,7618,7429,7182
28,District of Columbia,NaN,546,1422,1869,2098,2209,2258,2272,2267
29,Kansas,NaN,480,426,394,367,339,312,286,261
30,Missouri,NaN,1809,1589,1490,1423,1367,1316,1263,1207
31,Vermont,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,Virginia,NaN,6151,5672,5396,5184,4978,4775,4567,4359
33,Connecticut,NaN,2093,1925,1796,1687,1596,1513,1434,1358
34,Iowa,NaN,1086,1116,971,907,888,884,883,883
35,Louisiana,NaN,2932,4055,4311,4301,4168,3981,3776,3568
36,Ohio,NaN,5214,8929,9931,9604,8771,7770,6842,6011
37,Michigan,NaN,14274,24928,28907,30019,29868,29220,28318,27352
38,South Dakota,NaN,183,91,45,22,11,5,2,1
39,Arkansas,NaN,3739,2739,2102,1724,1487,1330,1219,1138
40,Delaware,NaN,1254,2340,2880,3136,3251,3294,3302,3291
41,Mississippi,NaN,796,772,784,803,820,833,843,849
42,New Mexico,NaN,882,691,587,521,475,438,407,379
43,North Dakota,NaN,173,127,102,87,77,70,64,59
44,Wyoming,NaN,142,111,93,82,74,67,62,57
45,Alaska,NaN,1297,885,597,419,315,254,218,196
46,Maine,NaN,1107,656,432,312,245,205,179,159
47,Alabama,NaN,4193,7143,8259,8411,8121,7622,7065,6498
48,Idaho,NaN,3465,2235,1459,1021,772,626,536,480
49,Montana,NaN,795,870,651,480,377,319,287,270
50,Puerto Rico,NaN,1823,2095,2146,2134,2096,2045,1989,1931
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,610,806,844,856,862,864,866,867
53,West Virginia,NaN,1681,1566,1256,998,815,691,607,549
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
