,State,754,759,766,773,780
0,Washington,NaN,44764,42707,41009,39955
1,Illinois,NaN,54748,48512,45964,43896
2,California,NaN,96194,106264,68079,6227
3,Arizona,NaN,7153,22918,28354,36387
4,Massachusetts,NaN,38698,39337,37364,33748
5,Wisconsin,NaN,73004,129044,133472,135928
6,Texas,NaN,36117,25092,42355,84335
7,Nebraska,NaN,0,0,2412,5323
8,Utah,NaN,0,1292,3999,9498
9,Oregon,NaN,1449,0,0,0
10,Florida,NaN,102566,103484,112951,124714
11,New York,NaN,4174,0,0,0
12,Rhode Island,NaN,7483,7558,7625,7646
13,Georgia,NaN,34477,31948,35765,41799
14,New Hampshire,NaN,14840,16906,17942,17883
15,North Carolina,NaN,0,0,0,9710
16,New Jersey,NaN,31607,75509,141185,214393
17,Colorado,NaN,26781,34451,43512,48013
18,Maryland,NaN,12201,12396,12715,12924
19,Nevada,NaN,0,0,1223,7822
20,Tennessee,NaN,71168,59902,62786,75858
21,Hawaii,NaN,0,0,0,0
22,Indiana,NaN,15398,14813,9706,0
23,Kentucky,NaN,47538,46767,47270,46411
24,Minnesota,NaN,29713,27385,40208,45673
25,Oklahoma,NaN,0,0,0,4205
26,Pennsylvania,NaN,31294,27296,23924,20995
27,South Carolina,NaN,4556,997,0,8766
28,District of Columbia,NaN,NaN,NaN,NaN,NaN
29,Kansas,NaN,7772,7217,14482,19699
30,Missouri,NaN,12219,10026,14489,20880
31,Vermont,NaN,3575,3350,3138,2991
32,Virginia,NaN,19261,15506,16223,19108
33,Connecticut,NaN,12213,12464,13088,13343
34,Iowa,NaN,7706,8334,10845,12636
35,Louisiana,NaN,145,0,0,2424
36,Ohio,NaN,NaN,NaN,NaN,NaN
37,Michigan,NaN,NaN,NaN,NaN,NaN
38,South Dakota,NaN,3132,3749,5038,5579
39,Arkansas,NaN,4705,3914,6584,10598
40,Delaware,NaN,0,0,0,0
41,Mississippi,NaN,15794,11324,7806,6311
42,New Mexico,NaN,4340,2397,6834,10789
43,North Dakota,NaN,1762,0,0,0
44,Wyoming,NaN,0,0,0,0
45,Alaska,NaN,481,0,0,0
46,Maine,NaN,5392,5041,4732,4027
47,Alabama,NaN,39896,0,0,15915
48,Idaho,NaN,8358,3229,0,0
49,Montana,NaN,4356,0,0,0
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,3730,0,0,0
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN
