,State,642,647,654,661,668
0,Washington,NaN,15760,15221,15090,14765
1,Illinois,NaN,14914,14836,14479,14784
2,California,NaN,38572,38906,39036,38770
3,Arizona,NaN,14589,14389,14978,13405
4,Massachusetts,NaN,8704,8749,8720,8709
5,Wisconsin,NaN,12678,12664,12606,11503
6,Texas,NaN,31595,26416,24529,21055
7,Nebraska,NaN,4046,3398,3978,265
8,Utah,NaN,6991,6868,6459,5822
9,Oregon,NaN,8260,8003,7887,8378
10,Florida,NaN,10584,9282,7153,8823
11,New York,NaN,24112,23446,23304,23531
12,Rhode Island,NaN,1830,1836,1858,1874
13,Georgia,NaN,8913,7785,7050,6305
14,New Hampshire,NaN,3969,4055,4125,3875
15,North Carolina,NaN,15806,15036,14660,14432
16,New Jersey,NaN,6885,6526,6825,6102
17,Colorado,NaN,15468,15576,15660,15271
18,Maryland,NaN,4583,4481,4290,4250
19,Nevada,NaN,3711,3125,3048,3038
20,Tennessee,NaN,8547,7161,6533,6026
21,Hawaii,NaN,629,446,647,531
22,Indiana,NaN,10491,9513,8820,9159
23,Kentucky,NaN,10107,9200,9091,8740
24,Minnesota,NaN,14512,14245,14603,14213
25,Oklahoma,NaN,7783,7511,7226,7070
26,Pennsylvania,NaN,20048,18772,17129,15786
27,South Carolina,NaN,5876,4869,3785,3455
28,District of Columbia,NaN,607,591,588,585
29,Kansas,NaN,5260,5211,4687,4527
30,Missouri,NaN,5498,4913,4788,4067
31,Vermont,NaN,1142,1079,1043,1133
32,Virginia,NaN,11105,10640,10226,9941
33,Connecticut,NaN,3200,3242,3477,3327
34,Iowa,NaN,6623,6384,6302,5586
35,Louisiana,NaN,3974,3688,3503,3400
36,Ohio,NaN,17457,13051,11612,10239
37,Michigan,NaN,25412,23544,22899,23293
38,South Dakota,NaN,2157,2063,1991,1866
39,Arkansas,NaN,3202,2808,2625,2572
40,Delaware,NaN,1599,1413,1323,1265
41,Mississippi,NaN,3146,2997,2855,2813
42,New Mexico,NaN,5166,5261,5484,5241
43,North Dakota,NaN,2777,2550,2426,2394
44,Wyoming,NaN,2843,2901,2828,2791
45,Alaska,NaN,4770,4389,4634,5045
46,Maine,NaN,2537,2584,2518,2432
47,Alabama,NaN,5449,4655,4219,4229
48,Idaho,NaN,6874,6652,6479,6179
49,Montana,NaN,5185,5343,4931,4919
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,4732,4076,3600,3294
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN
