,State,185,192,199,206,213
0,Washington,51849,6582,6865,7756,8356
1,Illinois,171122,11293,12072,12363,12290
2,California,446452,86740,103345,120583,137235
3,Arizona,160041,13321,8868,6081,3754
4,Massachusetts,109894,1872,1902,1892,1860
5,Wisconsin,47870,6873,7455,8144,9017
6,Texas,390286,39450,0,0,0
7,Nebraska,24395,1674,1668,1592,1555
8,Utah,37623,4791,4989,5060,5313
9,Oregon,16492,2618,2841,3088,3320
10,Florida,414511,48285,589,0,0
11,New York,411200,4767,4756,4703,4663
12,Rhode Island,18224,491,509,517,505
13,Georgia,165188,25471,23153,18387,13027
14,New Hampshire,6415,242,281,304,325
15,North Carolina,114127,16114,17675,19334,20889
16,New Jersey,178858,1863,1868,1815,1879
17,Colorado,43771,3470,3289,2645,2099
18,Maryland,83054,6496,6986,6917,6429
19,Nevada,41816,6853,6982,4724,1936
20,Tennessee,90796,18874,22416,26888,31354
21,Hawaii,1620,202,180,161,130
22,Indiana,61520,5292,4751,3750,2519
23,Kentucky,26764,5439,6988,9754,13053
24,Minnesota,50291,3965,3609,3141,2948
25,Oklahoma,30081,6752,7854,9084,11221
26,Pennsylvania,111115,6467,6450,6355,6137
27,South Carolina,80008,8775,5401,0,0
28,District of Columbia,11717,NaN,NaN,NaN,NaN
29,Kansas,25009,2768,2280,1634,1178
30,Missouri,41034,10202,15124,21503,30898
31,Vermont,1396,45,44,44,43
32,Virginia,83609,6457,5908,5105,4518
33,Connecticut,48776,545,523,507,506
34,Iowa,41886,2758,2567,2462,2536
35,Louisiana,103734,18266,19853,22161,23470
36,Ohio,83184,8706,7258,5450,3717
37,Michigan,85622,3725,3725,3725,3725
38,South Dakota,8305,443,444,449,451
39,Arkansas,37981,6137,6622,7361,7993
40,Delaware,14175,775,764,777,759
41,Mississippi,50981,11602,14464,18874,24580
42,New Mexico,18788,2115,2182,2244,2303
43,North Dakota,5736,867,804,702,511
44,Wyoming,2446,344,375,414,454
45,Alaska,2339,677,826,1140,1457
46,Maine,3790,152,222,234,250
47,Alabama,78130,18034,22400,28057,35045
48,Idaho,17826,2733,780,0,0
49,Montana,3259,989,1168,1298,1498
50,Puerto Rico,14540,NaN,NaN,NaN,NaN
51,Virgin Islands,352,NaN,NaN,NaN,NaN
52,Guam,337,NaN,NaN,NaN,NaN
53,West Virginia,5775,1229,1160,1446,1652
54,Northern Mariana Islands,40,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
