,State,550,556,563,570,577,584,591,598
0,Washington,NaN,7204,8487,9910,11386,12980,14686,16479
1,Illinois,NaN,10724,14704,19793,25965,33048,40222,46348
2,California,NaN,61236,86210,119278,159772,206100,252095,288904
3,Arizona,NaN,13021,18273,25084,33352,42464,51312,58156
4,Massachusetts,NaN,4299,6718,10763,17541,29335,49878,84286
5,Wisconsin,NaN,3109,4375,6097,8348,11111,14174,17144
6,Texas,NaN,46862,60737,76392,91726,102882,105878,99463
7,Nebraska,NaN,1188,1462,1762,2086,2390,2614,2710
8,Utah,NaN,3940,4096,4215,4290,4264,4109,3813
9,Oregon,NaN,3828,5256,7131,9452,12223,15256,18296
10,Florida,NaN,98060,128790,162624,189877,208264,207104,191153
11,New York,NaN,13846,22305,38568,67639,111157,156724,185205
12,Rhode Island,NaN,677,1008,1505,2249,3376,5063,7490
13,Georgia,NaN,17038,24346,33770,44397,53933,58580,56462
14,New Hampshire,NaN,270,301,332,358,381,403,421
15,North Carolina,NaN,11874,15618,19459,22560,24876,25686,24821
16,New Jersey,NaN,6364,9539,15207,23893,35211,45423,50593
17,Colorado,NaN,3479,3500,3509,3516,3517,3519,3511
18,Maryland,NaN,2195,3155,4569,6625,9497,13174,17219
19,Nevada,NaN,6525,7009,7222,7124,6701,5977,5053
20,Tennessee,NaN,13489,22600,36997,55585,74772,84252,80736
21,Hawaii,NaN,1757,2508,3616,5201,7482,10817,15518
22,Indiana,NaN,5143,6323,7743,9161,10541,11593,12082
23,Kentucky,NaN,6360,8612,11327,14273,17015,18805,19249
24,Minnesota,NaN,2395,3133,4059,5178,6469,7842,9187
25,Oklahoma,NaN,8423,10651,12893,14859,16065,16055,14808
26,Pennsylvania,NaN,6554,11419,21095,37439,55849,66725,71208
27,South Carolina,NaN,6666,8782,11060,13271,14913,15400,14573
28,District of Columbia,NaN,383,407,487,654,1038,1960,4036
29,Kansas,NaN,4432,5051,5548,5840,5831,5440,4747
30,Missouri,NaN,18833,20549,21405,21146,19624,16910,13541
31,Vermont,NaN,155,205,286,415,652,1128,2128
32,Virginia,NaN,5220,7493,10780,15395,21675,29711,39122
33,Connecticut,NaN,2179,3604,6255,11138,20368,37277,65204
34,Iowa,NaN,1999,3026,4551,6757,9627,12934,16038
35,Louisiana,NaN,23560,32197,40931,47165,48420,43186,33811
36,Ohio,NaN,6494,8834,11739,15114,18561,21383,22982
37,Michigan,NaN,4275,6174,9046,13088,18406,25327,33405
38,South Dakota,NaN,257,359,510,731,1025,1365,1667
39,Arkansas,NaN,14816,18228,21024,22468,21929,19257,15270
40,Delaware,NaN,455,542,649,780,941,1133,1355
41,Mississippi,NaN,10658,17468,28216,43440,60309,74064,77178
42,New Mexico,NaN,1609,2050,2605,3278,4122,5139,6305
43,North Dakota,NaN,261,323,397,480,563,629,667
44,Wyoming,NaN,1017,1563,2524,3950,5389,6152,6162
45,Alaska,NaN,1894,2610,3491,4416,5271,5839,6007
46,Maine,NaN,575,797,1108,1531,2131,2978,4190
47,Alabama,NaN,13234,17744,22430,26276,27940,26257,21886
48,Idaho,NaN,1738,2093,2447,2753,2922,2871,2600
49,Montana,NaN,724,912,1143,1418,1715,2017,2288
50,Puerto Rico,NaN,34,12,4,1,0,0,0
51,Virgin Islands,NaN,251,285,309,317,305,270,221
52,Guam,NaN,19,13,9,6,4,3,2
53,West Virginia,NaN,1007,1340,1736,2193,2678,3098,3378
54,Northern Mariana Islands,NaN,0,0,0,0,0,0,0
55,American Samoa,NaN,0,0,0,0,0,0,0
