,State,509,514,521,528,535,542,549,556,563
0,Washington,NaN,61,61,61,62,63,64,66,69
1,Illinois,NaN,162,158,156,155,155,157,160,165
2,California,NaN,154,133,116,102,91,81,73,66
3,Arizona,NaN,66,66,67,68,69,71,74,78
4,Massachusetts,NaN,26,22,19,16,14,13,11,10
5,Wisconsin,NaN,106,117,130,146,166,191,221,257
6,Texas,NaN,172,155,140,128,117,108,101,95
7,Nebraska,NaN,4,3,3,3,3,2,2,2
8,Utah,NaN,10,9,8,7,7,6,5,5
9,Oregon,NaN,37,38,39,40,42,43,44,46
10,Florida,NaN,278,267,259,251,246,242,240,240
11,New York,NaN,135,124,115,109,104,101,100,99
12,Rhode Island,NaN,6,6,5,5,5,5,5,5
13,Georgia,NaN,101,92,84,77,71,66,61,57
14,New Hampshire,NaN,6,5,5,5,6,6,7,8
15,North Carolina,NaN,103,103,105,106,109,113,118,124
16,New Jersey,NaN,97,91,87,84,82,81,82,83
17,Colorado,NaN,85,94,105,117,132,150,171,197
18,Maryland,NaN,62,60,58,56,55,55,55,56
19,Nevada,NaN,17,16,15,14,13,12,11,11
20,Tennessee,NaN,38,35,34,32,31,30,29,29
21,Hawaii,NaN,3,2,2,2,2,3,3,3
22,Indiana,NaN,59,58,57,56,56,56,57,58
23,Kentucky,NaN,54,53,52,52,53,54,55,57
24,Minnesota,NaN,42,40,38,36,35,34,34,34
25,Oklahoma,NaN,26,24,22,21,20,19,18,18
26,Pennsylvania,NaN,146,137,130,124,120,117,116,115
27,South Carolina,NaN,29,27,24,22,21,20,18,18
28,District of Columbia,NaN,3,3,3,3,3,3,3,3
29,Kansas,NaN,18,18,18,18,18,19,19,20
30,Missouri,NaN,65,65,66,67,69,72,75,79
31,Vermont,NaN,1,0,0,0,0,0,0,0
32,Virginia,NaN,60,56,53,51,49,48,47,46
33,Connecticut,NaN,13,11,10,9,8,7,7,6
34,Iowa,NaN,17,16,15,14,14,14,14,14
35,Louisiana,NaN,35,35,35,35,35,36,37,38
36,Ohio,NaN,31,28,25,23,21,20,18,17
37,Michigan,NaN,202,184,169,156,146,137,131,126
38,South Dakota,NaN,13,15,17,20,23,26,31,37
39,Arkansas,NaN,14,14,13,13,12,12,12,12
40,Delaware,NaN,6,5,5,4,4,4,4,4
41,Mississippi,NaN,26,27,28,29,30,31,33,35
42,New Mexico,NaN,15,15,14,14,13,13,13,13
43,North Dakota,NaN,5,6,6,7,8,9,10,11
44,Wyoming,NaN,0,0,0,0,0,0,0,0
45,Alaska,NaN,8,9,10,11,12,14,15,17
46,Maine,NaN,12,13,14,15,17,20,23,27
47,Alabama,NaN,67,68,71,74,77,81,85,90
48,Idaho,NaN,7,7,6,6,6,6,5,5
49,Montana,NaN,11,12,12,12,13,13,14,15
50,Puerto Rico,NaN,12,10,8,6,5,4,3,2
51,Virgin Islands,NaN,0,0,0,0,0,0,1,1
52,Guam,NaN,0,0,0,0,0,0,0,0
53,West Virginia,NaN,23,22,22,21,21,21,21,21
54,Northern Mariana Islands,NaN,0,0,0,0,0,0,0,0
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
