,State,480,486,493,500,507
0,Washington,NaN,58,61,62,61
1,Illinois,NaN,178,174,164,150
2,California,NaN,325,271,219,171
3,Arizona,NaN,45,37,31,25
4,Massachusetts,NaN,48,39,30,22
5,Wisconsin,NaN,64,68,68,67
6,Texas,NaN,268,239,210,180
7,Nebraska,NaN,8,8,9,11
8,Utah,NaN,11,10,10,9
9,Oregon,NaN,37,47,56,64
10,Florida,NaN,358,332,301,266
11,New York,NaN,226,179,136,100
12,Rhode Island,NaN,9,9,8,7
13,Georgia,NaN,95,69,49,35
14,New Hampshire,NaN,9,8,8,7
15,North Carolina,NaN,64,53,43,35
16,New Jersey,NaN,137,110,85,63
17,Colorado,NaN,49,42,35,28
18,Maryland,NaN,56,43,33,24
19,Nevada,NaN,26,23,19,16
20,Tennessee,NaN,42,38,35,31
21,Hawaii,NaN,4,3,3,2
22,Indiana,NaN,60,62,62,61
23,Kentucky,NaN,58,53,47,41
24,Minnesota,NaN,56,52,47,41
25,Oklahoma,NaN,42,41,40,39
26,Pennsylvania,NaN,210,188,162,134
27,South Carolina,NaN,48,42,37,32
28,District of Columbia,NaN,2,1,1,0
29,Kansas,NaN,8,6,5,4
30,Missouri,NaN,26,22,18,15
31,Vermont,NaN,1,1,0,0
32,Virginia,NaN,91,87,80,71
33,Connecticut,NaN,21,16,12,8
34,Iowa,NaN,13,11,9,6
35,Louisiana,NaN,40,39,38,37
36,Ohio,NaN,82,77,70,62
37,Michigan,NaN,372,344,303,255
38,South Dakota,NaN,7,6,6,5
39,Arkansas,NaN,17,16,15,13
40,Delaware,NaN,7,6,6,5
41,Mississippi,NaN,16,14,13,11
42,New Mexico,NaN,16,13,10,7
43,North Dakota,NaN,3,3,2,2
44,Wyoming,NaN,2,1,1,1
45,Alaska,NaN,1,1,1,0
46,Maine,NaN,8,6,5,4
47,Alabama,NaN,42,40,37,34
48,Idaho,NaN,3,2,1,1
49,Montana,NaN,5,3,2,1
50,Puerto Rico,NaN,45,44,43,40
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,31,36,40,45
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN
