,State,411,416,423,430,437
0,Washington,5063,86,105,111,111
1,Illinois,23021,289,281,293,280
2,California,54316,2247,2313,2267,2192
3,Arizona,16328,373,412,382,401
4,Massachusetts,16435,292,299,328,319
5,Wisconsin,7106,94,96,91,98
6,Texas,45411,1766,1578,1666,1557
7,Nebraska,2113,31,32,30,33
8,Utah,1977,47,41,39,41
9,Oregon,2298,79,75,87,105
10,Florida,31764,864,898,862,875
11,New York,48401,750,736,746,739
12,Rhode Island,2549,35,38,35,40
13,Georgia,17948,626,627,641,637
14,New Hampshire,1184,11,11,11,9
15,North Carolina,11535,285,286,278,289
16,New Jersey,23590,319,323,319,309
17,Colorado,5990,40,41,40,41
18,Maryland,7963,158,158,154,158
19,Nevada,5040,81,78,80,84
20,Tennessee,11556,77,118,174,181
21,Hawaii,444,5,5,5,5
22,Indiana,12744,159,164,181,180
23,Kentucky,4829,175,173,172,172
24,Minnesota,6624,70,70,69,71
25,Oklahoma,4534,158,163,165,165
26,Pennsylvania,24344,434,426,437,415
27,South Carolina,8760,238,255,260,294
28,District of Columbia,1035,20,19,20,20
29,Kansas,4772,72,80,91,89
30,Missouri,8506,229,227,223,233
31,Vermont,208,4,4,4,5
32,Virginia,9683,214,212,219,227
33,Connecticut,7725,80,82,79,79
34,Iowa,5559,90,70,49,111
35,Louisiana,9758,131,132,129,144
36,Ohio,17501,5,0,3,6
37,Michigan,16662,149,151,143,144
38,South Dakota,1901,12,12,13,14
39,Arkansas,5343,67,65,63,67
40,Delaware,1475,48,46,41,39
41,Mississippi,6808,138,148,147,136
42,New Mexico,3811,97,91,90,89
43,North Dakota,1479,4,3,2,2
44,Wyoming,682,11,12,12,13
45,Alaska,305,17,20,18,13
46,Maine,706,0,4,0,1
47,Alabama,10148,242,240,234,263
48,Idaho,1890,18,18,21,19
49,Montana,1381,26,26,33,30
50,Puerto Rico,2059,33,34,35,25
51,Virgin Islands,25,0,0,0,0
52,Guam,133,1,1,2,2
53,West Virginia,2325,26,24,23,26
54,Northern Mariana Islands,2,0,0,0,0
55,American Samoa,0,0,0,0,0
